model,snr,epoch,ade,fde,s1,s5,s10,s15,s20
lstm,5,0,1.123,1.666,nan,0.847,1.048,1.337,1.666
lstm,10,0,1.011,1.532,nan,0.734,0.935,1.218,1.532
lstm,15,0,0.977,1.428,nan,0.753,0.891,1.149,1.428
lstm,20,0,0.682,1.112,nan,0.451,0.605,0.844,1.112
tcn,5,0,1.136,1.692,nan,0.859,1.063,1.356,1.692
tcn,10,0,1.019,1.535,nan,0.748,0.942,1.226,1.535
tcn,15,0,0.996,1.500,nan,0.731,0.921,1.205,1.500
tcn,20,0,0.737,1.175,nan,0.518,0.646,0.893,1.175
transformer,5,0,1.357,1.752,nan,1.179,1.282,1.488,1.752
transformer,10,0,1.252,1.645,nan,1.061,1.173,1.409,1.645
transformer,15,0,1.198,1.586,nan,1.016,1.118,1.350,1.586
transformer,20,0,1.131,1.439,nan,0.991,1.052,1.237,1.439
ours,5,0,1.034,1.504,nan,0.824,0.965,1.215,1.504
ours,10,0,0.945,1.379,nan,0.729,0.869,1.135,1.379
ours,15,0,0.893,1.293,nan,0.689,0.836,1.075,1.293
ours,20,0,0.591,0.998,nan,0.374,0.546,0.782,0.998
