model,snr,epoch,ade,fde,s1,s5,s10,s15,s20
lstm,5,21,1.263,1.844,0.835,0.979,1.194,1.473,1.844
lstm,10,21,1.183,1.745,0.805,0.970,1.107,1.385,1.745
lstm,15,38,1.148,1.648,0.827,0.912,1.070,1.320,1.648
lstm,20,80,0.849,1.300,0.544,0.636,0.779,1.002,1.300
tcn,5,22,1.246,1.827,0.812,0.978,1.173,1.464,1.827
tcn,10,22,1.160,1.710,0.765,0.969,1.077,1.358,1.710
tcn,15,42,1.143,1.676,0.750,0.894,1.063,1.337,1.676
tcn,20,29,0.903,1.375,0.617,0.698,0.808,1.052,1.375
transformer,5,8,1.763,2.161,1.546,1.700,1.789,1.809,2.161
transformer,10,9,1.591,1.960,1.472,1.458,1.497,1.723,1.960
transformer,15,19,1.689,2.035,1.429,1.547,1.622,1.831,2.035
transformer,20,8,1.680,1.928,1.689,1.553,1.680,1.729,1.928
ours,5,97,1.147,1.625,0.726,0.967,1.068,1.318,1.625
ours,10,92,1.130,1.578,0.691,0.937,1.055,1.303,1.578
ours,15,82,1.052,1.454,0.598,0.888,1.001,1.214,1.454
ours,20,90,0.754,1.162,0.265,0.584,0.708,0.924,1.162
