model,cohort,snr_db,ADE,FDE,ADE_point,FDE_point,ade_targets,valid_points
CV,common_paired,-5,1.0453215039586408,2.1827945830890356,1.0486026117562535,2.18906081739102,2808,56160
CV,common_paired,0,0.9978252822052687,2.1090778574135447,1.0013920172023394,2.115802190575361,2808,56160
CV,common_paired,5,0.96443628453688,2.048156973041205,0.9667009188454214,2.05238736694576,2808,56160
CV,common_paired,10,0.9438542515154984,2.0114893957863753,0.9446861659761201,2.013021873515741,2808,56160
CV,common_paired,15,0.9326470232543468,1.9910705396708062,0.9326134010280839,1.9909703660637323,2808,56160
CV,common_paired,20,0.9436273031538946,1.9851538155214896,0.9455987011460404,1.9850292679755848,2808,56160
GNN,common_paired,-5,0.8608531711431862,1.7211658683821724,0.8619553186602348,1.71927546986202,2808,56160
GNN,common_paired,0,0.809942056339244,1.6368892540953974,0.8100788777995186,1.6326937671370234,2808,56160
GNN,common_paired,5,0.7776372060947613,1.5775760033319748,0.7756541025338418,1.5689220471715661,2808,56160
GNN,common_paired,10,0.7577607345549003,1.5419401692831536,0.7542406772370969,1.530328907558967,2808,56160
GNN,common_paired,15,0.7463182114370014,1.5208838066588095,0.7418139388650324,1.5073386220537173,2808,56160
GNN,common_paired,20,0.757387371011811,1.515239264286335,0.7547738687325672,1.5015784420273866,2808,56160
QGNN,common_paired,-5,0.8690411262430843,1.7369409698996499,0.8736113302509565,1.746180886768711,2808,56160
QGNN,common_paired,0,0.8199366612114187,1.6577215606680158,0.8234350610859358,1.6642993354485114,2808,56160
QGNN,common_paired,5,0.7904657980277014,1.6057468901257048,0.7921414003757169,1.6086391302587497,2808,56160
QGNN,common_paired,10,0.7715945183508767,1.5717119445054792,0.7718888457425915,1.5721158734518743,2808,56160
QGNN,common_paired,15,0.7601493083549449,1.5502521382447014,0.7595159942257359,1.5489409728402745,2808,56160
QGNN,common_paired,20,0.7708858065201867,1.5435953390582815,0.7722092105697208,1.5422762656334825,2808,56160
