ambiguity_margin_m,assigned_error_m,assigned_gt_id,density,detected,episode,frame,nearest_error_m,nearest_gt_id,origin_ms,second_nearest_error_m,slot,slot_rebirth_in_window,snr_db,tail_cause,visible_gt_count
5.5414,7.7726,31,high,False,13,48,0.1948,28,1118935765100,5.7362,6,True,-5,alignment_suspect,8
4.635,7.7598,84,high,False,17,133,0.4532,106,1118935813600,5.0882,5,False,-5,alignment_suspect,8
3.4613,7.5883,18,high,False,8,59,0.1801,19,1118935748100,3.6414,0,False,-5,alignment_suspect,8
0.4904,1.4657,211,high,False,41,57,0.9753,220,1118935967100,1.4657,2,False,-5,ambiguous_close_vehicle,4
0.4904,1.4657,211,high,False,41,57,0.9753,220,1118935967600,1.4657,2,False,-5,ambiguous_close_vehicle,4
2.346,16.5184,4,high,False,5,10,11.6354,15,1118935723100,13.9814,3,True,-5,true_tracking_tail,8
2.0695,13.9403,4,high,False,5,9,9.3425,15,1118935723100,11.412,3,True,-5,true_tracking_tail,8
3.1285,7.2902,15,high,False,5,19,1.6027,4,1118935723100,4.7312,6,True,-5,true_tracking_tail,8
5.7692,9.3365,39,high,False,7,39,0.9784,38,1118935726100,6.7476,5,True,-5,unresolved,8
6.3344,9.2958,39,high,False,7,40,0.8675,38,1118935726100,7.2019,5,True,-5,unresolved,8
2.9474,7.3272,26,high,False,8,68,0.5908,19,1118935747100,3.5382,1,True,-5,unresolved,8
8.4171,9.8926,38,high,True,7,53,0.0378,39,1118935725600,8.4549,5,True,-5,alignment_suspect,8
8.3722,9.8877,38,high,True,7,52,0.0193,39,1118935725600,8.3915,5,True,-5,alignment_suspect,8
3.244,7.6243,18,high,True,8,10,0.1417,19,1118935743100,3.3856,4,False,-5,alignment_suspect,8
0.4714,1.4485,211,high,True,41,59,0.9771,220,1118935967100,1.4485,2,False,-5,ambiguous_close_vehicle,3
0.4714,1.4485,211,high,True,41,59,0.9771,220,1118935967600,1.4485,2,False,-5,ambiguous_close_vehicle,3
0.4714,1.4485,211,high,True,41,59,0.9771,220,1118935968100,1.4485,2,False,-5,ambiguous_close_vehicle,3
0.9391,4.1117,15,high,True,5,14,2.7198,4,1118935723100,3.6589,6,True,-5,true_tracking_tail,8
0.8975,3.8414,5,high,True,5,9,2.9404,15,1118935723100,3.8379,5,False,-5,true_tracking_tail,8
0.4343,3.8308,5,high,True,5,30,3.1859,4,1118935723600,3.6202,5,True,-5,true_tracking_tail,8
1.3843,9.1622,21,high,True,8,158,0.9078,26,1118935756100,2.2921,6,True,-5,unresolved,8
2.3726,8.4746,19,high,True,8,69,0.881,18,1118935747600,3.2536,0,False,-5,unresolved,8
2.9968,6.4593,7,high,True,5,94,0.6413,12,1118935731600,3.6381,3,True,-5,unresolved,8
7.004,12.5364,29,low,False,6,88,5.5323,27,1118935729100,12.5364,2,True,-5,true_tracking_tail,2
7.0157,10.7615,29,low,False,6,87,3.7457,27,1118935729100,10.7615,2,True,-5,true_tracking_tail,2
160.2922,4.1739,8,low,False,6,63,4.1739,8,1118935726600,164.4661,1,True,-5,true_tracking_tail,3
7.0207,8.9496,29,low,True,6,86,1.9289,27,1118935729100,8.9496,2,True,-5,true_tracking_tail,2
5.112,12.1697,622,mid,False,82,104,0.1275,604,1118936232600,5.2394,2,True,-5,alignment_suspect,6
5.0416,6.0226,614,mid,False,82,44,0.0988,604,1118936226100,5.1404,4,True,-5,alignment_suspect,6
5.0416,6.0226,614,mid,False,82,44,0.0988,604,1118936226600,5.1404,4,True,-5,alignment_suspect,6
1.023,5.3392,8,mid,False,2,103,2.5772,2,1118935710600,3.6002,2,False,-5,true_tracking_tail,5
1.023,5.3392,8,mid,False,2,103,2.5772,2,1118935711100,3.6002,2,False,-5,true_tracking_tail,5
1.6393,5.0973,8,mid,False,2,102,2.2288,2,1118935710600,3.868,2,False,-5,true_tracking_tail,5
5.6638,6.6571,615,mid,False,82,74,0.7707,614,1118936229600,6.4345,7,True,-5,unresolved,6
5.1057,6.101,614,mid,False,82,125,0.8673,604,1118936233100,5.973,5,True,-5,unresolved,6
5.1057,6.101,614,mid,False,82,125,0.8673,604,1118936233600,5.973,5,True,-5,unresolved,6
16.6405,16.6745,1193,mid,True,166,88,0.034,1185,1118936789100,16.6745,5,True,-5,alignment_suspect,5
5.3537,12.478,618,mid,True,82,137,0.3121,614,1118936234100,5.6659,2,True,-5,alignment_suspect,6
3.2312,6.3509,479,mid,True,66,27,0.3706,473,1118936123100,3.6018,6,True,-5,alignment_suspect,6
0.678,6.6472,11,mid,True,4,99,4.102,12,1118935710600,4.78,5,False,-5,true_tracking_tail,4
2.1761,4.8635,11,mid,True,4,98,2.6874,15,1118935710100,4.8635,6,True,-5,true_tracking_tail,4
0.8085,4.5853,11,mid,True,4,95,3.7767,15,1118935710600,4.5853,5,False,-5,true_tracking_tail,4
2.2997,8.7879,1191,mid,True,160,28,0.6145,1187,1118936743100,2.9142,2,True,-5,unresolved,6
3.5969,6.9675,479,mid,True,66,28,0.5458,473,1118936123100,4.1427,6,True,-5,unresolved,6
4.9395,6.8115,617,mid,True,82,106,0.8045,615,1118936232600,5.744,6,False,-5,unresolved,6
10.0763,10.2323,56,high,False,9,104,0.156,49,1118935752600,10.2323,2,True,0,alignment_suspect,7
6.8167,7.2391,72,high,False,12,111,0.4224,79,1118935773100,7.2391,0,True,0,alignment_suspect,7
4.4197,7.1066,84,high,False,17,133,0.2597,106,1118935813600,4.6794,3,False,0,alignment_suspect,8
0.4725,1.4568,211,high,False,41,57,0.9843,220,1118935967600,1.4568,5,False,0,ambiguous_close_vehicle,4
2.3484,16.5251,4,high,False,5,10,11.6402,15,1118935723100,13.9886,3,True,0,true_tracking_tail,8
2.0722,13.9458,4,high,False,5,9,9.3458,15,1118935723100,11.418,3,True,0,true_tracking_tail,8
0.4816,10.0683,11,high,False,5,24,2.9711,4,1118935724600,3.4528,7,True,0,true_tracking_tail,8
1.9237,8.7595,19,high,False,8,44,0.9348,20,1118935746600,2.8585,5,True,0,unresolved,8
5.6,7.803,4,high,False,5,77,0.9027,3,1118935728100,6.5027,6,True,0,unresolved,8
1.7482,6.8823,5,high,False,5,125,0.8947,7,1118935734600,2.6429,3,False,0,unresolved,8
18.7026,29.1002,37,high,True,7,163,0.0505,43,1118935736600,18.7531,0,True,0,alignment_suspect,8
11.5085,13.3176,36,high,True,7,38,0.0084,43,1118935724100,11.517,2,True,0,alignment_suspect,8
11.8745,12.9177,36,high,True,7,37,0.0065,43,1118935724100,11.881,2,True,0,alignment_suspect,8
0.4694,1.4475,211,high,True,41,59,0.9781,220,1118935967600,1.4475,5,False,0,ambiguous_close_vehicle,3
0.4694,1.4475,211,high,True,41,59,0.9781,220,1118935968100,1.4475,5,False,0,ambiguous_close_vehicle,3
0.4385,1.395,671,high,True,93,105,0.9566,635,1118936311100,1.395,2,False,0,ambiguous_close_vehicle,8
0.7733,6.5109,7,high,True,5,35,1.1995,11,1118935724100,1.9728,7,True,0,true_tracking_tail,8
1.0988,6.41,7,high,True,5,36,1.0391,11,1118935724100,2.138,7,True,0,true_tracking_tail,8
