split,episode,episode_id,density,snr,slot,window_index,origin_ms,origin_before_ms,gt_before,gt_after,masked_positions,masked_first_origin_ms,masked_last_origin_ms,masked_labelled_cells_nominal
train,2,s0_t1118935700200_a2,mid,-5.0,2,14,1118935710100,1118935709600,2,8,3,1118935709600,1118935710600,2
train,4,s0_t1118935700200_a15,mid,-5.0,5,14,1118935710100,1118935709600,11,15,3,1118935709600,1118935710600,3
train,4,s0_t1118935700200_a15,mid,-5.0,5,15,1118935710600,1118935710100,15,11,3,1118935710100,1118935711100,2
train,4,s0_t1118935700200_a15,mid,-5.0,2,19,1118935712600,1118935712100,11,12,3,1118935712100,1118935713100,3
train,4,s0_t1118935700200_a15,mid,0.0,4,16,1118935711100,1118935710600,11,15,3,1118935710600,1118935711600,3
train,4,s0_t1118935700200_a15,mid,0.0,7,20,1118935713100,1118935712600,11,12,3,1118935712600,1118935713600,3
train,4,s0_t1118935700200_a15,mid,0.0,0,23,1118935714600,1118935714100,11,12,3,1118935714100,1118935715100,3
train,4,s0_t1118935700200_a15,mid,5.0,4,16,1118935711100,1118935710600,11,15,3,1118935710600,1118935711600,3
train,4,s0_t1118935700200_a15,mid,5.0,7,20,1118935713100,1118935712600,11,12,3,1118935712600,1118935713600,3
train,4,s0_t1118935700200_a15,mid,5.0,0,23,1118935714600,1118935714100,11,12,3,1118935714100,1118935715100,3
train,4,s0_t1118935700200_a15,mid,10.0,4,16,1118935711100,1118935710600,11,15,3,1118935710600,1118935711600,3
train,4,s0_t1118935700200_a15,mid,10.0,1,20,1118935713100,1118935712600,11,12,3,1118935712600,1118935713600,3
train,4,s0_t1118935700200_a15,mid,15.0,3,16,1118935711100,1118935710600,11,15,3,1118935710600,1118935711600,3
train,4,s0_t1118935700200_a15,mid,15.0,1,20,1118935713100,1118935712600,11,12,3,1118935712600,1118935713600,3
train,4,s0_t1118935700200_a15,mid,20.0,3,16,1118935711100,1118935710600,11,15,3,1118935710600,1118935711600,3
train,4,s0_t1118935700200_a15,mid,20.0,1,20,1118935713100,1118935712600,11,12,3,1118935712600,1118935713600,3
