scene_type,scene,snr_ref_db,target,bs,range_bin,received_snr_db,peak_to_noise_db,g_emp_db,peak_power,noise_floor,cfar_score
synthetic,count1_r40_norm_b0,-10.0,0,0,10-75,5.917600346881503,25.26010730536989,19.342506958488386,61984.87598518997,184.61840989469945,24.345612376453218
synthetic,count1_r40_norm_b0,-10.0,0,1,150-225,-19.746806037788392,21.470579115718404,41.2173851535068,153.72951438431517,1.0957193815958008,10.173441311309864
synthetic,count1_r40_norm_b0,-5.0,0,0,10-75,10.917600346881503,25.282220984733044,14.36462063785154,195980.43626954404,580.7518763518245,24.469893037078407
synthetic,count1_r40_norm_b0,-5.0,0,1,150-225,-14.746806037788392,23.13212311606973,37.878929153858124,492.84506181791824,2.396062254942131,14.914966563680954
synthetic,count1_r40_norm_b0,0.0,0,0,10-75,15.917600346881503,25.29208620465404,9.374485857772537,619686.9386728876,1832.161369819084,24.525540822446533
synthetic,count1_r40_norm_b0,0.0,0,1,150-225,-9.746806037788392,23.780337677302533,33.52714371509093,1571.4898519756432,6.580786680279794,17.315847016736583
synthetic,count1_r40_norm_b0,5.0,0,0,10-75,20.917600346881503,25.296814205995183,4.37921385911368,1959520.6854152638,5787.1992056958325,24.552255398973134
synthetic,count1_r40_norm_b0,5.0,0,1,150-225,-4.746806037788392,23.986177154189143,28.732983191977535,4993.609132867034,19.943291180757722,18.156314124340735
synthetic,count1_r40_norm_b0,10.0,0,0,10-75,25.917600346881503,25.299212739057634,-0.6183876078238697,6196369.015253011,18290.09661955231,24.56581892869242
synthetic,count1_r40_norm_b0,10.0,0,1,150-225,0.2531939622116077,24.042344580123377,23.78915061791177,15835.11933409811,62.42907247726301,18.39265524795533
synthetic,count1_r40_norm_b0,15.0,0,0,10-75,30.917600346881503,25.300479080946026,-5.617121265935477,19594321.13985031,57820.56265760938,24.57298302188349
synthetic,count1_r40_norm_b0,15.0,0,1,150-225,5.253193962211608,24.054235139450938,18.80104117723933,50154.228296755835,197.189614758387,18.443081543745517
synthetic,count1_r40_norm_b0,20.0,0,0,10-75,35.9176003468815,25.301165096273614,-10.616435250607886,61962119.191013664,182814.12712624835,24.576864898162892
synthetic,count1_r40_norm_b0,20.0,0,1,150-225,10.253193962211608,24.05464840799663,13.801454445785023,158743.4525891794,624.0666591501197,18.44483664505663
synthetic,count1_r40_norm_b40,-10.0,0,0,10-75,5.917600346881509,24.93100328694944,19.013402940067934,61021.41604697038,196.0568193939107,22.56889526838331
synthetic,count1_r40_norm_b40,-10.0,0,1,150-225,-19.11942212274345,22.26865660083661,41.388078723580065,193.98739772473698,1.150556253081504,12.225753427769167
synthetic,count1_r40_norm_b40,-5.0,0,0,10-75,10.917600346881509,24.932659288953552,14.015058942072043,192922.7550721649,619.6087275603705,22.577502622102333
synthetic,count1_r40_norm_b40,-5.0,0,1,150-225,-14.119422122743451,24.012384175650002,38.13180629839346,611.0972056514879,2.425894334730376,18.266207635853725
synthetic,count1_r40_norm_b40,0.0,0,0,10-75,15.917600346881509,24.93170937792899,9.01410903104748,609997.9390538515,1959.5548751078832,22.572564895685012
synthetic,count1_r40_norm_b40,0.0,0,1,150-225,-9.119422122743451,24.73758406668619,33.85700618942964,1929.0769660512876,6.480240868267199,21.585811447048187
synthetic,count1_r40_norm_b40,5.0,0,0,10-75,20.917600346881507,24.930580326405966,4.012979979524459,1928845.9502644914,6197.82787481848,22.566697384737637
synthetic,count1_r40_norm_b40,5.0,0,1,150-225,-4.119422122743451,24.98538384730106,29.10480597004451,6095.050368290435,19.339218230601798,22.853270346612547
synthetic,count1_r40_norm_b40,10.0,0,0,10-75,25.917600346881507,24.9297573976032,-0.9878429492783063,6099303.699937354,19602.186586051765,22.562421708510836
synthetic,count1_r40_norm_b40,10.0,0,1,150-225,0.8805778772565489,25.061245946166192,24.180668068909643,19265.7348646458,60.07046372921953,23.25597581446242
synthetic,count1_r40_norm_b40,15.0,0,0,10-75,30.917600346881507,24.92923520263771,-5.988365144243797,19287260.837595977,61993.62523667245,22.559708969755697
synthetic,count1_r40_norm_b40,15.0,0,1,150-225,5.880577877256549,25.08234954986748,19.20177167261093,60909.2632353549,188.9941629504869,23.369258226111473
synthetic,count1_r40_norm_b40,20.0,0,0,10-75,35.91760034688151,24.928922763993413,-10.988677582888094,60990908.33963213,196052.69876823906,22.558086045301277
synthetic,count1_r40_norm_b40,20.0,0,1,150-225,10.880577877256549,25.08725729619911,14.20667941894256,192587.29002219552,596.9004309519369,23.395681591705454
synthetic,count1_r40_norm_b65,-10.0,0,0,10-75,5.917600346881503,24.47755662670358,18.559956279822078,59736.97627966786,213.05296050320047,20.331322774889493
synthetic,count1_r40_norm_b65,-10.0,0,1,150-225,-19.883840141322047,21.698553992961294,41.58239413428334,158.42866586713683,1.071465929077931,10.721742476766
synthetic,count1_r40_norm_b65,-5.0,0,0,10-75,10.917600346881503,24.488919696880313,13.57131934999881,189025.94822937684,672.4027108170235,20.38458818682871
synthetic,count1_r40_norm_b65,-5.0,0,1,150-225,-14.883840141322048,23.33481102964448,38.21865117096653,498.1354886526514,2.3113535449341374,15.62755641821597
synthetic,count1_r40_norm_b65,0.0,0,0,10-75,15.917600346881503,24.493475701292063,8.57587535441056,597968.573873192,2124.8622951143834,20.405984038919716
synthetic,count1_r40_norm_b65,0.0,0,1,150-225,-9.883840141322048,24.023439109240947,33.90727925056299,1570.8187962242937,6.219882470244455,18.31276335940994
synthetic,count1_r40_norm_b65,5.0,0,0,10-75,20.917600346881503,24.495456274066502,3.5778559271849986,1891327.636119909,6717.70829033179,20.415292182387972
synthetic,count1_r40_norm_b65,5.0,0,1,150-225,-4.8838401413220485,24.26969381562965,29.153533956951698,4960.16004652663,18.55779223641811,19.38114157789869
synthetic,count1_r40_norm_b65,10.0,0,0,10-75,25.917600346881503,24.496385985140627,-1.4212143617408763,5981588.515105976,21241.14557018431,20.41966303114501
synthetic,count1_r40_norm_b65,10.0,0,1,150-225,0.11615985867795153,24.35229529540207,24.23613543672412,15673.252397159064,57.53466620922922,19.753292835034305
synthetic,count1_r40_norm_b65,15.0,0,0,10-75,30.917600346881503,24.496850578098975,-6.420749768782528,18916663.329665266,67167.54527341451,20.42184757170526
synthetic,count1_r40_norm_b65,15.0,0,1,150-225,5.1161598586779515,24.37966999796112,19.26351013928317,49542.23005168658,180.7209712102926,19.878196175606178
synthetic,count1_r40_norm_b65,20.0,0,0,10-75,35.9176003468815,24.49709342369191,-11.420506923189588,59821911.427763864,212398.254373663,20.42298953747928
synthetic,count1_r40_norm_b65,20.0,0,1,150-225,10.116159858677952,24.38887374681093,14.272713888132978,156629.7015700433,570.1468717195207,19.920367543563394
synthetic,count1_r140_norm_b0,-10.0,0,0,75-150,-15.84512142712952,24.26749103338306,40.11261246051258,426.55978225001587,1.5967274912019194,19.371313774140177
synthetic,count1_r140_norm_b0,-10.0,0,2,225-300,-26.300424048027313,17.547409644279707,43.84783369230702,39.00502973096434,0.6860877242728647,4.122407664629727
synthetic,count1_r140_norm_b0,-5.0,0,0,75-150,-10.84512142712952,25.33994453130649,36.18506595843601,1344.4514867082712,3.931431224217148,24.797301680467804
