probe,setting,target,snr_ref_db,received_snr_db,peak_to_noise_db,detected,g_emp_db
processing,K64_N64,near,-10.0,-1.1260500153457453,24.02297651501962,True,25.14902653036537
processing,K128_N128,near,-10.0,-1.1260500153457453,25.317117844858164,True,26.443167860203907
processing,K128_N256,near,-10.0,-1.1260500153457453,25.37466793385413,True,26.500717949199874
processing,K256_N256,near,-10.0,-1.1260500153457453,24.27247931586299,True,25.398529331208735
array,A4,near,-10.0,-1.1260500153457453,24.249588089431757,True,25.3756381047775
array,A8,near,-10.0,-1.1260500153457453,24.23351769630218,True,25.359567711647927
array,A16,near,-10.0,-1.1260500153457453,24.27247931586299,True,25.398529331208735
processing,K64_N64,near,0.0,8.873949984654255,24.91732836572887,True,16.043378381074618
processing,K128_N128,near,0.0,8.873949984654255,25.518555294854742,True,16.64460531020049
processing,K128_N256,near,0.0,8.873949984654255,25.47937938071243,True,16.605429396058177
processing,K256_N256,near,0.0,8.873949984654255,24.341673904012456,True,15.467723919358201
array,A4,near,0.0,8.873949984654255,24.333951115878392,True,15.460001131224137
array,A8,near,0.0,8.873949984654255,24.32801356112558,True,15.454063576471325
array,A16,near,0.0,8.873949984654255,24.341673904012456,True,15.467723919358201
processing,K64_N64,near,10.0,18.873949984654253,25.01707607193206,True,6.143126087277807
processing,K128_N128,near,10.0,18.873949984654253,25.529642087434738,True,6.655692102780485
processing,K128_N256,near,10.0,18.873949984654253,25.482819403354956,True,6.608869418700703
processing,K256_N256,near,10.0,18.873949984654253,24.353485586004354,True,5.479535601350101
array,A4,near,10.0,18.873949984654253,24.35099959347166,True,5.477049608817406
array,A8,near,10.0,18.873949984654253,24.349037024093143,True,5.47508703943889
array,A16,near,10.0,18.873949984654253,24.353485586004354,True,5.479535601350101
processing,K64_N64,near,20.0,28.873949984654253,25.027014532656526,True,-3.8469354519977266
processing,K128_N128,near,20.0,28.873949984654253,25.52772790947369,True,-3.346222075180563
processing,K128_N256,near,20.0,28.873949984654253,25.480901043414054,True,-3.393048941240199
processing,K256_N256,near,20.0,28.873949984654253,24.356196761284053,True,-4.5177532233702
array,A4,near,20.0,28.873949984654253,24.35540640031742,True,-4.5185435843368325
array,A8,near,20.0,28.873949984654253,24.354777333212372,True,-4.519172651441881
array,A16,near,20.0,28.873949984654253,24.356196761284053,True,-4.5177532233702
processing,K64_N64,medium,-10.0,-15.84512142712952,15.750504180045157,True,31.595625607174675
processing,K128_N128,medium,-10.0,-15.84512142712952,21.363422377560433,True,37.20854380468995
processing,K128_N256,medium,-10.0,-15.84512142712952,22.706024191019374,True,38.551145618148894
processing,K256_N256,medium,-10.0,-15.84512142712952,24.27729403982712,True,40.12241546695664
array,A4,medium,-10.0,-15.84512142712952,23.771352912535207,True,39.61647433966473
array,A8,medium,-10.0,-15.84512142712952,24.038514007067203,True,39.88363543419672
array,A16,medium,-10.0,-15.84512142712952,24.27729403982712,True,40.12241546695664
processing,K64_N64,medium,0.0,-5.84512142712952,22.36561166021759,True,28.21073308734711
processing,K128_N128,medium,0.0,-5.84512142712952,25.274450071577,True,31.11957149870652
processing,K128_N256,medium,0.0,-5.84512142712952,25.550611705046194,True,31.395733132175714
processing,K256_N256,medium,0.0,-5.84512142712952,25.802992793091036,True,31.648114220220556
array,A4,medium,0.0,-5.84512142712952,25.53232965900602,True,31.37745108613554
array,A8,medium,0.0,-5.84512142712952,25.70782364725842,True,31.55294507438794
array,A16,medium,0.0,-5.84512142712952,25.802992793091036,True,31.648114220220556
processing,K64_N64,medium,10.0,4.15487857287048,24.15689768797626,True,20.00201911510578
processing,K128_N128,medium,10.0,4.15487857287048,25.999768722508666,True,21.844890149638186
processing,K128_N256,medium,10.0,4.15487857287048,25.97389524535171,True,21.81901667248123
processing,K256_N256,medium,10.0,4.15487857287048,25.961090710676665,True,21.806212137806185
array,A4,medium,10.0,4.15487857287048,25.8681454516295,True,21.71326687875902
array,A8,medium,10.0,4.15487857287048,25.931983376460504,True,21.777104803590024
array,A16,medium,10.0,4.15487857287048,25.961090710676665,True,21.806212137806185
processing,K64_N64,medium,20.0,14.15487857287048,24.34600102949332,True,10.191122456622839
processing,K128_N128,medium,20.0,14.15487857287048,26.08867686466793,True,11.933798291797451
processing,K128_N256,medium,20.0,14.15487857287048,26.017537273262242,True,11.862658700391762
processing,K256_N256,medium,20.0,14.15487857287048,25.968446246966657,True,11.813567674096177
array,A4,medium,20.0,14.15487857287048,25.93860490128179,True,11.783726328411309
array,A8,medium,20.0,14.15487857287048,25.959467379988993,True,11.804588807118513
array,A16,medium,20.0,14.15487857287048,25.968446246966657,True,11.813567674096177
processing,K64_N64,far,-10.0,-27.88632125368877,5.30244723839818,True,33.18876849208695
processing,K128_N128,far,-10.0,-27.88632125368877,10.682746279933099,True,38.56906753362187
processing,K128_N256,far,-10.0,-27.88632125368877,13.17681183342804,True,41.06313308711681
processing,K256_N256,far,-10.0,-27.88632125368877,15.820622165223499,True,43.70694341891227
array,A4,far,-10.0,-27.88632125368877,16.22641826714377,True,44.11273952083254
array,A8,far,-10.0,-27.88632125368877,15.867052266371605,True,43.75337352006038
array,A16,far,-10.0,-27.88632125368877,15.820622165223499,True,43.70694341891227
processing,K64_N64,far,0.0,-17.88632125368877,14.524181142937774,True,32.41050239662654
processing,K128_N128,far,0.0,-17.88632125368877,19.887835821937962,True,37.77415707562673
processing,K128_N256,far,0.0,-17.88632125368877,21.498139542911176,True,39.384460796599946
processing,K256_N256,far,0.0,-17.88632125368877,23.079673050854193,True,40.96599430454296
array,A4,far,0.0,-17.88632125368877,23.12399257324513,True,41.010313826933896
array,A8,far,0.0,-17.88632125368877,23.018837919105156,True,40.90515917279393
array,A16,far,0.0,-17.88632125368877,23.079673050854193,True,40.96599430454296
processing,K64_N64,far,10.0,-7.88632125368877,22.506745239248417,True,30.393066492937187
processing,K128_N128,far,10.0,-7.88632125368877,24.976175443790293,True,32.86249669747906
processing,K128_N256,far,10.0,-7.88632125368877,25.221517772727026,True,33.107839026415796
processing,K256_N256,far,10.0,-7.88632125368877,25.392490795848598,True,33.278812049537365
array,A4,far,10.0,-7.88632125368877,25.362669565897846,True,33.248990819586616
array,A8,far,10.0,-7.88632125368877,25.351871173695905,True,33.238192427384675
array,A16,far,10.0,-7.88632125368877,25.392490795848598,True,33.278812049537365
processing,K64_N64,far,20.0,2.11367874631123,25.624345869702402,True,23.510667123391173
processing,K128_N128,far,20.0,2.11367874631123,25.962398231241615,True,23.848719484930385
processing,K128_N256,far,20.0,2.11367874631123,25.867714077294295,True,23.754035330983065
processing,K256_N256,far,20.0,2.11367874631123,25.700177597817838,True,23.586498851506608
array,A4,far,20.0,2.11367874631123,25.685901296593272,True,23.572222550282042
array,A8,far,20.0,2.11367874631123,25.68609146780546,True,23.57241272149423
array,A16,far,20.0,2.11367874631123,25.700177597817838,True,23.586498851506608
