dimension,bucket,snr_ref_db,pairs_or_targets,matched,recall,range_median_abs_m,u_median_abs,xy_median_m
range_bin,10-75,-10.0,66,52,0.7878787878787878,0.0013494586173159462,0.00011721765524355665,0.009255011419748025
range_bin,150-225,-10.0,113,92,0.8141592920353983,0.008345804051074879,0.0005563726260518903,0.11921952389981441
range_bin,225-300,-10.0,71,36,0.5070422535211268,0.027761883208427207,0.0009999565101143637,0.43976086321845864
range_bin,75-150,-10.0,143,92,0.6433566433566433,0.002794460253227271,0.0002528451061941661,0.04137240277051113
density_bucket,high,-10.0,176,120,0.6818181818181818,0.005205802607598287,0.0003307853872256544,0.05691545348596195
density_bucket,low,-10.0,102,72,0.7058823529411765,0.005025954178400127,0.0004222569091200945,0.08313928559754027
density_bucket,mid,-10.0,115,80,0.6956521739130435,0.0037543520141554154,0.0003689100458418547,0.06270059645893361
range_bin,10-75,-5.0,66,52,0.7878787878787878,0.001706548456784418,0.00011748783633792892,0.00770754596878585
range_bin,150-225,-5.0,113,92,0.8141592920353983,0.0052034531947953155,0.0003328399586969427,0.07435475662084398
range_bin,225-300,-5.0,71,36,0.5070422535211268,0.017951729475811362,0.0006181390116487551,0.28102720135962683
range_bin,75-150,-5.0,143,92,0.6433566433566433,0.0023461426605564384,0.00015782382094636088,0.025905475889716284
density_bucket,high,-5.0,176,120,0.6818181818181818,0.0031345152032073997,0.00022842083445481776,0.039900488072696985
density_bucket,low,-5.0,102,72,0.7058823529411765,0.0033783900035189163,0.00023226744625164109,0.05039458160090905
density_bucket,mid,-5.0,115,80,0.6956521739130435,0.002824835382451596,0.00023068505544188156,0.03492919168180703
range_bin,10-75,0.0,66,52,0.7878787878787878,0.0017739280543054292,0.00011824139012495127,0.007627255032568888
range_bin,150-225,0.0,113,92,0.8141592920353983,0.003109229801950164,0.000190996734377058,0.04398452648799233
range_bin,225-300,0.0,71,36,0.5070422535211268,0.010718496565090163,0.0003788612125415203,0.17714457674191586
range_bin,75-150,0.0,143,92,0.6433566433566433,0.0018985853328246094,0.00012273570356231486,0.01940763040411857
density_bucket,high,0.0,176,120,0.6818181818181818,0.00248743054422107,0.00016527124080388533,0.029089366433288102
density_bucket,low,0.0,102,72,0.7058823529411765,0.0026273841965149813,0.00014608808809323242,0.03614431598061588
density_bucket,mid,0.0,115,80,0.6956521739130435,0.0024698987613902545,0.00014376433374143488,0.021739972664569875
range_bin,10-75,5.0,66,52,0.7878787878787878,0.0020144386210496634,0.00012196587125500036,0.007640624913032676
range_bin,150-225,5.0,113,92,0.8141592920353983,0.002496560642399004,0.0001244852512347211,0.03204482691535977
range_bin,225-300,5.0,71,36,0.5070422535211268,0.006278667295717355,0.00023875996618133444,0.10438517872759134
range_bin,75-150,5.0,143,92,0.6433566433566433,0.0017204719550676373,0.00010625714371638624,0.015582909052926933
density_bucket,high,5.0,176,120,0.6818181818181818,0.0022650731912818856,0.0001315682353033587,0.024657079845748102
density_bucket,low,5.0,102,72,0.7058823529411765,0.002244629809556642,0.0001253049966562711,0.02406349790213437
density_bucket,mid,5.0,115,80,0.6956521739130435,0.0021215185448362206,0.0001030095986469387,0.018020152060761893
range_bin,10-75,10.0,66,52,0.7878787878787878,0.0019489480147996119,0.00012301404029299579,0.007561288815425175
range_bin,150-225,10.0,113,92,0.8141592920353983,0.0020518689398727474,9.755266711949928e-05,0.025046014896918344
range_bin,225-300,10.0,71,36,0.5070422535211268,0.004107988885110103,0.00017753749853194334,0.07393572012633193
range_bin,75-150,10.0,143,92,0.6433566433566433,0.001675433596624032,0.00011117149853049138,0.015638108016078837
density_bucket,high,10.0,176,120,0.6818181818181818,0.0021734299344942087,0.00012178939024481972,0.022099922620041942
density_bucket,low,10.0,102,72,0.7058823529411765,0.0020203691566464954,0.00011337845643999422,0.019120004444659666
density_bucket,mid,10.0,115,80,0.6956521739130435,0.00195879058892956,0.0001000707616377744,0.015869817388563377
range_bin,10-75,15.0,66,52,0.7878787878787878,0.0019485434906485466,0.00012324208443675877,0.00737107973875655
range_bin,150-225,15.0,113,92,0.8141592920353983,0.0018212024933461635,0.00010866124971041502,0.024799881811207788
range_bin,225-300,15.0,71,36,0.5070422535211268,0.002646525534046873,0.0001232241071298379,0.05560321483026223
range_bin,75-150,15.0,143,92,0.6433566433566433,0.0017281121897099183,0.000112489748124181,0.015464703555147253
density_bucket,high,15.0,176,120,0.6818181818181818,0.0021077141872467564,0.00012237011286336807,0.021520463580921044
density_bucket,low,15.0,102,72,0.7058823529411765,0.0018620099889403718,0.00011331476792514339,0.018128148734669107
density_bucket,mid,15.0,115,80,0.6956521739130435,0.00178120802474524,9.705635927628742e-05,0.01565112287551678
range_bin,10-75,20.0,66,53,0.803030303030303,0.0019322254553131302,0.00012234115561399195,0.007308395962335594
range_bin,150-225,20.0,113,93,0.8230088495575221,0.0019211626756998612,0.000107477369852782,0.02414903509778764
range_bin,225-300,20.0,71,36,0.5070422535211268,0.0023219243119854127,0.0001206989809541259,0.04955399984710107
range_bin,75-150,20.0,143,91,0.6363636363636364,0.001667726831342975,0.00011331796251217233,0.016174442263118965
density_bucket,high,20.0,176,120,0.6818181818181818,0.0020140756845421492,0.00012070172365594156,0.021097030139473942
density_bucket,low,20.0,102,72,0.7058823529411765,0.00169681496215901,0.00011217835040250312,0.017459294190019722
density_bucket,mid,20.0,115,81,0.7043478260869566,0.00178749100564346,0.00010621033546587277,0.01649306344706051
