snr_ref_db,stream,targets,gt_identities,matched_frames,continuity,coast_ratio,id_switches,track_position_rmse_m,track_velocity_rmse_mps
-10.0,stream_count3,3,3,30,0.9629629629629629,0.0,0,0.031087053139547547,0.24354365154249494
-5.0,stream_count3,3,3,30,0.9629629629629629,0.0,0,0.018449495755341806,0.15159950663442603
0.0,stream_count3,3,3,30,0.9629629629629629,0.0,0,0.01242877576609081,0.10627887851712631
5.0,stream_count3,3,3,30,0.9629629629629629,0.0,0,0.010113612105394897,0.08643361838173978
10.0,stream_count3,3,3,30,0.9629629629629629,0.0,0,0.009458472980337671,0.07865109608757473
15.0,stream_count3,3,3,30,0.9629629629629629,0.0,0,0.00935268887851346,0.07574150070208704
20.0,stream_count3,3,3,30,0.9629629629629629,0.0,0,0.009381033412875533,0.07463562115291553
-10.0,stream_count5,5,5,52,0.9777777777777777,0.0,0,0.028901007151825194,0.1858894086860744
-5.0,stream_count5,5,5,52,0.9777777777777777,0.0,0,0.01923033479130064,0.111539112553242
0.0,stream_count5,5,5,52,0.9777777777777777,0.0,0,0.01485554036424349,0.0779253328821644
5.0,stream_count5,5,5,52,0.9777777777777777,0.0,0,0.013143621888174003,0.06652479958376421
10.0,stream_count5,5,5,52,0.9777777777777777,0.0,0,0.012531962271368286,0.06413556939957528
15.0,stream_count5,5,5,52,0.9777777777777777,0.0,0,0.012319672972435405,0.06428378403402664
20.0,stream_count5,5,5,52,0.9777777777777777,0.0,0,0.012244659254469985,0.06484382792463576
-10.0,stream_count8,8,8,77,0.875,0.0,1,0.055296989885761205,0.45213382310895744
-5.0,stream_count8,8,8,85,0.9861111111111112,0.0,0,0.030150233647685175,0.16901830271191784
0.0,stream_count8,8,8,85,0.9861111111111112,0.0,0,0.02008050458524093,0.11369418551596916
5.0,stream_count8,8,8,85,0.9861111111111112,0.0,0,0.015441778534833344,0.08754269365650764
10.0,stream_count8,8,8,85,0.9861111111111112,0.0,0,0.013548915646748198,0.07637252458232625
15.0,stream_count8,8,8,85,0.9861111111111112,0.0,0,0.0128319831951628,0.07182382197090156
20.0,stream_count8,8,8,77,0.875,0.0,0,0.08314721950947473,0.5930898211934569
-10.0,train_stream_low,1,1,11,1.0,0.0,0,0.10311373762820229,0.4220217264259572
-5.0,train_stream_low,1,1,11,1.0,0.09090909090909091,1,0.1278407278183723,0.47479911759547755
0.0,train_stream_low,1,1,11,1.0,0.09090909090909091,1,0.12335789692629748,0.41523762243542867
5.0,train_stream_low,1,1,11,1.0,0.09090909090909091,1,0.12229001679458255,0.3950679523093228
10.0,train_stream_low,1,1,11,1.0,0.09090909090909091,1,0.12216996395976398,0.38882394429008543
15.0,train_stream_low,1,1,11,1.0,0.09090909090909091,1,0.12225596830292647,0.3870354203083739
20.0,train_stream_low,1,1,11,1.0,0.09090909090909091,1,0.12235296577693565,0.3865867383946808
-10.0,train_stream_mid,5,5,55,1.0,0.01818181818181818,1,0.07735677123338568,0.41543888829334336
-5.0,train_stream_mid,5,5,55,1.0,0.01818181818181818,1,0.069599662596633,0.38612678096425074
0.0,train_stream_mid,5,5,55,1.0,0.01818181818181818,1,0.06595874978752375,0.37604848960734033
5.0,train_stream_mid,5,5,55,1.0,0.01818181818181818,1,0.06438183656208306,0.37278847152003936
10.0,train_stream_mid,5,5,55,1.0,0.01818181818181818,1,0.06361684330709758,0.37171372439145595
15.0,train_stream_mid,5,5,55,1.0,0.01818181818181818,1,0.06322686945811978,0.3713525958603712
20.0,train_stream_mid,5,5,55,1.0,0.01818181818181818,1,0.06302057356098514,0.3712268532989425
-10.0,train_stream_high,8,8,59,0.7083333333333334,0.288135593220339,4,1.6815555520947478,5.4901010589599215
-5.0,train_stream_high,8,8,59,0.7083333333333334,0.288135593220339,4,1.6802967631885144,5.489573454700406
0.0,train_stream_high,8,8,59,0.7083333333333334,0.288135593220339,4,1.6796719092931836,5.489670065413018
5.0,train_stream_high,8,8,58,0.6944444444444444,0.3448275862068966,4,1.8485098157504056,5.725964041526806
10.0,train_stream_high,8,8,58,0.6944444444444444,0.3620689655172414,6,1.8483689345136325,5.736820593373289
15.0,train_stream_high,8,8,58,0.6944444444444444,0.3620689655172414,6,1.8482924523086457,5.736906750578937
20.0,train_stream_high,8,8,58,0.6944444444444444,0.3620689655172414,6,1.8482504200187053,5.736959190435207
