model,samples,dvr_mps,realization,n_detections,matched_targets,ghost_count,merged
E0,256,5.0,0,2,2,0,False
E0,256,5.0,1,2,2,0,False
E0,256,5.0,2,2,2,0,False
E0,256,10.0,0,2,2,0,False
E0,256,10.0,1,2,2,0,False
E0,256,10.0,2,2,2,0,False
E0,256,20.0,0,2,2,0,False
E0,256,20.0,1,2,2,0,False
E0,256,20.0,2,2,2,0,False
E0,256,30.0,0,2,2,0,False
E0,256,30.0,1,2,2,0,False
E0,256,30.0,2,2,2,0,False
E0,256,40.0,0,2,2,0,False
E0,256,40.0,1,2,2,0,False
E0,256,40.0,2,2,2,0,False
B32,32,5.0,0,2,1,1,True
B32,32,5.0,1,1,1,0,True
B32,32,5.0,2,1,1,0,True
B32,32,10.0,0,1,1,0,True
B32,32,10.0,1,2,2,0,False
B32,32,10.0,2,2,2,0,False
B32,32,20.0,0,2,2,0,False
B32,32,20.0,1,2,2,0,False
B32,32,20.0,2,1,1,0,True
B32,32,30.0,0,1,1,0,True
B32,32,30.0,1,2,2,0,False
B32,32,30.0,2,1,1,0,True
B32,32,40.0,0,3,2,1,False
B32,32,40.0,1,3,2,1,False
B32,32,40.0,2,3,2,1,False
B24,24,5.0,0,1,1,0,True
B24,24,5.0,1,1,1,0,True
B24,24,5.0,2,1,1,0,True
B24,24,10.0,0,1,1,0,True
B24,24,10.0,1,1,1,0,True
B24,24,10.0,2,2,1,1,True
B24,24,20.0,0,3,2,1,False
B24,24,20.0,1,2,2,0,False
B24,24,20.0,2,1,1,0,True
B24,24,30.0,0,2,1,1,True
B24,24,30.0,1,2,2,0,False
B24,24,30.0,2,1,1,0,True
B24,24,40.0,0,4,2,2,False
B24,24,40.0,1,3,2,1,False
B24,24,40.0,2,4,2,2,False
B16,16,5.0,0,1,1,0,True
B16,16,5.0,1,1,1,0,True
B16,16,5.0,2,1,1,0,True
B16,16,10.0,0,2,1,1,True
B16,16,10.0,1,1,1,0,True
B16,16,10.0,2,1,1,0,True
B16,16,20.0,0,3,2,1,False
B16,16,20.0,1,1,1,0,True
B16,16,20.0,2,2,1,1,True
B16,16,30.0,0,3,1,2,True
B16,16,30.0,1,2,2,0,False
B16,16,30.0,2,1,1,0,True
B16,16,40.0,0,1,1,0,True
B16,16,40.0,1,4,2,2,False
B16,16,40.0,2,3,1,2,True
B12,12,5.0,0,3,1,2,True
B12,12,5.0,1,1,1,0,True
B12,12,5.0,2,1,1,0,True
B12,12,10.0,0,2,1,1,True
B12,12,10.0,1,1,1,0,True
B12,12,10.0,2,1,1,0,True
B12,12,20.0,0,1,1,0,True
B12,12,20.0,1,2,1,1,True
B12,12,20.0,2,1,1,0,True
B12,12,30.0,0,1,1,0,True
B12,12,30.0,1,2,2,0,False
B12,12,30.0,2,1,1,0,True
B12,12,40.0,0,2,1,1,True
B12,12,40.0,1,4,2,2,False
B12,12,40.0,2,2,1,1,True
B8,8,5.0,0,3,1,2,True
B8,8,5.0,1,2,1,1,True
B8,8,5.0,2,1,1,0,True
B8,8,10.0,0,1,1,0,True
B8,8,10.0,1,1,1,0,True
B8,8,10.0,2,1,1,0,True
B8,8,20.0,0,1,1,0,True
B8,8,20.0,1,2,1,1,True
B8,8,20.0,2,3,1,2,True
B8,8,30.0,0,1,1,0,True
B8,8,30.0,1,1,1,0,True
B8,8,30.0,2,1,1,0,True
B8,8,40.0,0,2,1,1,True
B8,8,40.0,1,3,1,2,True
B8,8,40.0,2,2,1,1,True
