model,samples,snr_ref_db,scene,range_class,count,bs,target_index,visible,matched,false_alarms_bs,r_gt_m,u_gt,r_hat_m,u_hat,vr_hat_mps,range_abs_m,u_abs,xy_abs_m,peak_to_noise_db,gt_rd_snr_db
E0,256,-5.0,count1_r40_norm_b0,near,1,0,0,True,True,1,40.0,0.0,39.99786968050793,-1.6660660612796907e-05,-7.938125532431323,0.002130319492067656,1.6660660612796907e-05,0.0022466557397156357,25.307316043549474,55.429430545847424
E0,256,-5.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.23880400965274,0.6098532144749129,4.507435044632414,0.016088556052693548,0.00040262512233679715,0.09045615006492681,22.922887004212853,55.429430545847424
B64,64,-5.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99809088083494,-5.135304113261644e-05,-7.9349680233336155,0.001909119165063089,5.135304113261644e-05,0.002802833873970435,25.315018674003056,49.43205267663544
B64,64,-5.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.22840366628483,0.6101224583857082,4.574771943919289,0.026488899420598955,0.00013338121154149452,0.03964786842528912,21.199655060919174,49.43205267663544
B32,32,-5.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99819918468611,-6.404386165829006e-05,-7.938918831573764,0.0018008153138922012,6.404386165829006e-05,0.003123165608346007,25.27602210415182,46.423471189063974
B32,32,-5.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.2340317454062,0.6103553132340764,4.648896630820316,0.02086082029921954,9.947363682671906e-05,0.03032139385241122,18.74575793839798,46.423471189063974
B24,24,-5.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99812855414372,-8.60891696508009e-05,-7.912956483421542,0.0018714458562811842,8.60891696508009e-05,0.0039025912233912035,24.810917707818938,45.08526105370053
B24,24,-5.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.23944040210097,0.6101682658590037,4.812851887479607,0.015452163604464886,8.757373824597181e-05,0.024777482130348513,17.600687029115992,45.08526105370053
B16,16,-5.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.998095362491256,-0.0001233151084037082,-7.953354506775914,0.0019046375087441447,0.0001233151084037082,0.005256851736685766,23.549592986200455,43.047412971396504
B16,16,-5.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.2393134316108,0.609336781132791,5.159796929068738,0.015579134094622304,0.0009190584644587219,0.20373261819833557,16.72454688025966,43.047412971396504
B12,12,-5.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99742400832606,-7.063319007407907e-05,-8.02022431989095,0.0025759916739431787,7.063319007407907e-05,0.0038207728155110637,24.184260787943302,41.92850546322167
B12,12,-5.0,count1_r40_norm_b0,near,1,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.24152000949158,0.608752158544231,5.5409518239184266,0.013372556213852249,0.0015036810530186795,0.3325293711072986,16.06334538275435,41.92850546322167
B8,8,-5.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99692066167061,-8.471610144482905e-05,-8.064537290120123,0.003079338329392556,8.471610144482905e-05,0.004575527678517257,24.683682670042163,40.252609185696286
B8,8,-5.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.2351947947297,0.6079361296253135,5.377922590066932,0.019697770975739104,0.0023197099719362013,0.5127407070777665,14.70962980110631,40.252609185696286
E0,256,0.0,count1_r40_norm_b0,near,1,0,0,True,True,1,40.0,0.0,39.99766785138969,-9.366186493205042e-06,-7.938118647013788,0.002332148610307172,9.366186493205042e-06,0.0023797927791318714,25.30616612248337,60.429430545847424
E0,256,0.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.2446400199704,0.6100138811496664,4.50559581177047,0.010252545735028207,0.00024195844758334584,0.054471804449622616,23.621840007793576,60.429430545847424
B64,64,0.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99779210200786,-2.8862399653021732e-05,-7.936350919867538,0.0022078979921431596,2.8862399653021732e-05,0.00250282986524742,25.32222413571406,54.43205267663544
B64,64,0.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.23868161499837,0.610163803151561,4.548929971679043,0.016210950707062466,9.20364456886702e-05,0.02602218959782971,23.39957250683242,54.43205267663544
B32,32,0.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99785266398701,-3.599902399523737e-05,-7.938571849030753,0.0021473360129888874,3.599902399523737e-05,0.002593303926767694,25.304909715652077,51.423471189063974
B32,32,0.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.24202388971503,0.6102967314252762,4.581002694253728,0.0128686759904042,4.089182802646807e-05,0.01573223833369209,21.480180270564393,51.423471189063974
B24,24,0.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99781294737878,-4.8407765216736234e-05,-7.909095398583184,0.0021870526212168784,4.8407765216736234e-05,0.002923976430441786,24.84522467826278,50.08526105370053
B24,24,0.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.24475386495305,0.6101887967629811,4.695601703731802,0.010138700752378327,6.704283426861579e-05,0.017962307211264687,20.68148261334079,50.08526105370053
B16,16,0.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99779432043046,-6.937967092773102e-05,-7.945524398405575,0.002205679569541985,6.937967092773102e-05,0.003538806027904029,23.584286167156602,48.047412971396504
B16,16,0.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.24470124230865,0.6097163692964106,4.914935482080663,0.010191323396782082,0.0005394703008391177,0.11969564957752489,20.221613706959104,48.047412971396504
B12,12,0.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99741382013579,-3.9740095430437176e-05,-8.009401836844116,0.0025861798642097256,3.9740095430437176e-05,0.0030465869786026325,24.246974668931927,46.92850546322167
B12,12,0.0,count1_r40_norm_b0,near,1,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.24565943224235,0.6093821220029993,5.159669372981873,0.009233133463084187,0.0008737175942503672,0.19334261997909383,19.74565535354048,46.92850546322167
B8,8,0.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99713221050488,-4.7667395316193466e-05,-8.054476882293251,0.002867789495120121,4.7667395316193466e-05,0.0034544453941680615,24.790750662182234,45.252609185696286
B8,8,0.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.24130557943056,0.6089144099241481,5.0970315929772605,0.013586986274873425,0.0013414296731015796,0.29674295600302125,18.614289947746062,45.252609185696286
E0,256,5.0,count1_r40_norm_b0,near,1,0,0,True,True,1,40.0,0.0,39.99755440555855,-5.266111311358943e-06,-7.938114932740235,0.0024455944414469855,5.266111311358943e-06,0.0024737721347175244,25.304720106659694,65.42943054584742
E0,256,5.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.24796437218433,0.6101042749679307,4.504540280113013,0.006928193521105186,0.00015156462931897874,0.034222220619390266,23.886634011797746,65.42943054584742
B64,64,5.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99762423273732,-1.6225609715145524e-05,-7.937125979703636,0.0023757672626771864,1.6225609715145524e-05,0.0024796154861382604,25.323416487042145,59.43205267663544
B64,64,5.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.24457916335865,0.6101881073136274,4.5338093615273145,0.010313402346781686,6.773228362233485e-05,0.018186899835912207,24.48595241341436,59.43205267663544
B32,32,5.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99765818147044,-2.0238844241640492e-05,-7.938374820782992,0.0023418185295582816,2.0238844241640492e-05,0.0024932443318220767,25.315474766337942,56.423471189063974
B32,32,5.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.24651436103525,0.6102634980943055,4.541648195533715,0.008378204670179912,7.65849705575139e-06,0.008550994952041818,22.996250886774874,56.423471189063974
B24,24,5.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.997635847851036,-2.7220505875122493e-05,-7.906934096055139,0.002364152148963683,2.7220505875122493e-05,0.0026162710011729496,24.857691880086715,55.08526105370053
B24,24,5.0,count1_r40_norm_b0,near,1,1,0,True,True,1,175.25489256570543,0.6102558395972497,175.24794573603575,0.6102018976789069,4.6239118295784,0.006946829669686849,5.3941918342848005e-05,0.013804765687396756,22.566338486489016,55.08526105370053
B16,16,5.0,count1_r40_norm_b0,near,1,0,0,True,True,0,40.0,0.0,39.99762538524981,-3.902595989586571e-05,-7.941140894317836,0.0023746147501881865,3.902595989586571e-05,0.0028507763622194313,23.59534647770107,53.047412971396504
