record,model,K,N,snr_ref_db,r_m,radial_mps,received_snr_db,measured_rd_snr_db,theory_rd_snr_db,delta_db,detection_margin_db
rd_probe,E0_full_grid,256,256,-10.0,99.8234822556391,9.857443510627103,-9.969308631234306,34.43276947816278,34.67366549388906,-0.24089601572627828,
rd_probe,E0_full_grid,256,256,0.0,99.8234822556391,9.857443510627103,0.03069136876569428,44.432769478162776,44.67366549388906,-0.24089601572628538,
rd_probe,E0_full_grid,256,256,10.0,99.8234822556391,9.857443510627103,10.030691368765694,54.43276947816278,54.67366549388906,-0.24089601572627828,
rd_probe,E0_full_grid,256,256,20.0,99.8234822556391,9.857443510627103,20.030691368765694,64.43276947816278,64.67366549388906,-0.24089601572627828,
predicted,E0_full_grid,256,256,-10.0,40.0,,5.917600346881503,,50.56057447200487,,46.377395800718084
predicted,A_sparse_comb4,256,256,-10.0,40.0,,5.917600346881503,,44.53997455872525,,40.35679588743846
predicted,B_sparse_comb2,256,256,-10.0,40.0,,5.917600346881503,,47.55027451536506,,43.36709584407827
predicted,C_sparse_A_plus_RCS,256,256,-10.0,40.0,,5.917600346881503,,44.53997455872525,,40.35679588743846
predicted,E0_full_grid,256,256,-10.0,140.0,,-15.84512142712952,,28.797852697993847,,24.61467402670706
predicted,A_sparse_comb4,256,256,-10.0,140.0,,-15.84512142712952,,22.77725278471422,,18.594074113427435
predicted,B_sparse_comb2,256,256,-10.0,140.0,,-15.84512142712952,,25.787552741354034,,21.604374070067248
predicted,C_sparse_A_plus_RCS,256,256,-10.0,140.0,,-15.84512142712952,,22.77725278471422,,18.594074113427435
predicted,E0_full_grid,256,256,-10.0,280.0,,-27.88632125368877,,16.756652871434596,,12.57347420014781
predicted,A_sparse_comb4,256,256,-10.0,280.0,,-27.88632125368877,,10.736052958154971,,6.552874286868184
predicted,B_sparse_comb2,256,256,-10.0,280.0,,-27.88632125368877,,13.746352914794784,,9.563174243507998
predicted,C_sparse_A_plus_RCS,256,256,-10.0,280.0,,-27.88632125368877,,10.736052958154971,,6.552874286868184
predicted,E0_full_grid,256,256,-5.0,40.0,,10.917600346881503,,55.56057447200487,,51.377395800718084
predicted,A_sparse_comb4,256,256,-5.0,40.0,,10.917600346881503,,49.53997455872525,,45.35679588743846
predicted,B_sparse_comb2,256,256,-5.0,40.0,,10.917600346881503,,52.55027451536506,,48.36709584407827
predicted,C_sparse_A_plus_RCS,256,256,-5.0,40.0,,10.917600346881503,,49.53997455872525,,45.35679588743846
predicted,E0_full_grid,256,256,-5.0,140.0,,-10.84512142712952,,33.79785269799385,,29.61467402670706
predicted,A_sparse_comb4,256,256,-5.0,140.0,,-10.84512142712952,,27.77725278471422,,23.594074113427435
predicted,B_sparse_comb2,256,256,-5.0,140.0,,-10.84512142712952,,30.787552741354034,,26.604374070067248
predicted,C_sparse_A_plus_RCS,256,256,-5.0,140.0,,-10.84512142712952,,27.77725278471422,,23.594074113427435
predicted,E0_full_grid,256,256,-5.0,280.0,,-22.88632125368877,,21.756652871434596,,17.57347420014781
predicted,A_sparse_comb4,256,256,-5.0,280.0,,-22.88632125368877,,15.736052958154971,,11.552874286868185
predicted,B_sparse_comb2,256,256,-5.0,280.0,,-22.88632125368877,,18.746352914794784,,14.563174243507998
predicted,C_sparse_A_plus_RCS,256,256,-5.0,280.0,,-22.88632125368877,,15.736052958154971,,11.552874286868185
predicted,E0_full_grid,256,256,0.0,40.0,,15.917600346881503,,60.56057447200487,,56.377395800718084
predicted,A_sparse_comb4,256,256,0.0,40.0,,15.917600346881503,,54.53997455872525,,50.35679588743846
