model,snr_ref_db,scene,count,range_class,bs,target_index,visible,matched,false_alarms_bs,r_gt_m,u_gt,r_hat_m,u_hat,vr_hat_mps,range_abs_m,u_abs,xy_abs_m,peak_to_noise_db,gt_rd_snr_db
E0_full_grid,-5.0,count1_r40_norm_b0,1,near,0,0,True,True,0,40.0,0.0,39.998136929007515,1.8068507388651992e-05,-7.9380114319518205,0.0018630709924849498,1.8068507388651992e-05,0.0020100495843638475,25.289769083323694,55.426790699605924
E0_full_grid,-5.0,count1_r40_norm_b0,1,medium,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.2570151775756,0.6099384086982124,4.501037509705123,0.0021226118701633823,0.000317430899037352,0.07021656789160281,22.882553562798982,
TS2_time_sparse,-5.0,count1_r40_norm_b0,1,near,0,0,True,True,3,40.0,0.0,39.997581975079065,-1.462026614809156e-05,-7.937710876904816,0.0024180249209351246,1.462026614809156e-05,0.00250525373693935,25.268620413717887,52.42562323700891
TS2_time_sparse,-5.0,count1_r40_norm_b0,1,medium,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.25418356154267,0.6107556543504091,4.504824058141331,0.0007090041627577648,0.000499814753159411,0.11055510664104355,22.09626782788093,
TS4_time_sparse,-5.0,count1_r40_norm_b0,1,near,0,0,True,True,1,40.0,0.0,39.99798581892984,-1.8222320991641113e-06,-7.936859236465477,0.002014181070158827,1.8222320991641113e-06,0.002031392105320115,25.262341929035706,49.40657850626417
TS4_time_sparse,-5.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25931737399162,0.6107172145096832,4.502332324636134,0.004424808286188409,0.0004613749124334765,0.10214596247315483,20.82146853553521,
COMB4_destagger,-5.0,count1_r40_norm_b0,1,near,0,0,True,True,5,40.0,0.0,39.99850819578175,4.778822075699262e-05,-7.938676915601386,0.001491804218247239,4.778822075699262e-05,0.0024202313084330266,25.290417716830827,49.44476107824795
COMB4_destagger,-5.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.2616326428852,0.6102553385037627,4.4984917875702415,0.006740077179756554,5.010934870375294e-07,0.006743732274236801,21.019191074526134,
TF22_comb2_stride2,-5.0,count1_r40_norm_b0,1,near,0,0,True,True,4,40.0,0.0,39.997518765225536,-3.4903092385942115e-06,-7.937108306268288,0.0024812347744642693,3.4903092385942115e-06,0.0025046837420366315,25.26362294615773,49.390106401492055
TF22_comb2_stride2,-5.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25421911822136,0.6109247902378323,4.515866935532557,0.0006734474840754956,0.0006689506405825885,0.1479773270491753,20.426615293452347,
TS8_diagnostic,-5.0,count1_r40_norm_b0,1,near,0,0,True,True,2,40.0,0.0,39.99642762752719,4.258868701424867e-05,-7.934952723337155,0.003572372472810059,4.258868701424867e-05,0.003977549794169034,25.236590083181667,46.394736384815516
TS8_diagnostic,-5.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.26002363214013,0.6105781516605051,4.523406981872203,0.00513106643469996,0.0003223120632553922,0.07147103981156223,18.955524688845614,
E0_full_grid,0.0,count1_r40_norm_b0,1,near,0,0,True,True,0,40.0,0.0,39.99781803869169,1.0162654681556063e-05,-7.938054152222103,0.00218196130830961,1.0162654681556063e-05,0.0022358860286408166,25.296195030486285,60.42679069960592
E0_full_grid,0.0,count1_r40_norm_b0,1,medium,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.2548450609156,0.610061098765233,4.501985492040275,4.7504789819186044e-05,0.00019474083201675985,0.04305981877265105,23.623889025870707,
TS2_time_sparse,0.0,count1_r40_norm_b0,1,near,0,0,True,True,3,40.0,0.0,39.997505839124926,-8.220565299513694e-06,-7.937885561317011,0.002494160875073703,8.220565299513694e-06,0.0025349588398147073,25.28527576352893,57.42562323700891
TS2_time_sparse,0.0,count1_r40_norm_b0,1,medium,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.25331361597023,0.6105205432726309,4.504003984167885,0.00157894973520456,0.0002647036753812282,0.058563636525441706,23.284393988568603,
TS4_time_sparse,0.0,count1_r40_norm_b0,1,near,0,0,True,True,1,40.0,0.0,39.99773320021496,-1.021822521853797e-06,-7.937407165660447,0.0022667997850405186,1.021822521853797e-06,0.002285080297255712,25.283524038708343,54.40657850626417
TS4_time_sparse,0.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.2562860892207,0.6105000712363926,4.502824825719166,0.0013935235152757741,0.0002442316391428889,0.05403260646704682,22.659237887812033,
COMB4_destagger,0.0,count1_r40_norm_b0,1,near,0,0,True,True,5,40.0,0.0,39.99802735201275,2.6881298194229734e-05,-7.938429294497934,0.001972647987251719,2.6881298194229734e-05,0.002256358806775614,25.301100423898188,54.44476107824795
COMB4_destagger,0.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.2569351566751,0.610241139816235,4.500314387460472,0.0020425909696655253,1.4699781014759772e-05,0.0038395462399066203,22.829657646097992,
TF22_comb2_stride2,0.0,count1_r40_norm_b0,1,near,0,0,True,True,4,40.0,0.0,39.99747013307752,-1.96171250610864e-06,-7.937546604167624,0.0025298669224795844,1.96171250610864e-06,0.0025510556208114075,25.28597703686212,54.390106401492055
TF22_comb2_stride2,0.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.2533737464935,0.6106131856283444,4.510130173278489,0.001518819211923983,0.0003573460310947185,0.07904945634978666,22.509213303420687,
TS8_diagnostic,0.0,count1_r40_norm_b0,1,near,0,0,True,True,2,40.0,0.0,39.996857782168725,2.397757093583645e-05,-7.936335562339321,0.003142217831275218,2.397757093583645e-05,0.0033069171512382215,25.272654724376295,51.39473638481553
TS8_diagnostic,0.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25638134195194,0.6104258334219258,4.515440700737285,0.0014887762465036758,0.0001699938246760846,0.037624221033202794,21.598372506201002,
E0_full_grid,5.0,count1_r40_norm_b0,1,near,0,0,True,True,0,40.0,0.0,39.99763883122736,5.715508756617825e-06,-7.938078559730013,0.0023611687726372566,5.715508756617825e-06,0.0023906201536740023,25.299081500947146,65.42679069960592
E0_full_grid,5.0,count1_r40_norm_b0,1,medium,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.25369172470877,0.6101306088897732,4.502506062908907,0.0012008409966597355,0.000125230707476498,0.02771706881370768,23.897117804248285,
TS2_time_sparse,5.0,count1_r40_norm_b0,1,near,0,0,True,True,3,40.0,0.0,39.997463228561294,-4.622441714419674e-06,-7.937983888374053,0.002536771438705898,4.622441714419674e-06,0.002563398700735345,25.293252377295726,62.42562323700891
TS2_time_sparse,5.0,count1_r40_norm_b0,1,medium,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.25284964278276,0.6103889356291361,4.503606225360408,0.002042922922669277,0.00013309603188638164,0.02950469838136572,23.763220083630216,
TS4_time_sparse,5.0,count1_r40_norm_b0,1,near,0,0,True,True,1,40.0,0.0,39.99759116612753,-5.736955903128338e-07,-7.937715033004685,0.0024088338724723712,5.736955903128338e-07,0.0024279842400386593,25.292837116173516,59.40657850626417
TS4_time_sparse,5.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.2545483200848,0.6103777744797341,4.5030130728763575,0.000344245620624406,0.00012193488248435358,0.026967754378138975,23.50336212705665,
COMB4_destagger,5.0,count1_r40_norm_b0,1,near,0,0,True,True,5,40.0,0.0,39.99775670500666,1.5118996781878171e-05,-7.938289668417412,0.002243294993341749,1.5118996781878171e-05,0.0023392852102336113,25.304423781161326,59.44476107824795
COMB4_destagger,5.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25470611810476,0.6102324303853985,4.501490972196283,0.00018644760066877097,2.3409211851177503e-05,0.005179877029539134,23.619371419129934,
TF22_comb2_stride2,5.0,count1_r40_norm_b0,1,near,0,0,True,True,4,40.0,0.0,39.9974430987047,-1.102824805573341e-06,-7.937793129991728,0.0025569012952999515,1.102824805573341e-06,0.002577487171110858,25.29568039651252,59.390106401492055
TF22_comb2_stride2,5.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25289619383253,0.610440259361448,4.507026414151801,0.001996371872905911,0.00018441976419825146,0.040833828195179764,23.471113058799872,
TS8_diagnostic,5.0,count1_r40_norm_b0,1,near,0,0,True,True,2,40.0,0.0,39.9970991412192,1.3492508375597592e-05,-7.937112624680489,0.0029008587807979325,1.3492508375597592e-05,0.002972417665506351,25.28790920712771,56.394736384815516
