model,cohort,snr_db,ADE,FDE,ADE_point,FDE_point,ade_scenes,valid_points,ade_targets,fde_targets
CV,native,-5,2.8260156469009683,4.832770879631534,2.6236836026695913,4.555009406030654,398,37117,1882,1834
CV,native,0,2.7514890453329683,4.730333144462019,2.4775951835739383,4.318337983382657,399,37338,1895,1844
CV,native,5,2.8470066452334644,4.9094782885562696,2.5677789464181173,4.485436894595871,399,38286,1941,1893
CV,native,10,2.7725386131017786,4.757853188716295,2.525799944307947,4.390846418676884,400,38433,1951,1899
CV,native,15,2.7432761953644884,4.717786902403845,2.510341416962102,4.395822950821213,399,38886,1974,1921
CV,native,20,2.6916922504945195,4.6227281933916,2.464908047798041,4.307901046689443,400,38844,1971,1919
GNN,native,-5,2.6675877367882963,4.442214504068484,2.447667780276073,4.119262582809087,398,37117,1882,1834
GNN,native,0,2.630845091064477,4.4250531941227145,2.332216790901288,3.951859914099637,399,37338,1895,1844
GNN,native,5,2.6958023554112174,4.534778175534949,2.4021269738235755,4.079796897491048,399,38286,1941,1893
GNN,native,10,2.631060352030121,4.396191868204808,2.3734750229506143,4.002075312382621,400,38433,1951,1899
GNN,native,15,2.604934977524008,4.355784926000176,2.3629611061970537,4.010381960750669,399,38886,1974,1921
GNN,native,20,2.5538257630732195,4.267503762274421,2.3217516632639543,3.9406189398801157,400,38844,1971,1919
QGNN,native,-5,2.672658282119428,4.45081297052881,2.4448593519701793,4.104805329810667,398,37117,1882,1834
QGNN,native,0,2.612889002155254,4.381181046654034,2.310531505466224,3.890605738437582,399,37338,1895,1844
QGNN,native,5,2.700776383975211,4.539443291359257,2.407093239620286,4.075489593320382,399,38286,1941,1893
QGNN,native,10,2.629100545661193,4.3910465669927286,2.3618537808904727,3.966957859934647,400,38433,1951,1899
QGNN,native,15,2.6239847791475994,4.391232879064645,2.370374093748976,4.016429698761032,399,38886,1974,1921
QGNN,native,20,2.561895468537922,4.285895292230203,2.318413165618091,3.926174172352777,400,38844,1971,1919
CV,common,-5,2.028852047480209,3.5927388426694726,1.9139304500341165,3.451850627718406,381,27043,1376,1334
CV,common,0,1.9757337026273076,3.5602140820182715,1.8565549884930719,3.3904672936264255,381,27043,1376,1334
CV,common,5,2.0311048062811783,3.6446462767693917,1.8703654340819231,3.4233098925719085,381,27043,1376,1334
CV,common,10,2.148745420495596,3.8385625472684737,1.9383219615939034,3.53514355149724,381,27043,1376,1334
CV,common,15,1.9945666919425877,3.5831130936323583,1.8491713801853844,3.394862354584588,381,27043,1376,1334
CV,common,20,1.9978537726066659,3.590054890176038,1.8582153894964344,3.4081832187135888,381,27043,1376,1334
GNN,common,-5,1.868529037217474,3.1923129217381203,1.740877418914653,3.021843416695064,381,27043,1376,1334
GNN,common,0,1.8339214857839974,3.188738202591912,1.7015628134303973,2.9879278034859227,381,27043,1376,1334
GNN,common,5,1.8899527369946991,3.280128372346237,1.7215765391594584,3.039982941779478,381,27043,1376,1334
GNN,common,10,1.9929869426905011,3.4419374852853237,1.789406548744698,3.153684800937989,381,27043,1376,1334
GNN,common,15,1.8536080058781064,3.199372875091224,1.7063267888995173,3.0140734957650195,381,27043,1376,1334
GNN,common,20,1.8499178075864198,3.1961086050278533,1.7090063170741328,3.0148568463385677,381,27043,1376,1334
QGNN,common,-5,1.8791367593007129,3.209475904056266,1.736737559341273,3.0025993455343176,381,27043,1376,1334
QGNN,common,0,1.8043557689997125,3.1147360887302704,1.6758974469941286,2.9182677822971406,381,27043,1376,1334
QGNN,common,5,1.892467390028607,3.27902452277702,1.7229462093015924,3.0247993799446093,381,27043,1376,1334
QGNN,common,10,1.9816833294327612,3.415796416744747,1.7735856853643182,3.102335399569622,381,27043,1376,1334
QGNN,common,15,1.8571477334130178,3.212091608007525,1.7079824784356836,3.009026496904859,381,27043,1376,1334
QGNN,common,20,1.8583951951299098,3.2172378690572994,1.7112526731667725,3.010844376497934,381,27043,1376,1334
