model,samples,snr_ref_db,dvr_mps,bearing_split_deg,realization,n_detections,matched_targets,ghost_count,merged,range_median_abs_m,xy_median_m
E0,256,10.0,5.0,0.5,0,3,2,1,False,0.007835848024157599,0.03531428263900692
B64,64,10.0,5.0,0.5,0,1,1,0,True,0.1394697746421798,0.5836825622368731
E0,256,10.0,5.0,0.5,1,2,2,0,False,0.008653997093333032,0.049735723220869374
B64,64,10.0,5.0,0.5,1,1,1,0,True,0.13845403154601854,0.5751982197581128
E0,256,10.0,5.0,0.5,2,2,2,0,False,0.0005383583754365873,0.0034737449188497246
B64,64,10.0,5.0,0.5,2,1,1,0,True,0.11615561065579527,0.48141576261740704
E0,256,10.0,5.0,0.5,3,3,2,1,False,0.0009363268847835116,0.003774618543744419
B64,64,10.0,5.0,0.5,3,1,1,0,True,0.12595363192036757,0.5288286820683026
E0,256,10.0,5.0,0.5,4,2,2,0,False,0.0009334302919654647,0.001963268495524802
B64,64,10.0,5.0,0.5,4,2,1,1,True,0.12224970322353101,0.5101622662597577
E0,256,10.0,5.0,0.5,5,2,2,0,False,0.009806023627092486,0.045324778460075286
B64,64,10.0,5.0,0.5,5,1,1,0,True,0.13871250691744308,0.5861767972623454
E0,256,10.0,5.0,0.5,6,3,2,1,False,0.007219167162872964,0.03369940736242756
B64,64,10.0,5.0,0.5,6,1,1,0,True,0.1396353697010113,0.5760011675956205
E0,256,10.0,5.0,0.5,7,3,2,1,False,0.0057945754151802475,0.030347418201377395
B64,64,10.0,5.0,0.5,7,2,1,1,True,0.13823118566890003,0.5665636197257123
E0,256,10.0,5.0,0.5,8,3,2,1,False,0.008682606428877193,0.038227784519852565
B64,64,10.0,5.0,0.5,8,1,1,0,True,0.13986113940242717,0.5854494910673873
E0,256,10.0,5.0,0.5,9,2,2,0,False,0.001497377931372057,0.012370921356122045
B64,64,10.0,5.0,0.5,9,1,1,0,True,0.1316388553613308,0.5428899217279397
E0,256,10.0,5.0,0.5,10,5,2,3,False,0.007841546826227841,0.03624876035635734
B64,64,10.0,5.0,0.5,10,1,1,0,True,0.13870168530939964,0.578420167392982
E0,256,10.0,5.0,0.5,11,3,2,1,False,0.007071688398838205,0.031737908947701454
