kind,scene_type,scene,snr_ref_db,target,bs,range_bin,received_snr_db,peak_to_noise_db,g_emp_db,gt_rd_snr_db,peak_power,noise_floor,cfar_score
input,synthetic,count1_r40_norm_b0,-5.0,0,0,10-75,10.917600346881503,,,,,,
detection,synthetic,count1_r40_norm_b0,-5.0,0,0,10-75,10.917600346881503,25.291521621945737,14.373921275064234,,12262.1731659264,36.25895494650437,27.541493322035645
input,synthetic,count1_r40_norm_b0,-5.0,0,1,150-225,-14.746806037788392,,,,,,
detection,synthetic,count1_r40_norm_b0,-5.0,0,1,150-225,-14.746806037788392,21.262377856386735,36.00918389417512,,32.73312389424025,0.24476519859714094,10.891134159157923
input,synthetic,count1_r40_norm_b0,0.0,0,0,10-75,15.917600346881503,,,,,,
detection,synthetic,count1_r40_norm_b0,0.0,0,0,10-75,15.917600346881503,25.308826598189924,9.39122625130842,,38767.98561446943,114.18014122209732,27.651454584319517
input,synthetic,count1_r40_norm_b0,0.0,0,1,150-225,-9.746806037788392,,,,,,
detection,synthetic,count1_r40_norm_b0,0.0,0,1,150-225,-9.746806037788392,23.56814676893755,33.31495280672594,,103.94868676788678,0.4570927470680696,18.52038451147648
input,synthetic,count1_r40_norm_b0,5.0,0,0,10-75,20.917600346881503,,,,,,
detection,synthetic,count1_r40_norm_b0,5.0,0,0,10-75,20.917600346881503,25.315830314184748,4.398229967303244,,122580.5698276879,360.444667173134,27.696083098736246
input,synthetic,count1_r40_norm_b0,5.0,0,1,150-225,-4.746806037788392,,,,,,
detection,synthetic,count1_r40_norm_b0,5.0,0,1,150-225,-4.746806037788392,24.642023965905054,29.388830003693446,,329.7247879883251,1.1322679154533735,23.715796699268264
input,synthetic,count1_r40_norm_b0,10.0,0,0,10-75,25.917600346881503,,,,,,
detection,synthetic,count1_r40_norm_b0,10.0,0,0,10-75,25.917600346881503,25.318900814202834,-0.598699532678669,,387608.2883590441,1138.9455804955635,27.715671395753592
input,synthetic,count1_r40_norm_b0,10.0,0,1,150-225,0.2531939622116077,,,,,,
detection,synthetic,count1_r40_norm_b0,10.0,0,1,150-225,0.2531939622116077,25.039165542013862,24.785971579802254,,1044.709961151371,3.2740038174322184,25.98674449243268
input,synthetic,count1_r40_norm_b0,15.0,0,0,10-75,30.917600346881503,,,,,,
detection,synthetic,count1_r40_norm_b0,15.0,0,0,10-75,30.917600346881503,25.32035224985098,-5.597248097030523,,1225680.060209157,3600.326573266764,27.724935671038644
input,synthetic,count1_r40_norm_b0,15.0,0,1,150-225,5.253193962211608,,,,,,
detection,synthetic,count1_r40_norm_b0,15.0,0,1,150-225,5.253193962211608,25.169633905309095,19.916439943097487,,3307.502693949335,10.058583281216569,26.779268685177872
input,synthetic,count1_r40_norm_b0,20.0,0,0,10-75,35.9176003468815,,,,,,
