dimension,bucket,snr_ref_db,pairs_or_targets,matched,recall,range_median_abs_m,u_median_abs,xy_median_m
range_bin,10-75,-5.0,66,45,0.6818181818181818,0.0018218784186885273,0.0002032647854404851,0.017090965212780272
range_bin,150-225,-5.0,113,91,0.8053097345132744,0.007867836049058496,0.0005883964149041021,0.13917582651727206
range_bin,225-300,-5.0,71,35,0.49295774647887325,0.03272477284252773,0.0012078262451510708,0.5438646281761814
range_bin,75-150,-5.0,143,87,0.6083916083916084,0.004380350659033638,0.0002907313537113959,0.04727356561686283
density_bucket,high,-5.0,176,112,0.6363636363636364,0.005833972539754484,0.00047302863508297266,0.08972111102655789
density_bucket,low,-5.0,102,70,0.6862745098039216,0.004484334396437362,0.0005391147644626254,0.1280456382216745
density_bucket,mid,-5.0,115,76,0.6608695652173913,0.006303414396029439,0.0003859750237069845,0.06615477296335945
fusion_n_bs,1,-5.0,71,71,,,,0.14952510636622404
fusion_n_bs,2,-5.0,67,67,,,,0.044920628822948956
fusion_n_bs,3,-5.0,15,15,,,,0.030402105829649768
range_bin,10-75,0.0,66,45,0.6818181818181818,0.0013277385374337314,0.000198741771421318,0.015317435780018937
range_bin,150-225,0.0,113,91,0.8053097345132744,0.00405742374752549,0.0003723804907465045,0.08096162337397138
range_bin,225-300,0.0,71,35,0.49295774647887325,0.020888013501064506,0.000708238814688511,0.2868064028218084
range_bin,75-150,0.0,143,88,0.6153846153846154,0.0025732857266262954,0.00020572647042082365,0.028505674415183434
density_bucket,high,0.0,176,112,0.6363636363636364,0.0034929714017835067,0.00028462018783103997,0.05424682170875532
density_bucket,low,0.0,102,70,0.6862745098039216,0.0025712097106485032,0.0003365262061996721,0.08046334309534069
density_bucket,mid,0.0,115,77,0.6695652173913044,0.003765801715900352,0.00023555604880620695,0.04405380100333299
fusion_n_bs,1,0.0,72,72,,,,0.08928859560680141
fusion_n_bs,2,0.0,65,65,,,,0.03966743774970884
fusion_n_bs,3,0.0,16,16,,,,0.022427056884960488
range_bin,10-75,5.0,66,45,0.6818181818181818,0.0015421634251637784,0.00017746440712462785,0.014841496990373388
range_bin,150-225,5.0,113,91,0.8053097345132744,0.002863000629247381,0.00020153670168687743,0.046937131135443004
range_bin,225-300,5.0,71,35,0.49295774647887325,0.010887771892527098,0.000351437756478612,0.16989909719051396
range_bin,75-150,5.0,143,88,0.6153846153846154,0.0016560013302040488,0.00012471234546855559,0.017740253105811458
density_bucket,high,5.0,176,112,0.6363636363636364,0.002573175625926183,0.00019211842237206334,0.036037305066529746
density_bucket,low,5.0,102,70,0.6862745098039216,0.0020781097165141205,0.0002109937523744887,0.05216023941452607
density_bucket,mid,5.0,115,77,0.6695652173913044,0.0027185932193063422,0.00013878880879647504,0.024335342377045613
fusion_n_bs,1,5.0,72,72,,,,0.05241180031307263
fusion_n_bs,2,5.0,65,65,,,,0.026833671802699077
fusion_n_bs,3,5.0,16,16,,,,0.015270119394431517
range_bin,10-75,10.0,66,45,0.6818181818181818,0.0017385217717134083,0.0001952735649947135,0.0144315280572047
range_bin,150-225,10.0,113,91,0.8053097345132744,0.002273455982276573,0.00012147332125961308,0.027146186350464393
range_bin,225-300,10.0,71,35,0.49295774647887325,0.006218515000853131,0.0002333028489844846,0.09683684458188846
range_bin,75-150,10.0,143,88,0.6153846153846154,0.0015523767011416112,0.00010315088464754596,0.013482884384527879
density_bucket,high,10.0,176,112,0.6363636363636364,0.0021280893665647227,0.0001409136692216411,0.02560660337543947
density_bucket,low,10.0,102,70,0.6862745098039216,0.0017355125922549064,0.00014420858097458078,0.0262877120224439
density_bucket,mid,10.0,115,77,0.6695652173913044,0.002346654529162606,0.00011263829397642477,0.01784777234680318
fusion_n_bs,1,10.0,71,71,,,,0.02874887661514118
fusion_n_bs,2,10.0,66,66,,,,0.01878371634658929
fusion_n_bs,3,10.0,16,16,,,,0.010968721743567172
range_bin,10-75,15.0,66,45,0.6818181818181818,0.0018109312123328891,0.00020529079368880598,0.014208805051067504
range_bin,150-225,15.0,113,91,0.8053097345132744,0.0019525592611842058,8.376807328547287e-05,0.018821104260736007
range_bin,225-300,15.0,71,35,0.49295774647887325,0.003741655162571078,0.00016262932679503295,0.06610611457244309
range_bin,75-150,15.0,143,88,0.6153846153846154,0.0016721807414228351,0.00010990732558274763,0.01465408732749068
density_bucket,high,15.0,176,112,0.6363636363636364,0.001979105103572465,0.0001190328854290823,0.020698208660912563
density_bucket,low,15.0,102,70,0.6862745098039216,0.001734716117070434,0.00011645780286492768,0.01931489103844131
density_bucket,mid,15.0,115,77,0.6695652173913044,0.0019191026409259848,0.00010207268625705979,0.017099436024189563
fusion_n_bs,1,15.0,71,71,,,,0.020043643991140232
fusion_n_bs,2,15.0,66,66,,,,0.012487159926451625
fusion_n_bs,3,15.0,16,16,,,,0.010251243318975083
range_bin,10-75,20.0,66,45,0.6818181818181818,0.0018426335023136176,0.00021092465492689172,0.014086145106575004
range_bin,150-225,20.0,113,91,0.8053097345132744,0.001899823126393585,8.826089840829887e-05,0.021963036191869085
range_bin,225-300,20.0,71,35,0.49295774647887325,0.002509766248181222,0.00013055825553065503,0.051894772188461016
range_bin,75-150,20.0,143,88,0.6153846153846154,0.0016276798321257502,0.00011096581830907781,0.014864445131190486
density_bucket,high,20.0,176,112,0.6363636363636364,0.0019401790258655183,0.00012158317455501777,0.020855701072013587
density_bucket,low,20.0,102,70,0.6862745098039216,0.001722035508507247,0.00011230901848907626,0.019858717040903487
density_bucket,mid,20.0,115,77,0.6695652173913044,0.0018507177435509448,0.00010279429175430455,0.017443537727383985
fusion_n_bs,1,20.0,70,70,,,,0.022454265928754297
fusion_n_bs,2,20.0,68,68,,,,0.012660707417991423
fusion_n_bs,3,20.0,15,15,,,,0.010713754211541086
