candidate,split,scope,subset,snr_db,a_range,a_bearing,a_radial_velocity,position_mae,position_rmse,position_median,position_p95,velocity_mae,velocity_rmse,velocity_median,velocity_p95,vx_mae,vx_rmse,vx_median,vx_p95,vy_mae,vy_rmse,vy_median,vy_p95,quality_mean,quality_median,quality_p05,quality_min,n
A_light,train,overall,all,-10.0,0.05,0.002,0.08,0.21043811893434022,0.26469610811042704,0.1699842955058929,0.5285969302519147,0.5177725538985553,0.7718711776851859,0.3473695713672702,1.7006837966957606,0.33537336378499655,0.5029558431947883,0.21301827707269405,1.1507054658330644,0.3356500735999433,0.5855087828011939,0.1835116023015253,1.5294032207820711,61.81633464926213,66.81249392351279,15.343819886475325,2.76261005773558,425
A_light,train,overall,all,-5.0,0.05,0.002,0.08,0.11839972008942332,0.1489029819882875,0.09568167017407911,0.29698273962024035,0.3593042939019605,0.6712222926723911,0.19541378436698287,1.6248402259089378,0.22674461340632948,0.40210908722224803,0.12013938316409778,0.9068082960057193,0.24549532929080595,0.5374454838899212,0.10300786636430104,1.4052991052272428,73.72651775378473,79.69958771062409,18.54682869621243,2.7449373314895507,425
A_light,train,overall,all,0.0,0.05,0.002,0.08,0.06664938755072541,0.08382083817677376,0.05390956372341531,0.1670937507702671,0.2703760159926287,0.6363528488669988,0.10994569655534893,1.5862715734274053,0.16567160564203057,0.3642001016415727,0.06758443341847808,0.8811153006548116,0.1948063775756645,0.5218268239803446,0.05788917907018032,1.3353149211192261,81.77214897837243,88.01480476010582,20.066709740378098,2.7317157218816783,425
A_light,train,overall,all,5.0,0.05,0.002,0.08,0.03758389162126914,0.04728417915643836,0.030447171228382187,0.09430005550729555,0.22044924183013176,0.6250725080263696,0.061903673470852176,1.5660337755008553,0.13134747093948898,0.3512114045474583,0.03804207563527129,0.8943894354558949,0.1663163710138896,0.5170746460678356,0.03258299620315874,1.2959425342075332,86.81139600219176,93.06602708554928,20.75276756312348,2.7235355068137617,425
A_light,train,overall,all,10.0,0.05,0.002,0.08,0.021312042306865904,0.026848577353531505,0.017311580444361027,0.05367371050346306,0.19243645193276768,0.6215469165672036,0.03493902164015737,1.5569101683647009,0.1120778840522281,0.34691660271943553,0.02145497832974641,0.9023396041665737,0.1503206669694514,0.5157222510730013,0.01840412534144953,1.2738734275491488,89.82211437395924,96.02912813877082,21.04902193511648,2.718739458465151,425
A_light,train,overall,ge2,-10.0,0.05,0.002,0.08,0.18941740623513245,0.22630369576883994,0.16316130453537422,0.447159891731438,0.38802559150761,0.4746296978472247,0.3296731050265784,0.9394295928225745,0.2668285165450351,0.37266107561782946,0.191500613471991,0.7728672844158934,0.22198228823833868,0.29393378981993584,0.1612380212249048,0.5930710996417382,65.53941578972676,67.67073433624633,36.46233887652133,20.422357331745275,395
A_light,train,overall,ge2,-5.0,0.05,0.002,0.08,0.10657631389700285,0.1273038715241797,0.09224624025088599,0.2516179722598893,0.21821814365105585,0.26693320316863484,0.18488895182582776,0.5286464242276461,0.15005264195890092,0.20957707813244875,0.1077009254596355,0.43444114198340117,0.12484267148584484,0.16532024460220585,0.090614126230029,0.33336780563394863,78.29130304287854,80.2826991299173,56.71580313398677,40.923523190168495,395
A_light,train,overall,ge2,0.0,0.05,0.002,0.08,0.05999001591475221,0.07164939890157647,0.05188969197813428,0.14166670226156913,0.12274583214140904,0.150151868636281,0.10363542704706129,0.2974606705148521,0.0844010024205523,0.11788588133041834,0.060588667314167566,0.24430918438364946,0.07022453963192427,0.09299732597186602,0.05094988241531648,0.18746479616489464,86.92443966571203,88.38003432123956,72.69351281304206,60.49466476379525,395
A_light,train,overall,ge2,5.0,0.05,0.002,0.08,0.03381810027413156,0.04039130516886455,0.029232704365549374,0.07993280244190268,0.06908669674474394,0.08451299229271154,0.058215713530187396,0.16744612883377197,0.047504180693208935,0.0663513357844279,0.03413025133742842,0.1374928161092167,0.03952552275830119,0.05234449451365463,0.0286702924869746,0.10549457847149862,92.33777911884683,93.28398446631351,83.57081746061803,75.35728738979346,395
A_light,train,overall,ge2,10.0,0.05,0.002,0.08,0.01915669447609155,0.022885732050604533,0.01663393786788962,0.04540150670007227,0.038961214402870877,0.04766003851546426,0.03279337945734703,0.0944194341235461,0.026790489939354945,0.03741801744633883,0.019271288031179168,0.07753987598796354,0.022289437815386396,0.029518997978946034,0.016173173112164818,0.05948255977008205,95.57389085542302,96.1554107357146,90.3746531726725,85.24823192284883,395
A_light,train,overall,eq3,-10.0,0.05,0.002,0.08,0.1317257762716108,0.14947614724649833,0.12863679194040584,0.2579881093074576,0.2993360810631866,0.3518265204183915,0.27328523907650965,0.5742447899345682,0.19716073677363866,0.2598009087962279,0.16543593524145206,0.5045904951097834,0.17942530473527907,0.23724541778160219,0.13495628818326222,0.49860781055981224,71.89815600958445,73.59494321838173,53.492249217859644,29.937600212735415,179
A_light,train,overall,eq3,-5.0,0.05,0.002,0.08,0.07415477992303199,0.08410710673202625,0.07232261023955813,0.14491725413394813,0.16831277300768774,0.19781421278624506,0.15416440288284147,0.32369496468929077,0.11084007494555387,0.14603638122388107,0.09325591308860393,0.2839323011823132,0.1009019341257744,0.13343102390102204,0.07595292991131775,0.28060549218494285,82.8055081363826,84.16108041153288,70.30163877097525,50.82469251360163,179
A_light,train,overall,eq3,0.0,0.05,0.002,0.08,0.04175766088332849,0.04734864970439088,0.04068419367794551,0.08149065846298462,0.09466360189817728,0.11125426113616169,0.08665328647850404,0.18231137976215467,0.062331695619201564,0.08212181924077464,0.05245328033691443,0.15975981700103092,0.05675511988815887,0.07505676135791362,0.042916105995019826,0.15790309506428912,89.83644651676637,90.75556690402813,82.00444109586805,68.3711104575801,179
A_light,train,overall,eq3,5.0,0.05,0.002,0.08,0.023549231383488342,0.02669838072626904,0.022916674086808843,0.04596101771931581,0.05327656794022438,0.06261392856395717,0.04875100610797631,0.10268555632670294,0.035077376363999914,0.04621464411466074,0.02952281038378679,0.08993330368710147,0.03194351323216404,0.04224583671283581,0.02421801773041743,0.08889483316982502,94.11210034784659,94.68656860716754,89.42548152149917,80.74680387450285,179
A_light,train,overall,eq3,10.0,0.05,0.002,0.08,0.01334820379044802,0.015132603636407262,0.012958541517219641,0.02612661121429873,0.030043128437818322,0.03530889870283913,0.02748357404265049,0.05792916026001805,0.019779231759054623,0.026060336012685745,0.016650032215506982,0.0507171997287674,0.018013680735037913,0.023823879081989758,0.013670661483555335,0.05013662484957935,96.62186283393964,96.96781787232867,93.88238277231193,88.64380869064564,179
A_light,train,scene_0,all,-10.0,0.05,0.002,0.08,0.2065098791248687,0.26528882689217925,0.16571303705529283,0.5146947033450052,0.5616215815350436,0.8756353428780624,0.3308511811132998,2.1689551264140308,0.32258992458480057,0.5124726370169616,0.19125844401338732,1.1645824841088717,0.41778776066549406,0.7100063732151026,0.20815784529482428,1.8196027033696147,61.462311495915166,67.31446610360825,10.30669541247624,2.76261005773558,270
A_light,train,scene_0,all,-5.0,0.05,0.002,0.08,0.11621264477340135,0.14924133816072865,0.09325178963253017,0.28931858183665093,0.4230544855572681,0.8093626224051965,0.18608988094375345,2.1201572520349563,0.24142871371980337,0.4600344928443583,0.107652521248923,1.2571076037822502,0.3242613384952327,0.665909993873084,0.11712973112409131,1.8351860244246287,72.44228120724715,80.04596070035882,11.585276189546537,2.7449373314895507,270
A_light,train,scene_0,all,0.0,0.05,0.002,0.08,0.06543128649890725,0.08402160291518815,0.05248683175953936,0.1628272750982295,0.3454214608847719,0.7875847905365713,0.10471592414766616,2.120874830526896,0.1958128569589673,0.441834585416194,0.06058783595017658,1.2410009032261449,0.2716727507315835,0.6519754607457515,0.06591195001909433,1.7975754100900776,79.70525425509373,88.23106209820114,11.906251298945826,2.7317157218816783,270
A_light,train,scene_0,all,5.0,0.05,0.002,0.08,0.03690959777990987,0.04741549232158721,0.029578131788247367,0.09190335693383625,0.3018775575268855,0.7807626985834255,0.05895803667103914,2.128235324689076,0.17018081318183914,0.43573143845596146,0.03412036601348323,1.2044562770048999,0.24211426327568872,0.6478645730709248,0.03711800099506757,1.7858721328518496,84.19225545343805,93.19091188578945,11.877630707150544,2.7235355068137617,270
A_light,train,scene_0,all,10.0,0.05,0.002,0.08,0.020948110526855513,0.026954759925172298,0.016799914841241582,0.05230917322461782,0.2774590239621274,0.7786988012604957,0.0332655930131983,2.1324420735983445,0.15579206057614434,0.43367523742841757,0.019261837712313046,1.1840098488618336,0.22551866664925915,0.6467593149896944,0.020958152410051056,1.7832990798208461,86.85061375516224,96.09304050731006,11.846361209892388,2.718739458465151,270
A_light,train,scene_0,ge2,-10.0,0.05,0.002,0.08,0.17142225949790524,0.19847511730117776,0.15394869707630823,0.37815848414736725,0.3535608343878405,0.42226254633665256,0.3022241995669497,0.8068055228057353,0.20817860026900625,0.2758003349031624,0.16056496302036716,0.5389504292755964,0.24097674147438036,0.3197496416042043,0.17631235522262068,0.6510070800093725,67.54562964542814,69.28603489968725,43.64737618260365,29.16649185898743,240
A_light,train,scene_0,ge2,-5.0,0.05,0.002,0.08,0.09647990433387325,0.1116549937061938,0.08668597739916944,0.2126607107322097,0.19881897055956768,0.23747067720477186,0.17020282550806556,0.45349312420881666,0.11704202325176136,0.15506713728041616,0.09025941145818606,0.3031116491373876,0.1355329236751209,0.17985134269098332,0.0993157362008367,0.36640701886506105,79.79462742723015,81.36426426691713,62.72487089891443,50.013552975948286,240
A_light,train,scene_0,ge2,0.0,0.05,0.002,0.08,0.054318808049890754,0.06284454728823154,0.04878741512282464,0.11966473729262331,0.11182746390782404,0.13357502806708774,0.09581507308174153,0.25501344553925304,0.06582264557156808,0.08721202065993897,0.050760145270512314,0.17050403679191936,0.07624010576033428,0.10117485643940223,0.05591520506110313,0.20619033330283187,87.92670417093032,89.04977407194173,76.91886506627573,67.7247425023372,240
A_light,train,scene_0,ge2,5.0,0.05,0.002,0.08,0.030627446124242678,0.03542805224067926,0.02745453252541316,0.06744866222378733,0.06293857486927887,0.0751810231643655,0.05396381596413781,0.14351092736521986,0.037042899098463686,0.04908242253547899,0.028570929149606017,0.09596920158252686,0.04291239538775768,0.05694824002626917,0.03147863427442288,0.11607590338386901,92.9603684310053,93.67859592593467,86.26613201185897,80.30475244845407,240
A_light,train,scene_0,ge2,10.0,0.05,0.002,0.08,0.017355275749538098,0.020072292909694655,0.015513608194116082,0.03820891601625467,0.035492183697842246,0.042396172682572515,0.0304817281476481,0.08092671444126046,0.020887496497530127,0.02767744753559013,0.016119744836724847,0.05412184864602546,0.02420035195983651,0.0321153289885868,0.017752943989291614,0.06545855167077874,95.94564163688844,96.37985444128606,92.003588314929,88.36566190875791,240
A_light,train,scene_0,eq3,-10.0,0.05,0.002,0.08,0.13186742142199065,0.14930173829369692,0.12994132576070855,0.2579881093074576,0.2883594039483032,0.33684105489217125,0.2686496559885695,0.5678959739574472,0.17661787324259431,0.2277285948704747,0.15015190656572508,0.4276159608937964,0.18692953382175279,0.2481966626270183,0.13772634690807273,0.5199134347453823,72.47097515805159,73.95040864667679,55.533721098742255,42.07410163478303,119
A_light,train,scene_0,eq3,-5.0,0.05,0.002,0.08,0.07428805295362974,0.08404083140516949,0.07290622471848737,0.14491725413394813,0.16213092044243832,0.189428325899972,0.15100434074030353,0.31941506269808007,0.09926473157329531,0.12804134291757072,0.08450184129648886,0.24062284109981974,0.10513047209214876,0.13960123623066897,0.07733294435540117,0.29242796702946783,83.20232469465601,84.39031728707111,71.83139852958713,61.456491053361184,119
A_light,train,scene_0,eq3,0.0,0.05,0.002,0.08,0.04185302920635693,0.04732476892402693,0.04097597240718595,0.08149065846298462,0.0911820832640495,0.1065496151035919,0.08499380092202319,0.1796821455850654,0.05581157008836307,0.0720119357332925,0.04755526660997944,0.1353925661940624,0.059136188065801905,0.07853089577145879,0.043456850695010374,0.16450131484691535,90.08864285642777,90.8945390640413,83.0168257059704,76.04581388607066,119
A_light,train,scene_0,eq3,5.0,0.05,0.002,0.08,0.02361148820707731,0.026691459040928768,0.023088406671408802,0.04596101771931581,0.05131510334550731,0.05996918009051853,0.04786586587530247,0.10113656483120753,0.03140344257798947,0.04052732442702232,0.02678186694444218,0.0762176828764916,0.03328493037770157,0.04420224581982147,0.024448146260205306,0.09259193834258672,94.26431264885723,94.76759069583763,90.05260470864279,85.71681818561719,119
A_light,train,scene_0,eq3,10.0,0.05,0.002,0.08,0.013388816373205435,0.015133735652118613,0.01309049723699212,0.02612661121429873,0.028935907291043037,0.03381742401873493,0.027000905897250498,0.05703484529599431,0.017704498690341814,0.02285260638922922,0.015122586006968586,0.04298445625395014,0.018771455978966994,0.02492742562885044,0.013789012988427274,0.05221621234235537,96.71104547848564,97.01340659076014,94.2607957485086,91.67588309960047,119
A_light,train,scene_1,all,-10.0,0.05,0.002,0.08,0.21728085924761326,0.2636604481673373,0.17830396908727267,0.5322335043544082,0.4413903767253176,0.5458914895822164,0.3677094854120406,1.2080203210615152,0.35764129013372475,0.48593329948503977,0.25561883912753736,1.1072064968985444,0.1925715219373709,0.24872946518230152,0.15717432917013596,0.4790238466271522,62.43302014218913,65.23400097953763,29.067122231440283,20.422357331745275,155
A_light,train,scene_1,all,-5.0,0.05,0.002,0.08,0.1222094641883003,0.14831174392421448,0.10032210142798637,0.2992940813917425,0.2482555729540053,0.3070243228683107,0.20685550716601736,0.6785013846811874,0.2011658580215686,0.2733119665897433,0.1435543555699219,0.6222655327621132,0.10829002293470774,0.13987317023500867,0.088666965933351,0.26879908205676695,75.96357496388248,78.63939845241276,49.94685900050535,40.923523190168495,155
A_light,train,scene_1,all,0.0,0.05,0.002,0.08,0.06877124099582801,0.08346996576482407,0.0564651325616143,0.16848997629230975,0.13965169263212127,0.17270815200444217,0.11639667314483544,0.38137590910329283,0.11316749044478594,0.15374722090985402,0.08069057871134966,0.34988956188625586,0.0609101146589023,0.07867590375258525,0.049882453110285496,0.1510126525816872,85.37254623827724,87.35544753570618,67.68579680622412,60.49466476379525,155
