split,speed_bin_mps,snr_db,n,position_rmse_m,velocity_rmse_mps,velocity_median_mps,velocity_error_over_speed_median
train,"[0,2)",-10.0,6615,1.0072360100342868,1.2224350244450763,0.978519070620895,
train,"[0,2)",-5.0,6615,0.5663669449154304,0.6871548431243072,0.5502503508827361,
train,"[0,2)",0.0,6615,0.31846385788075066,0.38635619414899763,0.3092439564324974,
train,"[0,2)",5.0,6615,0.1790886548259798,0.21726038144611237,0.1736903639408279,
train,"[0,2)",10.0,6615,0.10073031587986907,0.12219417533161106,0.0976766632581853,
train,"[2,5)",-10.0,3771,1.0168017057715772,1.273236090212967,0.998129060435371,0.28091363970920935
train,"[2,5)",-5.0,3771,0.5716140333432662,0.7155966183360779,0.5606608221287319,0.15786095970217642
train,"[2,5)",0.0,3771,0.32138633797805977,0.4023104122641297,0.31532861440940646,0.0886617025851012
train,"[2,5)",5.0,3771,0.18072460329193976,0.22621998916358768,0.17750584855776028,0.04985736344436093
train,"[2,5)",10.0,3771,0.10164784168979928,0.1272295707641162,0.09976751855344182,0.028039428509197252
train,"[5,10)",-10.0,9176,1.092066992329876,1.372941820200602,1.0471925289516415,0.1386415315145747
train,"[5,10)",-5.0,9176,0.6139465751272244,0.7720732209409794,0.5882102702262947,0.07793081197191845
train,"[5,10)",0.0,9176,0.34525176285501596,0.4341952057791991,0.3305321277697818,0.04379139346375725
train,"[5,10)",5.0,9176,0.19416952450959105,0.24419117766540452,0.18568375495327527,0.024634404357331968
train,"[5,10)",10.0,9176,0.10921735786768304,0.13735104339098664,0.10442818592350434,0.013855029283963715
train,"[10,20)",-10.0,20059,1.4348438261569576,1.7154520188390525,1.21708132025478,0.07929300256048559
train,"[10,20)",-5.0,20059,0.8064031935629039,0.964283120226682,0.6840702553962034,0.044577053623517
train,"[10,20)",0.0,20059,0.45339325912223793,0.542174563935,0.38466901948141413,0.025065534856638202
train,"[10,20)",5.0,20059,0.2549603665335561,0.304881208310083,0.2163515299678757,0.01409326936156293
train,"[10,20)",10.0,20059,0.1434061099603503,0.17147481726619987,0.12173678651419002,0.00792627442388092
train,"[20,inf)",-10.0,10144,1.4867460230612661,1.8201575456139176,1.273965286166965,0.056416968944765916
train,"[20,inf)",-5.0,10144,0.8354141396360072,1.0232643173238996,0.7160636021664617,0.03172636845271027
train,"[20,inf)",0.0,10144,0.4696844448857571,0.5753817787292841,0.4020358860287614,0.017851760069988044
train,"[20,inf)",5.0,10144,0.264109921620728,0.3235705797912554,0.22602660296507598,0.010028362864570367
train,"[20,inf)",10.0,10144,0.14854981574949874,0.1819914945653762,0.12719136037183226,0.005642466099275392
val,"[0,2)",-10.0,423,1.0025168932840447,1.2534656076167368,1.0153830762825273,
val,"[0,2)",-5.0,423,0.5646808058696704,0.7047028419690257,0.5725262788469565,
val,"[0,2)",0.0,423,0.3177559113995428,0.3962787759684563,0.3210645639861291,
val,"[0,2)",5.0,423,0.17875844089749182,0.22286101056366492,0.17983610284812393,
val,"[0,2)",10.0,423,0.10056497321397731,0.1253512034094903,0.10086065472201138,
val,"[2,5)",-10.0,188,1.0805662632271233,1.4740612268461224,1.1422604807499028,0.3383317648115306
val,"[2,5)",-5.0,188,0.610305433466242,0.8280746223816794,0.6453650215426023,0.19004700850248624
val,"[2,5)",0.0,188,0.3437446293581717,0.4653754704622125,0.36420708210746394,0.10691027358283987
val,"[2,5)",5.0,188,0.19344473397146422,0.26163086419853504,0.20522201470973245,0.060131571639013795
val,"[2,5)",10.0,188,0.10884582677518113,0.14712999390913306,0.11555339760683453,0.03379981995979793
val,"[5,10)",-10.0,859,1.0725912812828102,1.3153699183346323,1.0195827347710926,0.12732204763364938
val,"[5,10)",-5.0,859,0.6027047642005735,0.7393995185543165,0.5727039876725147,0.07179752835795904
val,"[5,10)",0.0,859,0.33881581250799947,0.4157061629601316,0.3218661061607535,0.04037909468221614
val,"[5,10)",5.0,859,0.19052166009648258,0.23375376634828787,0.18094857723611185,0.022736676655410494
val,"[5,10)",10.0,859,0.10715949433512284,0.13146715638024292,0.10179104355703628,0.012797429670840315
val,"[10,20)",-10.0,2410,1.5778530823949086,1.9086848174455087,1.263217284565524,0.07756622065871455
val,"[10,20)",-5.0,2410,0.8868529394910087,1.073177039278012,0.7079308573004126,0.04366121779808904
val,"[10,20)",0.0,2410,0.4987173505623906,0.6035442774987513,0.39856731157582537,0.024582278953281033
val,"[10,20)",5.0,2410,0.28048998062364155,0.339451118976574,0.22427127677204362,0.013835705776870759
val,"[10,20)",10.0,2410,0.15777921583653673,0.19093879584373663,0.12615569297773027,0.007781636741970714
val,"[20,inf)",-10.0,899,1.563143473951729,1.9053397353757742,1.300596567537044,0.05704748159877603
val,"[20,inf)",-5.0,899,0.8770585867515129,1.0709535721235832,0.7291202789570113,0.032162984618713045
val,"[20,inf)",0.0,899,0.49287837340223417,0.6020469125474784,0.4100798944087019,0.01812490371281704
val,"[20,inf)",5.0,899,0.27712104118910763,0.33851281122769394,0.23063721533163767,0.01020508215658923
val,"[20,inf)",10.0,899,0.1558573370717798,0.19037797264491052,0.1297277257363222,0.005740497626358496
