split,snr_db,n_bs,n,position_rmse_m,velocity_rmse_mps,velocity_rmse_median_mps
train,-10.0,1,1472,1.4252647434494268,2.3234176426096402,1.9781852735934473
train,-10.0,2,17613,0.5329323953746685,1.0457579098338825,0.7485919617276742
train,-10.0,3,30680,0.2879878772243622,0.6696000141805151,0.5329280150430173
train,-5.0,1,1472,0.801613170445777,2.2804160895787446,1.8615664883523477
train,-5.0,2,17613,0.29965862785059083,0.5880489488494244,0.42080602589883753
train,-5.0,3,30680,0.16194522068663017,0.376539181791319,0.2996127923266845
train,0.0,1,1472,0.45096073563464106,2.2674648612119785,1.8261746497153784
train,0.0,2,17613,0.16853295782936414,0.33069809424106117,0.2367669725111531
train,0.0,3,30680,0.09108624273011677,0.21175496413052058,0.1684281715819007
train,5.0,1,1472,0.25390196620658617,2.263812825577486,1.8044921692740572
train,5.0,2,17613,0.09482878500614939,0.18600457307785814,0.13313603044534594
train,5.0,3,30680,0.05125460577651613,0.11910438796848512,0.09473719151172817
train,10.0,1,1472,0.1433224930554882,2.2629137137857036,1.8042939208092386
train,10.0,2,17613,0.053428306658634635,0.10467212095372087,0.07491455597144789
train,10.0,3,30680,0.028880713064862076,0.06702494000600172,0.053302666209181976
val,-10.0,1,199,1.5923157994378723,2.241609925647601,1.920003208206973
val,-10.0,2,2028,0.5677732955370518,1.1279805469708934,0.7611854490212226
val,-10.0,3,2552,0.282455193124229,0.6903341830133787,0.5535011333977028
val,-5.0,1,199,0.8956508018123296,2.1805228615804086,1.7458437174030268
val,-5.0,2,2028,0.3192514780971887,0.6343163816864736,0.4277404828970668
val,-5.0,3,2552,0.15884141777020355,0.38815689894010597,0.31164643638764106
val,0.0,1,199,0.5038906771580703,2.1575911203078317,1.7539362845460649
val,0.0,2,2028,0.17955378699455654,0.35672729159739086,0.24042938990078946
val,0.0,3,2552,0.08934157907188309,0.21827597787550523,0.17545068915114415
val,5.0,1,199,0.2837142783822592,2.14845514670028,1.7427201706334297
val,5.0,2,2028,0.101031250211751,0.200648056386628,0.13513185716965104
val,5.0,3,2552,0.05027326293033979,0.12276874220889113,0.09865506653228841
val,10.0,1,199,0.16015949733043316,2.144529704142317,1.7297898011329282
val,10.0,2,2028,0.05692482875518925,0.11291346542349204,0.07600101747625085
val,10.0,3,2552,0.028328373923378412,0.06908629851704359,0.05552302233461866
