split,snr_db,n_bs,n,p01,p05,p10,p25,p50,p75,p90,min,fraction_below_0p05
train,-10.0,2,17613,0.04979947496148156,0.06574511344028215,0.0855355506064704,0.1255563400350563,0.18201899354547446,0.3342276592651718,0.6061652674209311,0.04615327645459307,0.010617157781184352
train,-10.0,3,30680,0.1750380217224887,0.2037835143039736,0.2509821143526757,0.3669670880685287,0.46269440526908134,0.5123245674585004,0.6163317577451543,0.1436196727807524,0.0
train,-5.0,2,17613,0.04984474095751903,0.06581998274318392,0.08547226358467513,0.12558596420630516,0.18205982903405044,0.3344802565309335,0.6065346145051871,0.046233797207073324,0.01044682904672685
train,-5.0,3,30680,0.17498002987276864,0.20405056373080752,0.25133096578567776,0.3667688258398613,0.46280237220659826,0.5124735369903936,0.6163715073790277,0.14361958389073867,0.0
train,0.0,2,17613,0.049866272086399176,0.06588264541844684,0.08551080871919571,0.12567631039688595,0.18203381604552113,0.33431294079581314,0.6068166420214844,0.04625771652319044,0.010390052801907681
train,0.0,3,30680,0.17508221588565845,0.20397922691979464,0.2513305941608309,0.36652377119644963,0.46276009896622355,0.5125836937503014,0.6163991149879605,0.14361972338481493,0.0
train,5.0,2,17613,0.04986159438295644,0.06589396564038938,0.08553829181016827,0.1257045227518002,0.18211192560051076,0.3344933026350188,0.6060456446950013,0.046239885324176846,0.010390052801907681
train,5.0,3,30680,0.17506178592633323,0.20405630452564152,0.2513020626252728,0.36631305236723183,0.4627847597410206,0.5125566449823734,0.6162787183121305,0.14361986552306574,0.0
train,10.0,2,17613,0.049865732154860974,0.06590666023333619,0.08556303411122046,0.12567540407464436,0.18218106993686217,0.3343844191989561,0.6058304754884858,0.04622475744360115,0.010333276557088515
train,10.0,3,30680,0.1750011689744195,0.20401051064557602,0.25129268564445983,0.36632930719360424,0.46284160618371306,0.512561598354666,0.6163109071113368,0.14361996788053988,0.0
val,-10.0,2,2028,0.04775693721613537,0.05466049959999999,0.06426607838775623,0.10297636647307404,0.16139336444147642,0.29195789670357775,0.49267138764558255,0.04598518022251385,0.024161735700197237
val,-10.0,3,2552,0.14808494976425618,0.19104595054315232,0.22863469556083268,0.3489786226715404,0.4581668070406885,0.5043430164840872,0.5209532282949181,0.14366795538068367,0.0
val,-5.0,2,2028,0.047725925070556494,0.054644645964271696,0.06429627506889851,0.10316103958198851,0.16135581149742384,0.2921304790304908,0.49023297500615215,0.04610013742796909,0.024161735700197237
val,-5.0,3,2552,0.1481050900296713,0.19152754871118288,0.2281154602689056,0.34901478370042627,0.4580203725934947,0.5043371583989366,0.5202902340218076,0.14366671078190563,0.0
val,0.0,2,2028,0.04770769183789993,0.054632329035346774,0.06433834706395326,0.10302877354270881,0.1613374558493876,0.2920391481885634,0.4898332392815659,0.046160607980906466,0.024161735700197237
val,0.0,3,2552,0.14817623127451726,0.19110134072271373,0.2277849567939246,0.3493822052832848,0.4581335160417122,0.5044293486071295,0.5198139322129567,0.14365862208940108,0.0
val,5.0,2,2028,0.04769718927086692,0.054624525982438575,0.06436174243698391,0.10302679434671162,0.16122341928513167,0.2922835339151597,0.4897657985485512,0.04619328345692612,0.024161735700197237
val,5.0,3,2552,0.14821717450517752,0.1909652732953836,0.22782420371887405,0.3494814222571698,0.4581805558215888,0.5044763407585129,0.519582760410987,0.14364983158382283,0.0
val,10.0,2,2028,0.04769372258191778,0.05461986596908148,0.06437480929294755,0.1030574596850014,0.16123983776562278,0.292381510628158,0.4899201027540013,0.04621122541212271,0.024161735700197237
val,10.0,3,2552,0.14824045084340026,0.19091897210315267,0.2274098882154156,0.3495225942120789,0.4582691325813484,0.5044901743256035,0.5194052572116364,0.14364569625974646,0.0
