split,scope,snr_db,n,position_rmse_m,velocity_rmse_mps,position_ratio_vs_higher_snr,velocity_ratio_vs_higher_snr
train,overall,-10.0,49765,0.4601488228822026,0.9072733970126612,,
train,overall,-5.0,49765,0.25875872297429053,0.6030050542295917,0.5623370312098622,0.6646343386845461
train,overall,0.0,49765,0.14554334914469516,0.4673615759357938,0.562467411617099,0.7750541602555918
train,overall,5.0,49765,0.08190887451522103,0.4154256684347176,0.5627799208728493,0.8888742460329876
train,overall,10.0,49765,0.04617482751623422,0.3976365287470213,0.5637341227006313,0.9571785254514388
train,overall,overall_+10_to_-10,,,,0.1003475945608469,0.43827641156050806
train,scene_0,-10.0,24352,0.49804642947530564,0.9279265929573518,,
train,scene_0,-5.0,24352,0.2800841160389819,0.6952877038972538,0.5623654733034668,0.749291710329515
train,scene_0,0.0,24352,0.15754686668104587,0.603534381891652,0.5624983983708616,0.8680354600098599
train,scene_0,5.0,24352,0.0886749648894082,0.5715743108140857,0.5628481654854548,0.9470451526267748
train,scene_0,10.0,24352,0.05000681153998296,0.5611520292239052,0.5639338183257182,0.9817656577753884
train,scene_0,overall_+10_to_-10,,,,0.10040592318404006,0.6047375228631864
train,scene_1,-10.0,25413,0.4206420371309153,0.8870314100148129,,
train,scene_1,-5.0,25413,0.2365265215087046,0.4988058710465644,0.562298820921436,0.5623316890641276
train,scene_1,0.0,25413,0.1330286116085654,0.28051426021897125,0.5624257726365359,0.5623716088794487
train,scene_1,5.0,25413,0.07485362804645837,0.15777921023615601,0.5626881852057058,0.562464133242255
train,scene_1,10.0,25413,0.04217743411602846,0.08878904117433944,0.56346546208623,0.562742334946692
train,scene_1,overall_+10_to_-10,,,,0.10026918470562106,0.10009684005762177
val,overall,-10.0,4779,0.533835038090639,1.0018217707866233,,
val,overall,-5.0,4779,0.30021307112206225,0.67021355960136,0.5623704884486985,0.6689948044102826
val,overall,0.0,4779,0.16886741846600534,0.5227698870272084,0.5624918922912131,0.7800049395272599
val,overall,5.0,4779,0.09504200417354058,0.46619713660942735,0.5628202588569415,0.8917826909665961
val,overall,10.0,4779,0.05358879901522915,0.4466140293672498,0.5638433183435342,0.9579939349593561
val,overall,overall_+10_to_-10,,,,0.10038456675099394,0.4458018805246882
val,scene_0,-10.0,2464,0.5766648228964351,0.9789194855508417,,
val,scene_0,-5.0,2464,0.3243308318491478,0.7474660195992681,0.5624252060670525,0.7635623058199379
val,scene_0,0.0,2464,0.18244754656948134,0.6566739993140958,0.5625353147256165,0.8785335815883004
val,scene_0,5.0,2464,0.10270074301298082,0.6247166701353031,0.5629055854355892,0.9513345599000835
val,scene_0,10.0,2464,0.05793234710380052,0.6139749699060866,0.5640888800237617,0.9828054848818265
val,scene_0,overall_+10_to_-10,,,,0.1004610387240575,0.6271965968279817
val,scene_1,-10.0,2315,0.48410342040428705,1.0256364296973157,,
val,scene_1,-5.0,2315,0.27220546605704554,0.5767304485561429,0.5622878388872358,0.5623147070998119
val,scene_1,0.0,2315,0.1530955058788513,0.3243316042691546,0.562426273419386,0.5623625474970599
val,scene_1,5.0,2315,0.08614550210084207,0.18242335576592392,0.5626912534520209,0.5624593883688725
val,scene_1,10.0,2315,0.04854054714603663,0.10265689102440746,0.5634716376626951,0.5627398454183213
val,scene_1,overall_+10_to_-10,,,,0.10026896134197769,0.10009091726071334
