split,snr_db,speed_class,position_step_error,position_error_delta,second_difference_error_m,velocity_angle_vs_true_deg,direction_flip_fraction,speed_ratio_median,speed_anomaly_fraction
train,-10.0,low_speed_lt2,"{'n': 6603, 'mae': 0.37815442981463665, 'rmse': 0.4400136852048013, 'median': 0.34123808381163745, 'p75': 0.5033274252615875, 'p90': 0.6727684777059153, 'p95': 0.7876058297393195, 'p99': 1.0575555289995522, 'max': 2.1110385737386244}","{'n': 6603, 'mae': 0.37815442981463665, 'rmse': 0.4400136852048013, 'median': 0.34123808381163745, 'p75': 0.5033274252615875, 'p90': 0.6727684777059153, 'p95': 0.7876058297393195, 'p99': 1.0575555289995522, 'max': 2.1110385737386244}","{'n': 6591, 'mae': 0.6515280359118405, 'rmse': 0.7585930720917559, 'median': 0.5931200086069862, 'p75': 0.8674495203458643, 'p90': 1.1624362001725985, 'p95': 1.3517401037961632, 'p99': 1.8183853811213995, 'max': 3.687182640859059}",{'n': 0},,,
train,-10.0,normal_speed_ge2,"{'n': 42599, 'mae': 0.5125764616386193, 'rmse': 0.6706654498348531, 'median': 0.4124548785297778, 'p75': 0.6353212097720726, 'p90': 0.944627044419533, 'p95': 1.2367009912219624, 'p99': 2.232598313021521, 'max': 7.417679911300962}","{'n': 42599, 'mae': 0.5125764616386193, 'rmse': 0.6706654498348531, 'median': 0.4124548785297778, 'p75': 0.6353212097720726, 'p90': 0.944627044419533, 'p95': 1.2367009912219624, 'p99': 2.232598313021521, 'max': 7.417679911300962}","{'n': 42048, 'mae': 0.8707347614057552, 'rmse': 1.1424337676095146, 'median': 0.6997359657270406, 'p75': 1.0865759297901298, 'p90': 1.6122600630990342, 'p95': 2.1209044088404565, 'p99': 3.8468343048957583, 'max': 12.141066508423831}","{'n': 43150, 'mae': 2.8264491885721346, 'rmse': 4.2047666997613895, 'median': 1.865816643017979, 'p75': 3.707111892029683, 'p90': 6.443273552100224, 'p95': 8.85420653426817, 'p99': 14.685175582448958, 'max': 44.86914110829829}",0.0,1.0008232631328373,0.00018539976825028968
train,0.0,low_speed_lt2,"{'n': 6603, 'mae': 0.11961502444296686, 'rmse': 0.1391578293125205, 'median': 0.10798153293309183, 'p75': 0.15933748128166025, 'p90': 0.21265463763702597, 'p95': 0.24862885184587943, 'p99': 0.3340907564832849, 'max': 0.6677751200819556}","{'n': 6603, 'mae': 0.11961502444296686, 'rmse': 0.1391578293125205, 'median': 0.10798153293309183, 'p75': 0.15933748128166025, 'p90': 0.21265463763702597, 'p95': 0.24862885184587943, 'p99': 0.3340907564832849, 'max': 0.6677751200819556}","{'n': 6591, 'mae': 0.20313478640215568, 'rmse': 0.23738658248780378, 'median': 0.18491764126577903, 'p75': 0.27092215795138563, 'p90': 0.36488546956547724, 'p95': 0.4246063549988831, 'p99': 0.5709196968114528, 'max': 1.164066050704944}",{'n': 0},,,
train,0.0,normal_speed_ge2,"{'n': 42599, 'mae': 0.16211552892979084, 'rmse': 0.2121333870609999, 'median': 0.13047810875196184, 'p75': 0.20078795182830023, 'p90': 0.2986958882992985, 'p95': 0.3908472025373512, 'p99': 0.7072206042173246, 'max': 2.345645341402554}","{'n': 42599, 'mae': 0.16211552892979084, 'rmse': 0.2121333870609999, 'median': 0.13047810875196184, 'p75': 0.20078795182830023, 'p90': 0.2986958882992985, 'p95': 0.3908472025373512, 'p99': 0.7072206042173246, 'max': 2.345645341402554}","{'n': 42048, 'mae': 0.2678052739346265, 'rmse': 0.3559717048344214, 'median': 0.2138052891961526, 'p75': 0.33651597666954625, 'p90': 0.5037773019600302, 'p95': 0.661880829156557, 'p99': 1.2106591502204291, 'max': 3.841519009288579}","{'n': 43150, 'mae': 1.0527584575405506, 'rmse': 1.8263539509368953, 'median': 0.5914954508933312, 'p75': 1.1842322970414862, 'p90': 2.273412932990531, 'p95': 3.823008137245493, 'p99': 8.876284377635894, 'max': 14.751841438022108}",0.0,0.9999238617146005,0.0
train,10.0,low_speed_lt2,"{'n': 6603, 'mae': 0.03792707433651352, 'rmse': 0.04411930164484991, 'median': 0.03424818727390286, 'p75': 0.0505069958986605, 'p90': 0.06739274479706639, 'p95': 0.0787749654918291, 'p99': 0.10577012120132002, 'max': 0.21198190343436318}","{'n': 6603, 'mae': 0.03792707433651352, 'rmse': 0.04411930164484991, 'median': 0.03424818727390286, 'p75': 0.0505069958986605, 'p90': 0.06739274479706639, 'p95': 0.0787749654918291, 'p99': 0.10577012120132002, 'max': 0.21198190343436318}","{'n': 6591, 'mae': 0.061713744886618294, 'rmse': 0.07303141592822579, 'median': 0.055933173055063776, 'p75': 0.08334306654090842, 'p90': 0.11316907779398724, 'p95': 0.13230634654824547, 'p99': 0.1770338548032581, 'max': 0.36788274590578424}",{'n': 0},,,
train,10.0,normal_speed_ge2,"{'n': 42599, 'mae': 0.05140824792184143, 'rmse': 0.06730234313168601, 'median': 0.04136542591495368, 'p75': 0.06366747048344473, 'p90': 0.09467728643145412, 'p95': 0.12398316015506866, 'p99': 0.2246123203867264, 'max': 0.7454536831608564}","{'n': 42599, 'mae': 0.05140824792184143, 'rmse': 0.06730234313168601, 'median': 0.04136542591495368, 'p75': 0.06366747048344473, 'p90': 0.09467728643145412, 'p95': 0.12398316015506866, 'p99': 0.2246123203867264, 'max': 0.7454536831608564}","{'n': 42048, 'mae': 0.07854801257742616, 'rmse': 0.108414257592069, 'median': 0.061170859353161855, 'p75': 0.10073068065932252, 'p90': 0.1542241049063766, 'p95': 0.20322964346458058, 'p99': 0.3786582993135063, 'max': 1.2189365798426408}","{'n': 43150, 'mae': 0.4920185121732144, 'rmse': 1.3808104032926292, 'median': 0.18697821032800044, 'p75': 0.37475641924055003, 'p90': 0.721151036477682, 'p95': 1.2655237688750154, 'p99': 8.821675229988744, 'max': 10.523333421372158}",0.0,0.9999096901559581,0.0
val,-10.0,low_speed_lt2,"{'n': 417, 'mae': 0.3734326738623907, 'rmse': 0.43974327442259886, 'median': 0.33323864313616064, 'p75': 0.5129893501834548, 'p90': 0.6634457207465002, 'p95': 0.7772686341329503, 'p99': 1.089977476356664, 'max': 1.6115276741719866}","{'n': 417, 'mae': 0.3734326738623907, 'rmse': 0.43974327442259886, 'median': 0.33323864313616064, 'p75': 0.5129893501834548, 'p90': 0.6634457207465002, 'p95': 0.7772686341329503, 'p99': 1.089977476356664, 'max': 1.6115276741719866}","{'n': 411, 'mae': 0.638693642377605, 'rmse': 0.752167933131265, 'median': 0.5825162142011662, 'p75': 0.8266543294449065, 'p90': 1.1782529136748379, 'p95': 1.3591446147408788, 'p99': 1.7747015445302878, 'max': 3.0851636820856783}",{'n': 0},,,
val,-10.0,normal_speed_ge2,"{'n': 4294, 'mae': 0.5757616384164189, 'rmse': 0.7805630324612589, 'median': 0.4391648695984819, 'p75': 0.6997742376195568, 'p90': 1.1070776278115388, 'p95': 1.4904039054958729, 'p99': 2.6622172654962517, 'max': 6.473807252406013}","{'n': 4294, 'mae': 0.5757616384164189, 'rmse': 0.7805630324612589, 'median': 0.4391648695984819, 'p75': 0.6997742376195568, 'p90': 1.1070776278115388, 'p95': 1.4904039054958733, 'p99': 2.6622172654962517, 'max': 6.473807252406013}","{'n': 4232, 'mae': 0.9870884908534401, 'rmse': 1.3418338634928895, 'median': 0.7554482650225725, 'p75': 1.2064740354161798, 'p90': 1.888452886733938, 'p95': 2.5915549239062474, 'p99': 4.856008291442118, 'max': 9.710116827608852}","{'n': 4356, 'mae': 2.72684266425076, 'rmse': 4.102888008949232, 'median': 1.8344695700572329, 'p75': 3.546059142470434, 'p90': 6.082286570117955, 'p95': 8.403430124597845, 'p99': 13.638541671468143, 'max': 52.32766013977512}",0.0,0.999697417508818,0.0004591368227731864
val,0.0,low_speed_lt2,"{'n': 417, 'mae': 0.11817624051378077, 'rmse': 0.13915988827120218, 'median': 0.10550849114662722, 'p75': 0.16310547863764294, 'p90': 0.20844424886109456, 'p95': 0.2465403257322112, 'p99': 0.34538341765305475, 'max': 0.511062197517082}","{'n': 417, 'mae': 0.11817624051378077, 'rmse': 0.13915988827120218, 'median': 0.10550849114662722, 'p75': 0.16310547863764294, 'p90': 0.20844424886109456, 'p95': 0.2465403257322112, 'p99': 0.34538341765305475, 'max': 0.511062197517082}","{'n': 411, 'mae': 0.1992020927491126, 'rmse': 0.2355522867032547, 'median': 0.1802438702550202, 'p75': 0.25949322465476, 'p90': 0.3709161000611, 'p95': 0.42332634877535824, 'p99': 0.5576462674316958, 'max': 0.9707780669419653}",{'n': 0},,,
val,0.0,normal_speed_ge2,"{'n': 4294, 'mae': 0.1820669829071063, 'rmse': 0.24689743477000567, 'median': 0.13861347256754317, 'p75': 0.2211977528300446, 'p90': 0.34995556978965375, 'p95': 0.47144818119747595, 'p99': 0.8415445721051404, 'max': 2.05309060072313}","{'n': 4294, 'mae': 0.1820669829071063, 'rmse': 0.24689743477000567, 'median': 0.13861347256754317, 'p75': 0.22119775283004459, 'p90': 0.34995556978965375, 'p95': 0.47144818119747595, 'p99': 0.8415445721051404, 'max': 2.05309060072313}","{'n': 4232, 'mae': 0.30465159563447336, 'rmse': 0.41946524611183095, 'median': 0.23011748338673332, 'p75': 0.3749420436890638, 'p90': 0.5912332344307759, 'p95': 0.8114357936478097, 'p99': 1.5286902799578939, 'max': 3.074204709797812}","{'n': 4356, 'mae': 1.078162751788674, 'rmse': 1.9588633750418163, 'median': 0.5799398182883566, 'p75': 1.1294039510511769, 'p90': 2.216787865728003, 'p95': 4.517347580285264, 'p99': 9.176370005201825, 'max': 13.354762820773518}",0.0,0.9995608529767948,0.0
