split,scene_id,frame,station_id,target_snr_db,timestamp,detections,visible_targets,unmatched_detections,unmatched_targets,unmatched_targets_crowded,unmatched_targets_isolated,rd_local_maxima,nms_suppressed,roi_rejected,fov_rejected,ghost_detections
train,0,307,1,-10.0,30.73073073073073,0,6,0,6,0,6,0,0,0,0,0
train,0,307,1,-5.0,30.73073073073073,0,6,0,6,0,6,0,0,0,0,0
train,0,307,1,0.0,30.73073073073073,0,6,0,6,0,6,0,0,0,0,0
train,0,307,1,5.0,30.73073073073073,1,6,0,5,0,5,1,0,0,0,0
train,0,307,1,10.0,30.73073073073073,1,6,0,5,0,5,1,0,0,0,0
train,0,307,1,15.0,30.73073073073073,1,6,0,5,0,5,1,0,0,0,0
train,0,307,2,-10.0,30.73073073073073,2,4,0,2,2,0,2,0,0,0,0
train,0,307,2,-5.0,30.73073073073073,2,4,0,2,2,0,2,0,0,0,0
train,0,307,2,0.0,30.73073073073073,2,4,0,2,2,0,2,0,0,0,0
train,0,307,2,5.0,30.73073073073073,2,4,0,2,2,0,2,0,0,0,0
train,0,307,2,10.0,30.73073073073073,2,4,0,2,2,0,2,0,0,0,0
train,0,307,2,15.0,30.73073073073073,2,4,0,2,2,0,2,0,0,0,0
train,0,308,1,-10.0,30.83083083083083,1,6,0,5,0,5,1,0,0,0,0
train,0,308,1,-5.0,30.83083083083083,1,6,0,5,0,5,1,0,0,0,0
train,0,308,1,0.0,30.83083083083083,1,6,0,5,0,5,1,0,0,0,0
train,0,308,1,5.0,30.83083083083083,2,6,0,4,0,4,2,0,0,0,0
train,0,308,1,10.0,30.83083083083083,2,6,0,4,0,4,2,0,0,0,0
train,0,308,1,15.0,30.83083083083083,2,6,0,4,0,4,2,0,0,0,0
train,0,308,2,-10.0,30.83083083083083,2,4,0,2,2,0,2,0,0,0,0
train,0,308,2,-5.0,30.83083083083083,2,4,0,2,2,0,2,0,0,0,0
train,0,308,2,0.0,30.83083083083083,2,4,0,2,2,0,2,0,0,0,0
