model,seed,budget_epochs,selection,selected_epoch,loss,ADE,FDE,J,validation_split,source_history,source_summary,source_validation
gnn,2026,40,best_J,40,1.2267032969984026,0.5806464175239671,1.1756041373847983,1.1684484862163662,V_select,project/results/qgat_relation_gnn_fast/seed2026/gnn/history.json,project/results/qgat_relation_gnn_fast/seed2026/gnn/summary.json,project/results/qgat_relation_gnn_fast/seed2026/gnn/validation_epoch_40.json
gnn,2026,40,final,40,1.2267032969984026,0.5806464175239671,1.1756041373847983,1.1684484862163662,V_select,project/results/qgat_relation_gnn_fast/seed2026/gnn/history.json,project/results/qgat_relation_gnn_fast/seed2026/gnn/summary.json,project/results/qgat_relation_gnn_fast/seed2026/gnn/validation_epoch_40.json
original_D,2026,40,best_J,37,1.344889112389372,0.5959331312129507,1.1965569418348605,1.1942116021303808,V_select,project/results/qgat_relation/seed2026/original_D/history.json,project/results/qgat_relation/seed2026/original_D/summary.json,project/results/qgat_relation/seed2026/original_D/validation_epoch_37.json
original_D,2026,40,final,40,1.3267046784297145,0.6059579972847132,1.212209736687946,1.2120628656286863,V_select,project/results/qgat_relation/seed2026/original_D/history.json,project/results/qgat_relation/seed2026/original_D/summary.json,project/results/qgat_relation/seed2026/original_D/validation_epoch_40.json
relation_D,2026,40,best_J,39,1.295371509681609,0.5876009998755762,1.1752726276393515,1.175237313695252,V_select,project/results/qgat_relation/seed2026/relation_D/history.json,project/results/qgat_relation/seed2026/relation_D/summary.json,project/results/qgat_relation/seed2026/relation_D/validation_epoch_39.json
relation_D,2026,40,final,40,1.2952801690622862,0.5893811105663189,1.1838144883967472,1.1812883547646926,V_select,project/results/qgat_relation/seed2026/relation_D/history.json,project/results/qgat_relation/seed2026/relation_D/summary.json,project/results/qgat_relation/seed2026/relation_D/validation_epoch_40.json
gnn,2026,100,best_J,97,0.944966243782394,0.5516128726955504,1.1216386450035496,1.112432195197325,V_select,project/results/qgat_extend100/seed2026/gnn/history.json,project/results/qgat_extend100/seed2026/gnn/summary.json,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json
gnn,2026,100,final,100,0.9305215198019643,0.5625825820909813,1.1572409458918265,1.1412030550368946,V_select,project/results/qgat_extend100/seed2026/gnn/history.json,project/results/qgat_extend100/seed2026/gnn/summary.json,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json
relation_D,2026,100,best_J,85,1.0866246489839182,0.5594430626276881,1.1237626934068976,1.121324409331137,V_select,project/results/qgat_extend100/seed2026/relation_D/history.json,project/results/qgat_extend100/seed2026/relation_D/summary.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
relation_D,2026,100,final,100,1.0446389061757135,0.5605631168789114,1.1336439732904546,1.1273851035241387,V_select,project/results/qgat_extend100/seed2026/relation_D/history.json,project/results/qgat_extend100/seed2026/relation_D/summary.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
