model,seed,selection,selected_epoch,snr_db,ADE,FDE,J,total_scenes,ade_scenes,fde_scenes,validation_split,source_validation
gnn,2026,best_J,97,5,0.5516030776314438,1.121632005854044,1.1124190805584657,400,400,400,V_select,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json
gnn,2026,best_J,97,10,0.5516679828218184,1.121758984029293,1.112547474836465,400,400,400,V_select,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json
gnn,2026,best_J,97,15,0.551584860989824,1.121607698686421,1.1123887103330343,400,400,400,V_select,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json
gnn,2026,best_J,97,20,0.5515955693391151,1.121555891444441,1.1123735150613356,400,400,400,V_select,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json
relation_D,2026,best_J,85,5,0.559474977531936,1.123798102743458,1.121374028903665,400,400,400,V_select,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
relation_D,2026,best_J,85,10,0.5594530561729334,1.1238313208241015,1.1213687165849842,400,400,400,V_select,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
relation_D,2026,best_J,85,15,0.559424919760786,1.1237628742959351,1.1213063569087536,400,400,400,V_select,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
relation_D,2026,best_J,85,20,0.5594192970450967,1.1236584757640957,1.1212485349271446,400,400,400,V_select,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
gnn,2026,final,100,5,0.5625685031246394,1.1571761952619999,1.1411566007556393,400,400,400,V_select,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json
gnn,2026,final,100,10,0.5626685422891751,1.157404758669436,1.141370921623893,400,400,400,V_select,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json
gnn,2026,final,100,15,0.5625166248506867,1.157185498739127,1.14110937422025,400,400,400,V_select,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json
gnn,2026,final,100,20,0.5625766580994241,1.1571973308967427,1.1411753235477955,400,400,400,V_select,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json
relation_D,2026,final,100,5,0.5606675100652501,1.1338457196205853,1.1275903698755427,400,400,400,V_select,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
relation_D,2026,final,100,10,0.5605725974368397,1.1336921546142549,1.1274186747439672,400,400,400,V_select,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
relation_D,2026,final,100,15,0.5604863911587745,1.1335151204140856,1.1272439513658172,400,400,400,V_select,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
relation_D,2026,final,100,20,0.5605259688547812,1.1335228985128925,1.1272874181112273,400,400,400,V_select,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
