selection,seed,validation_split,origin,snr_db,gnn_epoch,relation_D_epoch,ade_targets,fde_targets,gnn_ADE,relation_D_ADE,delta_ADE_relation_minus_gnn,gnn_FDE,relation_D_FDE,delta_FDE_relation_minus_gnn,gnn_scene_J,relation_D_scene_J,delta_scene_J_relation_minus_gnn,gnn_source,relation_D_source
final,2026,V_select,0,5,100,100,8,8,0.07691119611263275,0.07782363891601562,0.0009124428033828735,0.4265279173851013,0.42780011892318726,0.0012722015380859375,0.2901751548051834,0.29172369837760925,0.0015485435724258423,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,0,10,100,100,8,8,0.07691445201635361,0.07782255113124847,0.0009080991148948669,0.426528662443161,0.42780524492263794,0.0012765824794769287,0.2901787832379341,0.29172517359256744,0.0015463903546333313,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,0,15,100,100,8,8,0.07691584527492523,0.07782097905874252,0.0009051337838172913,0.4265328645706177,0.42780572175979614,0.0012728571891784668,0.29018227756023407,0.2917238399386406,0.0015415623784065247,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,0,20,100,100,8,8,0.07691596448421478,0.07782112807035446,0.000905163586139679,0.4265330135822296,0.42780354619026184,0.0012705326080322266,0.2901824712753296,0.2917229011654854,0.0015404298901557922,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,1,5,100,100,8,8,0.6984086036682129,0.7041977643966675,0.00578916072845459,2.6356515884399414,2.657559871673584,0.021908283233642578,2.0162343978881836,2.0329777002334595,0.01674330234527588,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,1,10,100,100,8,8,0.6993715167045593,0.7054978013038635,0.006126284599304199,2.637726306915283,2.6598634719848633,0.022137165069580078,2.018234670162201,2.035429537296295,0.01719486713409424,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,1,15,100,100,8,8,0.7015805840492249,0.7074100375175476,0.005829453468322754,2.640763759613037,2.6627562046051025,0.02199244499206543,2.0219624638557434,2.038788139820099,0.01682567596435547,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,1,20,100,100,8,8,0.7016162872314453,0.7074055671691895,0.005789279937744141,2.64086651802063,2.6627426147460938,0.021876096725463867,2.0220495462417603,2.0387768745422363,0.016727328300476074,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,2,5,100,100,8,8,1.5045342445373535,1.7405604124069214,0.23602616786956787,2.853743553161621,4.403964042663574,1.5502204895019531,2.931406021118164,3.9425424337387085,1.0111364126205444,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,2,10,100,100,8,8,1.5089178085327148,1.7389578819274902,0.2300400733947754,2.862344741821289,4.396183967590332,1.533839225769043,2.9400901794433594,3.9370498657226562,0.9969596862792969,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
