model,family,checkpoint_stage,split,ADE,FDE,J,ADE_point_trainrule_eval,FDE_trainrule_eval,J_trainrule_eval,fixed_ADE,fixed_FDE,ade_scenes,fde_scenes,ade_targets,fde_targets,valid_points,scenes_without_supervision,fixed_complete_targets,train_minus_V_select_ADE,train_minus_V_select_FDE,train_minus_V_select_J,latest_minus_best_ADE,latest_minus_best_FDE,latest_minus_best_J
A_best,A,best,train,0.482702254512852,0.9235838558893503,0.944494182457527,0.4756958209856493,0.8986176316357186,0.9250046368035085,0.483154355177644,0.9235838558893503,21744,21596,137368,132292,2696652,452,132292,-0.05978432805024336,-0.17320211756937098,-0.14638538683492874,,,
A_best,A,best,V_select,0.5424865825630953,1.0967859734587213,1.0908795692924558,0.544245685864928,1.0967859734587213,1.0926386725942885,0.5420713425693225,1.0967859734587213,1600,1600,11468,11232,226772,0,11232,-0.05978432805024336,-0.17320211756937098,-0.14638538683492874,,,
A_latest,A,latest,train,0.42127621625533906,0.7811623377339312,0.8118573851223047,0.414407187909293,0.7600460373806982,0.794430206599642,0.41980955036409867,0.7811623377339312,21744,21596,137368,132292,2696652,452,132292,-0.13864278195877466,-0.36884118754215756,-0.32306337572985366,-0.061426038257512916,-0.14242151815541915,-0.13263679733522238
A_latest,A,latest,V_select,0.5599189982141137,1.1500035252760887,1.1349207608521583,0.5620433438184176,1.1500035252760887,1.137045106456462,0.5600746894905388,1.1500035252760887,1600,1600,11468,11232,226772,0,11232,-0.13864278195877466,-0.36884118754215756,-0.32306337572985366,0.017432415651018385,0.053217551817367426,0.04404119155970254
CV_hat,CV,reference,train,0.9221760273231232,2.0667239152041086,1.9555379849251773,0.91368814133691,2.010856445879795,1.9191163642768077,0.9346194302247279,2.0667239152041086,21744,21596,137368,132292,2696652,452,132292,0.11021821414561805,0.3011838496470114,0.26081013896912353,,,
CV_hat,CV,reference,V_select,0.8119578131775051,1.7655400655570972,1.6947278459560537,0.8131646745173736,1.7655400655570972,1.695934707295922,0.8086382599544567,1.7655400655570972,1600,1600,11468,11232,226772,0,11232,0.11021821414561805,0.3011838496470114,0.26081013896912353,,,
G_best,G,best,train,0.4653701278904048,0.8899256582175761,0.9103329569991928,0.45827751170748854,0.8658692789181281,0.8912121511665525,0.46518757453822945,0.8899256582175761,21744,21596,137368,132292,2696652,452,132292,-0.0848530349845284,-0.2283573723618948,-0.19903172116547585,,,
G_best,G,best,V_select,0.5502231628749332,1.1182830305794709,1.1093646781646687,0.5519899550661302,1.1182830305794709,1.1111314703558657,0.5491776025498929,1.1182830305794709,1600,1600,11468,11232,226772,0,11232,-0.0848530349845284,-0.2283573723618948,-0.19903172116547585,,,
G_latest,G,latest,train,0.43491576379629804,0.8214890276366982,0.8456602776146471,0.42814993146395086,0.7992826203298853,0.8277912416288935,0.434729056462536,0.8214890276366982,21744,21596,137368,132292,2696652,452,132292,-0.13842379569930285,-0.35503045993643134,-0.3159390256675185,-0.03045436409410679,-0.0684366305808779,-0.06467267938454568
G_latest,G,latest,V_select,0.5733395594956009,1.1765194875731295,1.1615993032821657,0.5752270088283309,1.1765194875731295,1.1634867526148955,0.5724927968642859,1.1765194875731295,1600,1600,11468,11232,226772,0,11232,-0.13842379569930285,-0.35503045993643134,-0.3159390256675185,0.023116396620667667,0.05823645699365865,0.05223462511749699
Q_best,Q,best,train,0.4084533984704418,0.7383408659416121,0.777623831441248,0.4014588670843968,0.7183821112306297,0.7606499226997117,0.4066200552030493,0.7383408659416121,21744,21596,137368,132292,2696652,452,132292,-0.13431357752636608,-0.3570806900091642,-0.3128539225309479,,,
Q_best,Q,best,V_select,0.5427669759968079,1.0954215559507763,1.090477753972196,0.5447269558691124,1.0954215559507763,1.0924377338445004,0.5428693593551177,1.0954215559507763,1600,1600,11468,11232,226772,0,11232,-0.13431357752636608,-0.3570806900091642,-0.3128539225309479,,,
Q_latest,Q,latest,train,0.37308523432365515,0.6588615864779229,0.7025160275626166,0.36627166499780417,0.6410513075138414,0.6867973187547249,0.3704267591442233,0.6588615864779229,21744,21596,137368,132292,2696652,452,132292,-0.17896971543995155,-0.4640490763204729,-0.41099425360018804,-0.035368164146786674,-0.07947927946368916,-0.07510780387863147
Q_latest,Q,latest,V_select,0.5520549497636067,1.1229106627983958,1.1135102811628046,0.5543837518761416,1.1229106627983958,1.1158390832753393,0.5529887395060943,1.1229106627983958,1600,1600,11468,11232,226772,0,11232,-0.17896971543995155,-0.4640490763204729,-0.41099425360018804,0.009287973766798796,0.027489106847619516,0.023032527190608665
