group_type,group_value,targets,origins,episodes,Q_minus_G_ADE,Q_minus_G_FDE,A_minus_Q_ADE,A_minus_Q_FDE,split
episode_id,s0_t1118935680200_a0,62,31,1,-0.09320944018987935,-0.2131953762250962,0.06901829337732523,0.1344278547771163,train
episode_id,s0_t1118935680200_a1,62,31,1,-0.09358981461753635,-0.21460183073681874,0.06780708544548696,0.13088919126916995,train
episode_id,s0_t1118935700200_a10,59,31,1,0.02039483200626771,0.08903879267377146,-0.025366750227540896,-0.06815839530594513,train
episode_id,s0_t1118935700200_a15,124,31,1,-0.0748562048686908,-0.20935452248700323,0.09230225377448047,0.24394039742961618,train
episode_id,s0_t1118935700200_a2,155,31,1,-0.07222083466127129,-0.11036187534591935,0.12184996681643363,0.296347859504754,train
episode_id,s0_t1118935720200_a3,248,31,1,-0.004620546468557867,-0.03637005148761922,0.019745560252778308,0.06416740078066926,train
episode_id,s0_t1118935720200_a39,248,31,1,-0.11426485867638014,-0.3075821668740816,0.10567089357694029,0.2660958956169586,train
episode_id,s0_t1118935720200_a8,70,31,1,-0.21621161785930906,-0.6150069147275511,0.22293941473315498,0.5991433569816353,train
episode_id,s0_t1118935740200_a21,248,31,1,-0.0018030741829159367,-0.003345805405165911,0.0005917005399558888,0.002026339700185298,train
episode_id,s0_t1118935740200_a53,217,31,1,-0.03325687021251149,-0.08504328123299895,0.09933647187253926,0.27590260848076165,train
episode_id,s0_t1118935740200_a59,214,31,1,-0.09736685755757316,-0.2630841497884691,0.15495679890967357,0.3705726924782993,train
episode_id,s0_t1118935760200_a58,213,31,1,-0.026155001083907323,-0.06776180049834497,0.07600818974460107,0.20070641452796903,train
episode_id,s0_t1118935760200_a79,217,31,1,-0.09144878589907542,-0.2474716554551784,0.1396783768690743,0.3029317123729039,train
episode_id,s0_t1118935760200_a85,248,31,1,-0.003508122760827899,-0.0005093304504662669,0.056977944958135275,0.11347315380287498,train
episode_id,s0_t1118935780200_a102,204,31,1,-0.11061738912479573,-0.31856314489163223,0.0962572472297822,0.2653763134789163,train
episode_id,s0_t1118935780200_a29,108,31,1,-0.060140783773451674,-0.0881633476229946,0.13186916971428872,0.2991698970580172,train
episode_id,s0_t1118935780200_a55,135,31,1,-0.0400843792478576,-0.06876662169409384,0.09820138597007869,0.24217307594153323,train
episode_id,s0_t1118935800200_a101,125,31,1,-0.04644251564949842,-0.11766976165810637,0.11287849202198987,0.26197811762788364,train
episode_id,s0_t1118935800200_a84,248,31,1,-0.010306840795323574,-0.01877208988796759,0.004359765882944638,0.015930283490416218,train
episode_id,s0_t1118935800200_a99,248,31,1,0.000190777412699703,0.0033301442281130035,0.0010933939178183877,0.0015183359575483158,train
episode_id,s0_t1118935820200_a113,85,31,1,0.00619910536038335,-0.08925145700467094,0.12384204281530903,0.48010253422770016,train
