group_type,group_value,targets,origins,episodes,Q_minus_G_ADE,Q_minus_G_FDE,A_minus_Q_ADE,A_minus_Q_FDE,split
stratum_active_tracks,1-2,608,362,32,-0.06085134985024889,-0.1655910227662092,0.10883831473797174,0.2798945120832987,train
stratum_active_tracks,3-5,4802,1176,74,-0.06866408326731192,-0.1827024356589091,0.0976872146260897,0.2413171516401752,train
stratum_active_tracks,6-8,29015,3901,148,-0.05339478883990104,-0.14337675692530216,0.06347128154256729,0.16050563112047092,train
stratum_neighbors,0,2253,1772,106,-0.06011069790328713,-0.15614398748533082,0.10689103198923953,0.2861445004919225,train
stratum_neighbors,1-2,5747,2287,146,-0.08006437361694979,-0.20694105091346499,0.10146271160177107,0.25452485188520935,train
stratum_neighbors,>=3,26425,4248,167,-0.0499847182778629,-0.1364701848127551,0.05879397002056476,0.14744085545215385,train
stratum_history,20,34425,5439,179,-0.05564881887673465,-0.14891626062649244,0.06902204635603283,0.17304832471250006,train
stratum_speed_change,T1,11474,3088,160,-0.0038210022855746416,-0.015267917901751965,0.007394129446975459,0.021050899892525864,train
stratum_speed_change,T2,11476,4621,179,-0.06601507114255006,-0.17851811612047547,0.08396977319452613,0.21639694790750874,train
stratum_speed_change,T3,11475,4041,171,-0.09734100936542177,-0.26195033930256395,0.11596820533116416,0.2917286074610425,train
stratum_heading_change,5-15deg,5365,2765,157,-0.0888016930480761,-0.23110392468968877,0.11477414506805904,0.2863886803928178,train
stratum_heading_change,<5deg,11141,3807,164,-0.1071976620605355,-0.2809251510028973,0.12462225498920475,0.31030874776018297,train
stratum_heading_change,>=15deg,1083,839,127,-0.05632782440814684,-0.2774612398483105,0.06371346299683804,0.24994927051700047,train
stratum_heading_change,unavailable,16836,3694,151,-0.011111387677677826,-0.036034737667639566,0.018197152830514863,0.04970004452618673,train
stratum_active_tracks,3-5,179,43,5,-0.0003592527846666943,-0.01521540525349287,-0.03248777405330184,-0.09029666389402709,V_select
stratum_active_tracks,6-8,2692,357,25,-0.007688025591647123,-0.02065295316373033,0.0028305288720145267,0.008439977534645959,V_select
stratum_neighbors,0,66,64,8,0.0547945118637603,0.14719646588558435,-0.059331993583712446,-0.1321987686440311,V_select
stratum_neighbors,1-2,500,193,18,-0.021629410784376465,-0.07285253582418237,0.008662560941425304,0.02956586722343505,V_select
stratum_neighbors,>=3,2305,370,25,-0.005854325333518242,-0.013175741762363849,0.0005727407318256605,-0.0002912027982518728,V_select
stratum_history,20,2871,400,25,-0.007230456588351168,-0.02031407464368348,0.0006254447340195385,0.0022865187561496012,V_select
stratum_speed_change,T1,1220,256,23,0.0010504688613577663,0.005127351902100791,-0.0012024927182263687,0.00016668760492492306,V_select
stratum_speed_change,T2,781,304,25,-0.008806004558570894,-0.049451546825512664,-0.00349751798526368,0.0004619110668205446,V_select
stratum_speed_change,T3,870,281,22,-0.017455545505221822,-0.031253499706172236,0.006894882118883178,0.007013489340594301,V_select
stratum_heading_change,5-15deg,504,207,21,-0.027372330097758815,-0.09137851836439191,-0.00040563873684986074,0.016323172749125536,V_select
stratum_heading_change,<5deg,859,267,21,-0.013605892477663218,-0.03220143796262573,0.013094059457608786,0.018411373639608097,V_select
stratum_heading_change,>=15deg,62,56,17,-0.006509457956275553,0.056182240912289495,-0.08953134488343877,-0.3692972564413316,V_select
stratum_heading_change,unavailable,1446,264,20,0.003528741211728064,0.00853928524839974,-0.0025220508144370396,-0.0017525195812561531,V_select
