group_type,group_value,targets,origins,episodes,Q_minus_G_ADE,Q_minus_G_FDE,A_minus_Q_ADE,A_minus_Q_FDE,split
source_block,0,1028,248,8,-0.07350871085102942,-0.18808518998748583,0.081843394235142,0.20711259324178102,train
source_block,1,1804,279,9,-0.049421552636912364,-0.12473423535952995,0.09009508387152665,0.21725897773442024,train
source_block,10,1615,279,9,-0.0509665306454555,-0.14531319998244033,0.07536346090496567,0.1924795000556684,train
source_block,11,1660,279,9,-0.06970644235866973,-0.18591084505521258,0.09143935406945083,0.2290422949143049,train
source_block,12,1616,249,9,-0.08350229441834656,-0.2240168117941047,0.0930728101634287,0.22294090359257618,train
source_block,13,1689,279,9,-0.09789516978413651,-0.25736687320403806,0.08871187928812314,0.2107243688548277,train
source_block,14,1766,257,9,-0.03620840391464996,-0.12804266791428606,0.05063833342529574,0.15589770858816573,train
source_block,15,1607,279,9,-0.034797390433288805,-0.10957809714057092,0.06418229368913554,0.17667666037707505,train
source_block,16,2075,279,9,-0.04857818190361857,-0.12719385784673762,0.06340701229994088,0.1553833778383317,train
source_block,17,1781,265,9,-0.025224389707872646,-0.060886483463271135,0.03294744083766422,0.09355191310709005,train
source_block,18,707,156,6,-0.07125475224992535,-0.18768917454309136,0.15071012234505535,0.3340851118900218,train
source_block,19,1907,279,9,-0.02296193129390286,-0.06177667680135632,0.04321895334357936,0.11801244567158926,train
source_block,2,1738,279,9,-0.03276959937753399,-0.09184788581655111,0.0518641080442633,0.10945220644869941,train
source_block,20,620,93,3,-0.05452703865755216,-0.16462202848724736,0.06668997433711503,0.1920161977597501,train
source_block,3,1908,279,9,-0.07913794145376275,-0.20561855310715987,0.07281435470216373,0.1737036494692437,train
source_block,4,1934,279,9,-0.05218771441199625,-0.1499693702091848,0.046014896065672474,0.13920233063093412,train
source_block,5,2105,279,9,-0.055788634410737094,-0.15496582140800053,0.05715592866172959,0.14583773839351427,train
source_block,6,1592,277,9,-0.055948949090666354,-0.1306447537714443,0.08092265919964878,0.19961277221240262,train
source_block,7,1719,279,9,-0.0591819954257852,-0.14485230509482638,0.06805128135311675,0.16050163155211333,train
source_block,8,1914,279,9,-0.09296174809470044,-0.23224702677970316,0.0841378082078767,0.204262846217325,train
source_block,9,1640,267,9,-0.03927829862489744,-0.10465949015727015,0.05989935289826641,0.14726725400368648,train
source_component,0,31264,4946,162,-0.05702133742103651,-0.15196987438330747,0.07001898679118389,0.1741170168328827,train
source_component,1,19,19,1,-0.08159754283902798,-0.17104029496604062,0.1554716145597895,0.40439657301165804,train
source_component,2,248,31,1,-0.10735944678767421,-0.2867319528575475,0.1118639725863242,0.2631512346058393,train
source_component,3,29,9,1,-0.030516486351243016,-0.11155283007326079,0.019408821512179517,-0.11647470453781111,train
source_component,4,338,62,2,-0.07796921282208119,-0.2293673245806596,0.09448913834307307,0.28061392238765803,train
source_component,5,1420,186,6,-0.012700880717711067,-0.038187800507449604,0.030321790509654098,0.09535335796527357,train
source_component,6,245,31,1,-0.04434792398819644,-0.10849392850203955,0.06129293688441003,0.16378759498263526,train
source_component,7,862,155,5,-0.05651736581536254,-0.16215716184851345,0.07623286868600508,0.19607919474032603,train
source_block,21,828,112,7,-0.014767636744527449,-0.0448179119136564,-0.006686710145606628,-0.005483388040839843,V_select
source_block,22,1064,144,9,-0.024706975460503718,-0.05767652139667204,0.0017558893102489965,-0.0010832518060427268,V_select
source_block,23,979,144,9,0.018208338564444006,0.04258551932861156,0.005588927373714924,0.012763910225550592,V_select
source_component,0,2625,368,23,-0.012293152704951864,-0.03583285470777344,0.001751178209029789,0.006036331849411499,V_select
source_component,1,246,32,2,0.046709895125512324,0.14276031914454068,-0.011368650542410806,-0.03711725489599591,V_select
