model,split,snr_db,on_ADE,off_ADE,off_minus_on_ADE,on_FDE,off_FDE,off_minus_on_FDE,on_J,off_J,off_minus_on_J,relative_ADE_percent,relative_FDE_percent,prediction_change_m,improved_ADE_targets,worsened_ADE_targets,improved_FDE_targets,worsened_FDE_targets
A_best,train,5,0.48276928346454484,0.5988054581990048,0.11603617473445993,0.9236322545440169,1.236607640774086,0.31297538623006915,0.9445854107365532,1.2171092785860478,0.27252386784949456,24.035533889343185,33.88528114845668,"{""count"": 34425, ""mean"": 0.28985579780507315, ""median"": 0.1302792727947235, ""p90"": 0.8153869390487671, ""p99"": 1.9096732521057143}",12002,20671,11652,19853
A_best,train,10,0.48268726188615085,0.5987855902833589,0.11609832839720802,0.9235775621154757,1.2366892142852284,0.3131116521697527,0.9444760429438888,1.217130197425973,0.2726541544820842,24.052494765149113,33.9020419089181,"{""count"": 34425, ""mean"": 0.2898940153096797, ""median"": 0.13023193180561066, ""p90"": 0.8150019288063051, ""p99"": 1.9092786026000979}",11962,20711,11622,19883
A_best,train,15,0.48268233960276596,0.5987689068471224,0.1160865672443564,0.9235736372945432,1.2366948441469698,0.3131212068524266,0.9444691582500375,1.2171163289206073,0.27264717067056976,24.050303423135887,33.90322051305661,"{""count"": 34425, ""mean"": 0.28988981421518495, ""median"": 0.13019385933876038, ""p90"": 0.8159943222999574, ""p99"": 1.9104278755188002}",11976,20697,11604,19901
A_best,train,20,0.48267013309794604,0.5987656434626087,0.1160955103646627,0.9235519696033654,1.2367116178112068,0.31315964820784137,0.9444461178996287,1.2171214523682121,0.2726753344685834,24.052764487315805,33.90817826335566,"{""count"": 34425, ""mean"": 0.28989589573139, ""median"": 0.13013768196105957, ""p90"": 0.8159715890884403, ""p99"": 1.9114322662353536}",11962,20711,11601,19904
A_best,V_select,5,0.5424939910493224,0.61568559112239,0.07319160007306758,1.0967789894631619,1.2802575074319438,0.1834785179687819,1.0908834857809033,1.2558143448383619,0.16493085905745852,13.491688623406919,16.728850546142276,"{""count"": 2871, ""mean"": 0.29985408579074135, ""median"": 0.10953889042139053, ""p90"": 0.8908542394638062, ""p99"": 1.9606399416923523}",1177,1645,1172,1596
A_best,V_select,10,0.5425416858506886,0.6156009103812038,0.07305922453051517,1.0968968067054106,1.2801892383850038,0.1832924316795932,1.090990089203394,1.2556955295737056,0.16470544037031165,13.466103423179467,16.710088912567993,"{""count"": 2871, ""mean"": 0.2998291759520029, ""median"": 0.10966341197490692, ""p90"": 0.8894985318183899, ""p99"": 1.9593653559684756}",1187,1635,1179,1589
A_best,V_select,15,0.54246321488075,0.6156068720824388,0.0731436572016888,1.0967849885744971,1.2802965248978975,0.18351153632340034,1.0908557091679985,1.2557551345313875,0.16489942536338908,13.483616067454088,16.73176951135265,"{""count"": 2871, ""mean"": 0.29983116643556906, ""median"": 0.10979349911212921, ""p90"": 0.8899755477905273, ""p99"": 1.9593393325805668}",1184,1638,1177,1591
A_best,V_select,20,0.5424474384716202,0.6156142166953181,0.07316677822369788,1.0966831090918148,1.2802873565718997,0.18360424748008497,1.0907889930175276,1.255757894981268,0.16496890196374037,13.488270574168418,16.741777634574067,"{""count"": 2871, ""mean"": 0.29983681722480865, ""median"": 0.10980967432260513, ""p90"": 0.8899712562561035, ""p99"": 1.9586213588714605}",1184,1638,1179,1589
A_latest,train,5,0.4213595970339647,0.5660906226596439,0.14473102562567924,0.7812859768176745,1.1610408367076535,0.3797548598899789,0.8120025854428019,1.1466110410134707,0.33460845557066876,34.34857699800127,48.60638372607073,"{""count"": 34425, ""mean"": 0.33332797877862724, ""median"": 0.1396215260028839, ""p90"": 0.9360050439834605, ""p99"": 2.1401868247985862}",10911,21762,10312,21193
A_latest,train,10,0.4212751107888544,0.5660820815798363,0.14480697079098193,0.7811497558437004,1.1611273179108583,0.37997756206715794,0.8118499887107046,1.1466457405352655,0.3347957518245609,34.37349301738361,48.64336949792087,"{""count"": 34425, ""mean"": 0.33334961348599307, ""median"": 0.1396486908197403, ""p90"": 0.9360396742820742, ""p99"": 2.1403047275543234}",10910,21763,10310,21195
A_latest,train,15,0.4212401875765936,0.5660366258195532,0.14479643824295957,0.78111874873641,1.1610745996637792,0.3799558509273693,0.8117995619447986,1.1465739256514427,0.33477436370664404,34.37384240947605,48.64252094089552,"{""count"": 34425, ""mean"": 0.33333868948481593, ""median"": 0.13941439986228943, ""p90"": 0.9364568948745741, ""p99"": 2.138252916336063}",10910,21763,10303,21202
A_latest,train,20,0.4212299696219435,0.5660377684783353,0.14480779885639183,0.7810948695379398,1.1610820995083748,0.379987229970435,0.8117774043909134,1.1465788182325227,0.33480141384160933,34.377373240170385,48.648025328244465,"{""count"": 34425, ""mean"": 0.33335252558110606, ""median"": 0.13932791352272034, ""p90"": 0.9372062087059025, ""p99"": 2.13871844291687}",10891,21782,10298,21207
A_latest,V_select,5,0.5598962213361903,0.6264352725194612,0.06653905118327086,1.149973985712542,1.307625027951802,0.15765104223926008,1.1348832141924614,1.2802477864953623,0.1453645723029009,11.88417578966253,13.709096396783012,"{""count"": 2871, ""mean"": 0.32816723661763497, ""median"": 0.10595086961984634, ""p90"": 0.9727752804756165, ""p99"": 1.9714251518249517}",1041,1781,1054,1714
A_latest,V_select,10,0.5599382179015289,0.6263372882724919,0.06639907037096304,1.150008966269648,1.307418197472574,0.15740923120292605,1.1349427010363529,1.2800463870087788,0.14510368597242596,11.858285119348654,13.687652515747217,"{""count"": 2871, ""mean"": 0.32812390760633314, ""median"": 0.1059717908501625, ""p90"": 0.9732121229171753, ""p99"": 1.9719719886779787}",1043,1779,1058,1710
A_latest,V_select,15,0.5599450245736659,0.6261993633738367,0.06625433880017084,1.150105688018406,1.3072121085326114,0.15710642051420542,1.134997868582869,1.2798054176401426,0.14480754905727355,11.832293509638012,13.660172465097062,"{""count"": 2871, ""mean"": 0.32820403595096015, ""median"": 0.10584916919469833, ""p90"": 0.9748959541320801, ""p99"": 1.9733987689018253}",1037,1785,1056,1712
A_latest,V_select,20,0.55989652904507,0.626229169970728,0.06633264092565794,1.1499254611037595,1.3072292885685284,0.1573038274647689,1.1348592595969498,1.2798438142549922,0.14498455465804239,11.847303472088207,13.679480347689696,"{""count"": 2871, ""mean"": 0.32814664292004897, ""median"": 0.10578671842813492, ""p90"": 0.9755342602729797, ""p99"": 1.9733741760253911}",1027,1795,1047,1721
