model,split,episode_id,targets,off_minus_on_ADE,off_minus_on_FDE,prediction_change_mean_m,improved_ADE_targets,worsened_ADE_targets,improved_FDE_targets,worsened_FDE_targets
A_best,train,s0_t1118935680200_a0,62,0.1104786951700149,0.2736573429529517,0.27773581988989343,17,45,17,45
A_best,train,s0_t1118935680200_a1,62,0.11198025024391202,0.27750835687921044,0.27875943219048843,17,45,17,45
A_best,train,s0_t1118935700200_a2,155,0.12518732282573208,0.32010672752418307,0.364086263336691,71,84,60,93
A_best,train,s0_t1118935700200_a10,59,0.13324598069623095,0.39763416679633307,0.37523104769860444,22,25,20,20
A_best,train,s0_t1118935700200_a15,124,0.058075445192170075,0.15305440067805084,0.1694072573956228,45,52,45,52
A_best,train,s0_t1118935720200_a3,248,-0.007822448834232307,-0.017609728825968212,0.022085374544839134,89,135,88,136
A_best,train,s0_t1118935720200_a8,70,0.033726684908937404,0.02096232115695321,0.2529473464603403,28,37,32,33
A_best,train,s0_t1118935720200_a39,248,0.26335060237256647,0.5690029255465192,0.6811222447563083,79,169,81,167
A_best,train,s0_t1118935740200_a21,248,0.06931414333047956,0.18328827677397896,0.0738457185779548,31,217,31,217
A_best,train,s0_t1118935740200_a53,217,0.1642167947807776,0.4635768849301576,0.4259799643768929,84,133,84,133
A_best,train,s0_t1118935740200_a59,214,0.12821996295659652,0.3249095330591303,0.4836097273101272,79,125,78,122
A_best,train,s0_t1118935760200_a58,213,0.059729010807536835,0.1526892461310789,0.287163905637644,89,111,82,110
A_best,train,s0_t1118935760200_a79,217,0.2110499539183425,0.6202274530632493,0.56657920352238,74,143,66,151
A_best,train,s0_t1118935760200_a85,248,0.09838814472198637,0.2959668631522545,0.27504610619758574,78,170,76,169
A_best,train,s0_t1118935780200_a29,108,0.200299232774208,0.6041917753334163,0.3134141221535511,39,50,34,38
A_best,train,s0_t1118935780200_a55,135,0.04835794064860644,0.11577527400577446,0.1491686484151244,40,51,37,45
A_best,train,s0_t1118935780200_a102,204,0.056806630835404236,0.1499321483592074,0.2644338247014721,101,90,88,85
A_best,train,s0_t1118935800200_a84,248,0.08109069868736274,0.19593753466591954,0.11460336041941886,81,146,125,102
A_best,train,s0_t1118935800200_a99,248,-2.7262414448143977e-05,-1.2709499109592199e-05,0.0010335374908971707,152,96,154,94
A_best,train,s0_t1118935800200_a101,125,0.11242788291536586,0.26912866568511723,0.21635008353801094,28,74,25,76
A_best,train,s0_t1118935820200_a113,85,0.18183108427902894,0.6797242946342383,0.32787516579470216,18,49,6,35
A_best,train,s0_t1118935820200_a143,248,0.01277501806141645,0.030233128735319772,0.016091672668270832,112,136,108,140
A_best,train,s0_t1118935820200_a149,217,0.01557101302642434,0.03596094194127541,0.018590919531377252,97,120,75,142
A_best,train,s0_t1118935840200_a124,170,0.08031805991337546,0.2606731311607698,0.3728290199286729,67,102,48,92
A_best,train,s0_t1118935840200_a126,227,0.12608014042977678,0.35021242572211464,0.29649498116041406,67,152,63,152
A_best,train,s0_t1118935840200_a135,170,0.07986278622628122,0.25894608504809985,0.37278405159013345,68,101,46,94
A_best,train,s0_t1118935860200_a163,248,0.011631029827544676,0.05709496507312858,0.17088342584790348,136,112,127,121
A_best,train,s0_t1118935860200_a175,224,0.30314451449057217,0.7359939426968484,0.5727679737294044,50,158,49,155
A_best,train,s0_t1118935860200_a181,224,0.30379997951768506,0.7372675971910894,0.5730590330219911,50,158,49,155
A_best,train,s0_t1118935880200_a169,127,0.16399866692407222,0.4696731968703853,0.4318411960156532,40,77,30,68
A_best,train,s0_t1118935880200_a184,179,0.16120516892733136,0.43319696266974667,0.3370167371693079,90,86,81,78
A_best,train,s0_t1118935880200_a194,221,0.13213722014815935,0.3503000767017982,0.3389653799441307,103,118,104,105
