horizon_steps,horizon_seconds,ADE,FDE,J,ade_scenes,fde_scenes,ade_targets,fde_targets,valid_points,total_scenes,scenes_without_supervision,ADE_point_trainrule_eval,FDE_trainrule_eval,J_trainrule_eval,ADE_point_scoreable_scenes,FDE_scoreable_scenes,fixed_complete_targets,fixed_complete_scenes,fixed_ADE,fixed_FDE,model,family,checkpoint_stage,split,snr_db
1,0.1,0.04932662938389575,0.04932662938389575,0.07398994407584362,5436,5436,34342,34342,34342,5549,113,0.04832214044527975,0.04832214044527975,0.07248321066791961,0.04932662938389575,0.04932662938389575,33073,5399,0.04716753083290608,0.04716753083290608,Q_best,Q,best,train,5
2,0.2,0.07331411735903823,0.0972175380730917,0.12192288639558407,5436,5436,34342,34284,68626,5549,113,0.07175902355883573,0.0952377972545191,0.11937792218609528,0.07325070304046716,0.0972175380730917,33073,5399,0.07023156334214305,0.09329559585138,Q_best,Q,best,train,5
3,0.30000000000000004,0.0971733951276583,0.1448170349356346,0.16958191259547561,5436,5433,34342,34216,102842,5549,113,0.09509698237604423,0.14178968297086011,0.16599182386147432,0.09707379602734904,0.1448170349356346,33073,5399,0.09350746090738804,0.14005925603787805,Q_best,Q,best,train,5
4,0.4,0.120615188261223,0.19129593917332074,0.21626315784788336,5436,5431,34342,34151,136993,5549,113,0.11807843001055031,0.18722801327271668,0.21169243664690865,0.12053296691106397,0.19129593917332074,33073,5399,0.11636367283423449,0.1849323086147738,Q_best,Q,best,train,5
5,0.5,0.14316752141183098,0.23405725951678372,0.2601961511702228,5436,5430,34342,34083,171076,5549,113,0.14019282138062222,0.2290378300912121,0.2547117364262283,0.143107057733825,0.23405725951678372,33073,5399,0.13843235599439885,0.22670708863505634,Q_best,Q,best,train,5
6,0.6000000000000001,0.16439761866829974,0.27185727575991186,0.3003262565482557,5436,5427,34342,33999,205075,5549,113,0.16102368631152766,0.2658802370785802,0.29396380485081774,0.164370941012264,0.27185727575991186,33073,5399,0.15926193390170637,0.26340982343824393,Q_best,Q,best,train,5
7,0.7000000000000001,0.18479441643980501,0.3089790094917413,0.33928392118567563,5436,5427,34342,33941,239016,5549,113,0.1810593578629342,0.3021858144731807,0.33215226509952456,0.1848231009531681,0.3089790094917413,33073,5399,0.17924722924676031,0.2991590013170841,Q_best,Q,best,train,5
8,0.8,0.20438097488992943,0.3439592366466694,0.3763605932132641,5436,5424,34342,33874,272890,5549,113,0.2003073836920879,0.33621101091575684,0.3684128891499663,0.20447124210952827,0.3439592366466694,33073,5399,0.19857243117909187,0.3338488447054128,Q_best,Q,best,train,5
9,0.9,0.223256414261291,0.3772422926074437,0.41187756056501285,5436,5422,34342,33812,306702,5549,113,0.21886755740717975,0.36860834574113527,0.4031717302777474,0.22341723253356152,0.3772422926074437,33073,5399,0.2172878861467292,0.3670115258878273,Q_best,Q,best,train,5
10,1.0,0.2415878852343143,0.41008400470720635,0.44662988758791744,5436,5421,34342,33745,340447,5549,113,0.23688579859552025,0.400624507031495,0.4371980521112677,0.24181002509318278,0.41008400470720635,33073,5399,0.23558786511418206,0.40028767582125796,Q_best,Q,best,train,5
11,1.1,0.2593938217905205,0.44182291044311556,0.48030527701207826,5436,5418,34342,33666,374113,5549,113,0.2543935228879015,0.4313924182340602,0.4700897320049317,0.2596816884666972,0.44182291044311556,33073,5399,0.25341657322199096,0.43170365430008045,Q_best,Q,best,train,5
12,1.2000000000000002,0.2768367044210927,0.4740516902098382,0.5138625495260118,5436,5418,34342,33608,407721,5549,113,0.2715664189540297,0.4628603455680128,0.5029965917380361,0.2772115634245605,0.4740516902098382,33073,5399,0.2709020072586487,0.46324178166188384,Q_best,Q,best,train,5
13,1.3,0.2938815761206264,0.5047828625002436,0.5462730073707482,5436,5415,34342,33540,441261,5549,113,0.2883532982890133,0.4925931159558154,0.534649856266921,0.29434739738884014,0.5047828625002436,33073,5399,0.28810337932532953,0.49451984412549893,Q_best,Q,best,train,5
14,1.4000000000000001,0.31061031556922564,0.534975565796713,0.5780980984675821,5436,5413,34342,33475,474736,5549,113,0.3048276344659411,0.5218638921711313,0.5657595805515068,0.3111641912530367,0.534975565796713,33073,5399,0.30509822887896226,0.5260312730761881,Q_best,Q,best,train,5
15,1.5,0.32706890995698645,0.5650220890917169,0.6095799545028449,5436,5410,34342,33406,508142,5549,113,0.32103449743417223,0.5508685352290843,0.5964687650487143,0.3277079518510341,0.5650220890917169,33073,5399,0.32194046126420806,0.5577317146576485,Q_best,Q,best,train,5
16,1.6,0.34335717312854497,0.5967287887968774,0.6417215675269836,5436,5407,34342,33329,541471,5549,113,0.337098615869723,0.5814583818750615,0.6278278068072537,0.3441060006366985,0.5967287887968774,33073,5399,0.33869858213546145,0.590070395204263,Q_best,Q,best,train,5
17,1.7000000000000002,0.359489907105821,0.6282437446429229,0.6736117794272825,5436,5407,34342,33272,574743,5549,113,0.35303374863399295,0.6121668638104675,0.6591171805392266,0.360372382481609,0.6282437446429229,33073,5399,0.35537894394168074,0.62226473284119,Q_best,Q,best,train,5
18,1.8,0.37561679927382957,0.6612166345773127,0.706225116562486,5436,5404,34342,33207,607950,5549,113,0.3689712261565289,0.6439384922068476,0.6909404722599527,0.37664115782608143,0.6612166345773127,33073,5399,0.37214911080925317,0.6572419475579845,Q_best,Q,best,train,5
19,1.9000000000000001,0.3919050250008864,0.6980467093380378,0.7409283796699053,5436,5402,34342,33140,641090,5549,113,0.3850814412174797,0.679554572687706,0.7248587275613327,0.3930862614635384,0.6980467093380378,33073,5399,0.3892155768033035,0.6964119646962094,Q_best,Q,best,train,5
20,2.0,0.40849042726632245,0.7383455948468801,0.7776632246897626,5436,5399,34342,33073,674163,5549,113,0.40150032050502976,0.7183867123046145,0.760693676657337,0.4098464456369409,0.7383455948468801,33073,5399,0.40667207770548236,0.7383455948468801,Q_best,Q,best,train,5
1,0.1,0.04923513879000471,0.04923513879000471,0.07385270818500707,5436,5436,34342,34342,34342,5549,113,0.0482325129685467,0.0482325129685467,0.07234876945282005,0.04923513879000471,0.04923513879000471,33073,5399,0.04707183212299068,0.04707183212299068,Q_best,Q,best,train,10
2,0.2,0.07322322944274239,0.09712668649964841,0.1217865726925666,5436,5436,34342,34284,68626,5549,113,0.07166980482038185,0.0951487957852025,0.1192442027129831,0.07315962968143834,0.09712668649964841,33073,5399,0.07013603161254411,0.09320023110209752,Q_best,Q,best,train,10
3,0.30000000000000004,0.09707864037142247,0.14471051501262983,0.16943389787773738,5436,5433,34342,34216,102842,5549,113,0.09500325974734591,0.1416853898114287,0.16584595465306026,0.0969781251541616,0.14471051501262983,33073,5399,0.09340624155361384,0.13994666143575332,Q_best,Q,best,train,10
4,0.4,0.12052094178942317,0.1912013200380112,0.21612160180842876,5436,5431,34342,34151,136993,5549,113,0.11798497599142024,0.1871354062221011,0.21155267910247078,0.12043757023112416,0.1912013200380112,33073,5399,0.11626004733484427,0.18482146467853552,Q_best,Q,best,train,10
5,0.5,0.14307256853023448,0.23395876540444682,0.2600519512324579,5436,5430,34342,34083,171076,5549,113,0.1400983694452785,0.22894144821520024,0.25456909355287866,0.1430106423936443,0.23395876540444682,33073,5399,0.1383267627631843,0.22659362447654466,Q_best,Q,best,train,10
6,0.6000000000000001,0.16430376946619085,0.2717677204293727,0.3001876296808772,5436,5427,34342,33999,205075,5549,113,0.16093014763052071,0.2657926507064706,0.293826472983756,0.16427545791055176,0.2717677204293727,33073,5399,0.1591567246470124,0.2633065340661528,Q_best,Q,best,train,10
7,0.7000000000000001,0.18470204767369436,0.30889400640645226,0.3391490508769205,5436,5427,34342,33941,239016,5549,113,0.18096710870018023,0.30210268026091486,0.3320184488306377,0.18472893417536795,0.30889400640645226,33073,5399,0.17914242533545288,0.2990566294660956,Q_best,Q,best,train,10
8,0.8,0.20429304801080803,0.3438983883899121,0.3762422422057641,5436,5424,34342,33874,272890,5549,113,0.20021921526767852,0.3361515333622064,0.3682949819487818,0.20438124089778298,0.3438983883899121,33073,5399,0.198471623832366,0.3337760133107581,Q_best,Q,best,train,10
9,0.9,0.2231718457865404,0.37717936285202097,0.4117615272125509,5436,5422,34342,33812,306702,5549,113,0.218782296556911,0.3685468562594446,0.40305572468663325,0.22333019933669962,0.37717936285202097,33073,5399,0.2171901323096318,0.36693820012775785,Q_best,Q,best,train,10
10,1.0,0.24150693175243737,0.4100288963006634,0.4465213799027691,5436,5421,34342,33745,340447,5549,113,0.23680369599137827,0.4005706698226521,0.43708903090270435,0.24172621579399517,0.4100288963006634,33073,5399,0.23549295053652616,0.40021831457857526,Q_best,Q,best,train,10
