horizon_steps,horizon_seconds,ADE,FDE,J,ade_scenes,fde_scenes,ade_targets,fde_targets,valid_points,total_scenes,scenes_without_supervision,ADE_point_trainrule_eval,FDE_trainrule_eval,J_trainrule_eval,ADE_point_scoreable_scenes,FDE_scoreable_scenes,fixed_complete_targets,fixed_complete_scenes,fixed_ADE,fixed_FDE,model,family,checkpoint_stage,split,snr_db
20,2.0,0.40849042726632245,0.7383455948468801,0.7776632246897626,5436,5399,34342,33073,674163,5549,113,0.40150032050502976,0.7183867123046145,0.760693676657337,0.4098464456369409,0.7383455948468801,33073,5399,0.40667207770548236,0.7383455948468801,Q_best,Q,best,train,5
20,2.0,0.4084424324126614,0.7383357520029361,0.7776103084141295,5436,5399,34342,33073,674163,5549,113,0.4014464712598279,0.7183771355314204,0.7606350390255381,0.4097914770089745,0.7383357520029361,33073,5399,0.40660336532140745,0.7383357520029361,Q_best,Q,best,train,10
20,2.0,0.4084423821897199,0.7383472538017928,0.7776160090906163,5436,5399,34342,33073,674163,5549,113,0.401446297513743,0.7183883264148277,0.7606404607211569,0.40979129965116995,0.7383472538017928,33073,5399,0.4066047326753354,0.7383472538017928,Q_best,Q,best,train,15
20,2.0,0.40843835201306333,0.7383348631148398,0.7776057835704833,5436,5399,34342,33073,674163,5549,113,0.40144237905898666,0.7183762706716562,0.7606305143948149,0.4097872997421481,0.7383348631148398,33073,5399,0.4066000451099719,0.7383348631148398,Q_best,Q,best,train,20
20,2.0,0.5428159567462784,1.0954868509591897,1.0905593822258732,400,400,2867,2808,56693,400,0,0.5447834793345675,1.0954868509591897,1.0925269048141621,0.5447834793345675,1.0954868509591897,2808,400,0.5429327649933554,1.0954868509591897,Q_best,Q,best,V_select,5
20,2.0,0.5428032641959244,1.0954927898354854,1.090549659113667,400,400,2867,2808,56693,400,0,0.5447679268969978,1.0954927898354854,1.0925143218147406,0.5447679268969978,1.0954927898354854,2808,400,0.5429157357292518,1.0954927898354854,Q_best,Q,best,V_select,10
20,2.0,0.5427322544205808,1.0954069416281857,1.0904357252346737,400,400,2867,2808,56693,400,0,0.5446879663316415,1.0954069416281857,1.0923914371457344,0.5446879663316415,1.0954069416281857,2808,400,0.5428251663298508,1.0954069416281857,Q_best,Q,best,V_select,15
20,2.0,0.5427164286244482,1.0952996413802445,1.0903662493145705,400,400,2867,2808,56693,400,0,0.5446684509132423,1.0952996413802445,1.0923182716033646,0.5446684509132423,1.0952996413802445,2808,400,0.5428037703680125,1.0952996413802445,Q_best,Q,best,V_select,20
20,2.0,0.373124485825521,0.658845880094216,0.702547425872629,5436,5399,34342,33073,674163,5549,113,0.3663174377925012,0.6410360257034912,0.6868354506442468,0.3739322042513961,0.658845880094216,33073,5399,0.370477383609774,0.658845880094216,Q_latest,Q,latest,train,5
20,2.0,0.3730644996973148,0.6588350004418093,0.7024819999182195,5436,5399,34342,33073,674163,5549,113,0.36624953363481483,0.6410254401487346,0.6867622537091822,0.3738628885466497,0.6588350004418093,33073,5399,0.37040009310499644,0.6588350004418093,Q_latest,Q,latest,train,10
