model,split,snr_db,horizon_steps,ADE,FDE,aligned_targets
CV_ref,train,5,5,0.19578849267102516,0.35157182418900756,34083
CV_hat,train,5,5,0.19982450481119934,0.35522904730041077,34083
Q_best,train,5,5,0.14316752141183098,0.23405725951678372,34083
G_best,train,5,5,0.14786198397561748,0.2445931905869399,34083
A_best,train,5,5,0.15289147071007353,0.2545742970005743,34083
CV_ref,train,5,10,0.4093171745402357,0.8284204423554621,33745
CV_hat,train,5,10,0.41307579129493904,0.8318271260333119,33745
Q_best,train,5,10,0.2415878852343143,0.41008400470720635,33745
G_best,train,5,10,0.25825072913108416,0.4530781035214857,33745
A_best,train,5,10,0.2673910152678826,0.47026783515059384,33745
CV_ref,train,5,20,0.9186730910703196,2.063471213617748,33073
CV_hat,train,5,20,0.9222132450802304,2.0667220637970143,33073
Q_best,train,5,20,0.40849042726632245,0.7383455948468801,33073
G_best,train,5,20,0.4654404833887718,0.8899468236334921,33073
A_best,train,5,20,0.48276928346454484,0.9236322545440169,33073
CV_ref,train,10,5,0.19578849267102516,0.35157182418900756,34083
CV_hat,train,10,5,0.19974376077588735,0.3551746917630448,34083
Q_best,train,10,5,0.14307256853023448,0.23395876540444682,34083
G_best,train,10,5,0.14776761014966974,0.24451086504812816,34083
A_best,train,10,5,0.15279750607085613,0.25448985223334214,34083
CV_ref,train,10,10,0.4093171745402357,0.8284204423554621,33745
CV_hat,train,10,10,0.41301635974469836,0.8318029754713856,33745
Q_best,train,10,10,0.24150693175243737,0.4100288963006634,33745
G_best,train,10,10,0.25816266996277476,0.4529950819273527,33745
A_best,train,10,10,0.2672997766911746,0.4701955789641669,33745
CV_ref,train,10,20,0.9186730910703196,2.063471213617748,33073
CV_hat,train,10,20,0.9221775870338167,2.0667139343792083,33073
Q_best,train,10,20,0.4084424324126614,0.7383357520029361,33073
G_best,train,10,20,0.4653652706394964,0.8899122292670043,33073
A_best,train,10,20,0.48268726188615085,0.9235775621154757,33073
CV_ref,train,15,5,0.19578849267102516,0.35157182418900756,34083
CV_hat,train,15,5,0.19971784517042843,0.35514848652427455,34083
Q_best,train,15,5,0.14306012544401148,0.2339622069152499,34083
G_best,train,15,5,0.14773992629771687,0.24448653527614536,34083
A_best,train,15,5,0.15277965413306027,0.2544829127575725,34083
CV_ref,train,15,10,0.4093171745402357,0.8284204423554621,33745
CV_hat,train,15,10,0.4129917004036854,0.8317783245190999,33745
Q_best,train,15,10,0.24149734782511925,0.4100183710925452,33745
G_best,train,15,10,0.25813628189228216,0.4529500735406761,33745
A_best,train,15,10,0.2672838490436054,0.4701896633539428,33745
CV_ref,train,15,20,0.9186730910703196,2.063471213617748,33073
CV_hat,train,15,20,0.9221642869424652,2.066737339932817,33073
Q_best,train,15,20,0.4084423821897199,0.7383472538017928,33073
G_best,train,15,20,0.46534353516524574,0.8899314190883651,33073
A_best,train,15,20,0.48268233960276596,0.9235736372945432,33073
CV_ref,train,20,5,0.19578849267102516,0.35157182418900756,34083
CV_hat,train,20,5,0.19970922514781217,0.35513414571433594,34083
Q_best,train,20,5,0.14306061490704905,0.2339572854609866,34083
G_best,train,20,5,0.14773883734609786,0.24448020980115406,34083
A_best,train,20,5,0.15277377666491243,0.2544674774353603,34083
CV_ref,train,20,10,0.4093171745402357,0.8284204423554621,33745
CV_hat,train,20,10,0.4129813852519538,0.8317693501945141,33745
Q_best,train,20,10,0.24149753958097733,0.41001758674470395,33745
G_best,train,20,10,0.2581282034016581,0.4529306171915983,33745
A_best,train,20,10,0.2672750182454808,0.47018071938673744,33745
CV_ref,train,20,20,0.9186730910703196,2.063471213617748,33073
CV_hat,train,20,20,0.9221489784198172,2.0667221347007625,33073
Q_best,train,20,20,0.40843835201306333,0.7383348631148398,33073
G_best,train,20,20,0.46533122236810537,0.8899121608814425,33073
A_best,train,20,20,0.48267013309794604,0.9235519696033654,33073
CV_ref,V_select,5,5,0.17103766502495296,0.3085911907485138,2853
CV_hat,V_select,5,5,0.17648260186347767,0.31376719951354787,2853
Q_best,V_select,5,5,0.14748732756622723,0.25255206790594353,2853
G_best,V_select,5,5,0.14775965308357691,0.2514509173485547,2853
A_best,V_select,5,5,0.1469205163756903,0.25028712413301046,2853
CV_ref,V_select,5,10,0.3585664155333748,0.7174192721895761,2840
CV_hat,V_select,5,10,0.363860086553176,0.72261606730789,2840
Q_best,V_select,5,10,0.2749520251475603,0.5048466082557489,2840
G_best,V_select,5,10,0.2750757448953322,0.5104100613303041,2840
A_best,V_select,5,10,0.27331042037350933,0.5049065403946572,2840
CV_ref,V_select,5,20,0.8066325193070806,1.7595030217681304,2808
CV_hat,V_select,5,20,0.812024939591505,1.7655521111366297,2808
Q_best,V_select,5,20,0.5428159567462784,1.0954868509591897,2808
G_best,V_select,5,20,0.5501724637973416,1.118107217315726,2808
A_best,V_select,5,20,0.5424939910493224,1.0967789894631619,2808
CV_ref,V_select,10,5,0.17103766502495296,0.3085911907485138,2853
CV_hat,V_select,10,5,0.17640862778356797,0.3137471759450852,2853
Q_best,V_select,10,5,0.14741714154697216,0.25253463657344266,2853
G_best,V_select,10,5,0.1477451506817335,0.25149903235735216,2853
A_best,V_select,10,5,0.1468905408037133,0.2503181419703211,2853
CV_ref,V_select,10,10,0.3585664155333748,0.7174192721895761,2840
CV_hat,V_select,10,10,0.363822094308191,0.7226010315560041,2840
Q_best,V_select,10,10,0.274924177895385,0.5048549214124937,2840
G_best,V_select,10,10,0.27512645885543713,0.5105452216719648,2840
A_best,V_select,10,10,0.27334611050095603,0.5050079840157302,2840
CV_ref,V_select,10,20,0.8066325193070806,1.7595030217681304,2808
CV_hat,V_select,10,20,0.8120254768165003,1.7656450381986712,2808
Q_best,V_select,10,20,0.5428032641959244,1.0954927898354854,2808
G_best,V_select,10,20,0.5503089760641663,1.1184477589912167,2808
A_best,V_select,10,20,0.5425416858506886,1.0968968067054106,2808
CV_ref,V_select,15,5,0.17103766502495296,0.3085911907485138,2853
CV_hat,V_select,15,5,0.1763023394084092,0.31361938376860804,2853
Q_best,V_select,15,5,0.1473177794708618,0.2524270712073991,2853
G_best,V_select,15,5,0.14766382985288393,0.2513890857613956,2853
A_best,V_select,15,5,0.14683739215711838,0.25025893228050894,2853
CV_ref,V_select,15,10,0.3585664155333748,0.7174192721895761,2840
CV_hat,V_select,15,10,0.36370116972180727,0.7224661394397863,2840
Q_best,V_select,15,10,0.2748396272771324,0.5048128588757076,2840
G_best,V_select,15,10,0.2750256216076064,0.5104005600238045,2840
A_best,V_select,15,10,0.2732877558483725,0.5049439913613886,2840
CV_ref,V_select,15,20,0.8066325193070806,1.7595030217681304,2808
CV_hat,V_select,15,20,0.8119101573355061,1.7655149747563559,2808
Q_best,V_select,15,20,0.5427322544205808,1.0954069416281857,2808
