split,snr_db,horizon_steps,horizon_seconds,aligned_targets,vector_identity_max_abs_error,position_estimation_error_m,velocity_estimation_error_mps,A_norm_m,B_norm_m,C_norm_m,CV_hat_residual_norm_m,model,final_residual_identity_max_abs_error,model_correction_norm_m,model_residual_norm_m
train,5,5,0.5,34083,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.009905690599788297, ""median"": 0.009962351094673545, ""p90"": 0.014820641612692694, ""p99"": 0.01882911711060004}","{""count"": 34083, ""mean"": 0.006585904221191656, ""median"": 0.006981330884617004, ""p90"": 0.014036991350994454, ""p99"": 0.018608681050616093}","{""count"": 34083, ""mean"": 0.009905690599788297, ""median"": 0.009962351094673545, ""p90"": 0.014820641612692694, ""p99"": 0.01882911711060004}","{""count"": 34083, ""mean"": 0.003292952110595828, ""median"": 0.003490665442308502, ""p90"": 0.007018495675497227, ""p99"": 0.009304340525308047}","{""count"": 34083, ""mean"": 0.3261396021458798, ""median"": 0.10329698399769535, ""p90"": 0.9636252087296769, ""p99"": 2.3943319551098}","{""count"": 34083, ""mean"": 0.33014212507045043, ""median"": 0.10355250798375011, ""p90"": 0.9651192897584933, ""p99"": 2.392301074664079}",,,,
train,5,5,0.5,34083,,,,,,,,Q_best,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.2458739934180492, ""median"": 0.0854429569635839, ""p90"": 0.6662374631129859, ""p99"": 1.9364649856400378}","{""count"": 34083, ""mean"": 0.2217030659042998, ""median"": 0.10419356770941952, ""p90"": 0.6026353792707357, ""p99"": 1.4987216846651705}"
train,5,5,0.5,34083,,,,,,,,G_best,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.22862877619407684, ""median"": 0.07641347269178088, ""p90"": 0.5997721026112184, ""p99"": 1.8584146843202964}","{""count"": 34083, ""mean"": 0.23216221092336656, ""median"": 0.10667476694418444, ""p90"": 0.6327000440506407, ""p99"": 1.5679866942684326}"
train,5,5,0.5,34083,,,,,,,,A_best,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.2187764948314886, ""median"": 0.07334605997322453, ""p90"": 0.5781476569365311, ""p99"": 1.7807551514557904}","{""count"": 34083, ""mean"": 0.23951502587899484, ""median"": 0.11127494876394574, ""p90"": 0.6575558236616995, ""p99"": 1.5834729396569913}"
train,5,10,1.0,33745,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.009901373963162045, ""median"": 0.009958713376525045, ""p90"": 0.014804848234699049, ""p99"": 0.01881698430606725}","{""count"": 33745, ""mean"": 0.0065522143649004005, ""median"": 0.00693680634097624, ""p90"": 0.014014918752923046, ""p99"": 0.01858975153183572}","{""count"": 33745, ""mean"": 0.009901373963162045, ""median"": 0.009958713376525045, ""p90"": 0.014804848234699049, ""p99"": 0.01881698430606725}","{""count"": 33745, ""mean"": 0.0065522143649004005, ""median"": 0.00693680634097624, ""p90"": 0.014014918752923046, ""p99"": 0.01858975153183572}","{""count"": 33745, ""mean"": 0.7732491153316421, ""median"": 0.3271695603919446, ""p90"": 2.1634875209353637, ""p99"": 4.725416586215859}","{""count"": 33745, ""mean"": 0.7769962273554372, ""median"": 0.32762204190599137, ""p90"": 2.1626662454191896, ""p99"": 4.72601583139305}",,,,
train,5,10,1.0,33745,,,,,,,,Q_best,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.6658372012764323, ""median"": 0.2591453567786615, ""p90"": 1.8457158625963228, ""p99"": 4.212585586912425}","{""count"": 33745, ""mean"": 0.3942211504570638, ""median"": 0.20708773362109556, ""p90"": 1.025285813830871, ""p99"": 2.495928381425819}"
train,5,10,1.0,33745,,,,,,,,G_best,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.6272563186222664, ""median"": 0.24311951773233978, ""p90"": 1.7090079369531772, ""p99"": 4.222326172492691}","{""count"": 33745, ""mean"": 0.43616790316347664, ""median"": 0.22644860974104433, ""p90"": 1.1493329072384828, ""p99"": 2.7639647437239057}"
train,5,10,1.0,33745,,,,,,,,A_best,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.6076434966348063, ""median"": 0.23531410951177284, ""p90"": 1.6493397723891154, ""p99"": 4.085728082277705}","{""count"": 33745, ""mean"": 0.449435627576695, ""median"": 0.23308521381648067, ""p90"": 1.1954013546895315, ""p99"": 2.78098235760219}"
train,5,20,2.0,33073,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 0.00989595289097695, ""median"": 0.009955379251129999, ""p90"": 0.014789273887410291, ""p99"": 0.01871423508083838}","{""count"": 33073, ""mean"": 0.006480874417762453, ""median"": 0.006804068261989101, ""p90"": 0.013980063757503613, ""p99"": 0.01852831143740384}","{""count"": 33073, ""mean"": 0.00989595289097695, ""median"": 0.009955379251129999, ""p90"": 0.014789273887410291, ""p99"": 0.01871423508083838}","{""count"": 33073, ""mean"": 0.012961748835524907, ""median"": 0.013608136523978203, ""p90"": 0.027960127515007226, ""p99"": 0.03705662287480768}","{""count"": 33073, ""mean"": 1.9440557591340328, ""median"": 1.0508333116359638, ""p90"": 5.26941382787977, ""p99"": 9.743773955759364}","{""count"": 33073, ""mean"": 1.9477360272143611, ""median"": 1.0501451256094476, ""p90"": 5.269501196580307, ""p99"": 9.733002331849065}",,,,
train,5,20,2.0,33073,,,,,,,,Q_best,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 1.744419788951979, ""median"": 0.7594469015760992, ""p90"": 4.934438961407756, ""p99"": 9.006840866743012}","{""count"": 33073, ""mean"": 0.7275563287600967, ""median"": 0.40510016602717475, ""p90"": 1.831428741218527, ""p99"": 4.896368307916734}"
