record_type,split,snr_db,input_path,input_semantic_hash,window_entries,unique_episode_frame_slot,track_exists_exact,detected_change_count,all_state_exact_fraction,position_difference_m_count,position_difference_m_mean,position_difference_m_median,position_difference_m_p90,position_difference_m_p99,position_difference_m_max,velocity_difference_mps_count,velocity_difference_mps_mean,velocity_difference_mps_median,velocity_difference_mps_p90,velocity_difference_mps_p99,velocity_difference_mps_max,state_x_mean,state_x_std,state_y_mean,state_y_std,state_vx_mean,state_vx_std,state_vy_mean,state_vy_std,model,prediction_change_m,paired_ADE_signed_difference_m,paired_ADE_absolute_difference_m,paired_FDE_signed_difference_m,paired_FDE_absolute_difference_m
input_difference_vs_20dB,train,5,data/f01d/inputs/train_snr_5.npz,f02dc70bc1e24f8d91b87e53b942ece5a54d435dc9ecf891d3087153127da796,701822,192400,True,0,0.8640894699795675,701822,0.0018718660194441837,0.0,0.0,0.029156244546822325,0.035362892186082934,701822,0.0016461976938405183,0.0,0.0001484186773471839,0.025013713395747855,0.038260049619744524,-0.6401608878969343,9.358513443912925,-35.67480814773045,136.70620933199157,0.06985732512356335,1.1613858985699301,-1.1878174746962629,8.089026457468629,,,,,,
input_difference_vs_20dB,train,10,data/f01d/inputs/train_snr_10.npz,1cf1381364c19b0925e130df5b37b49dc4103125ffd730327236e7dce3fc4c58,701822,192400,True,0,0.9352100675099954,701822,0.0008743039108379191,0.0,0.0,0.02500152587890625,0.03536221794582202,701822,0.0007792153428328103,0.0,0.0,0.025000005960464478,0.03721387680232687,-0.6401721768914448,9.358498734719436,-35.67482440099922,136.70620914872117,0.0698566881383922,1.1613811119643247,-1.1878124753206944,8.08901322250508,,,,,,
input_difference_vs_20dB,train,15,data/f01d/inputs/train_snr_15.npz,c54a7248b8f18c997892c3b3f214d98607bbb5e1f33b82c69b5b1442390010f0,701822,192400,True,0,0.9766963703047211,701822,0.00031826807460264825,0.0,0.0,0.024993896484375,0.03536221794582202,701822,0.0002709622919098322,0.0,0.0,0.010715971814663633,0.03614753977716987,-0.6401959367564704,9.35850816904937,-35.67481863762698,136.7062003495093,0.06985749945963603,1.1613801472357954,-1.1878143612800325,8.089017484657553,,,,,,
input_difference_vs_20dB,train,20,data/f01d/inputs/train_snr_20.npz,3b52520590b7c9a2158593631ce91af11170e86cd12ef62c22c51cae2a909208,701822,192400,True,0,1.0,701822,0.0,0.0,0.0,0.0,0.0,701822,0.0,0.0,0.0,0.0,0.0,-0.6401943901222179,9.358517806157083,-35.67480921477879,136.70620277756038,0.06984909770633341,1.1613785931783782,-1.1878065866997212,8.088999818395518,,,,,,
model_output_difference_vs_20dB,train,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_best,"{""count"": 34425, ""mean"": 0.004241897800816822, ""median"": 0.0006966309738345444, ""p90"": 0.019070295989513417, ""p99"": 0.03536396890878677}","{""count"": 34342, ""mean"": 6.711787895472431e-05, ""median"": 0.0, ""p90"": 0.0022563621645483897, ""p99"": 0.02172178214454074}","{""count"": 34342, ""mean"": 0.002073694881562815, ""median"": 0.0002428206794827109, ""p90"": 0.005620907237465002, ""p99"": 0.025381680415173847}","{""count"": 33073, ""mean"": 2.6977599390431646e-05, ""median"": 0.0, ""p90"": 0.005222322466833447, ""p99"": 0.03644610541552228}","{""count"": 33073, ""mean"": 0.004257432271488156, ""median"": 0.0006496875939805413, ""p90"": 0.011998096388658829, ""p99"": 0.04867484132222841}"
model_output_difference_vs_20dB,train,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_best,"{""count"": 34425, ""mean"": 0.0022209856760310536, ""median"": 0.00024351259344257414, ""p90"": 0.003985200356692077, ""p99"": 0.028975896015763412}","{""count"": 34342, ""mean"": 1.1610875062082578e-05, ""median"": 0.0, ""p90"": 0.0008921412259356277, ""p99"": 0.013355021487350854}","{""count"": 34342, ""mean"": 0.001094841488938332, ""median"": 7.947440906039271e-05, ""p90"": 0.002168059593520849, ""p99"": 0.02006824509569538}","{""count"": 33073, ""mean"": 9.191296244728466e-06, ""median"": 0.0, ""p90"": 0.002317042436300109, ""p99"": 0.024698351883198494}","{""count"": 33073, ""mean"": 0.002330563930856453, ""median"": 0.00020962683969455442, ""p90"": 0.00532842671000877, ""p99"": 0.03452622816112001}"
model_output_difference_vs_20dB,train,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_best,"{""count"": 34425, ""mean"": 0.0008807528859943854, ""median"": 2.5399684091098607e-05, ""p90"": 0.0012104956433176997, ""p99"": 0.024999526888132097}","{""count"": 34342, ""mean"": 7.11574122327904e-07, ""median"": 0.0, ""p90"": 0.0002475863884769559, ""p99"": 0.004276347867844447}","{""count"": 34342, ""mean"": 0.0004429873540026078, ""median"": 8.237061115579092e-06, ""p90"": 0.0006859586413950763, ""p99"": 0.009584130801808845}","{""count"": 33073, ""mean"": 1.5776932917675382e-05, ""median"": 0.0, ""p90"": 0.0006772544457444684, ""p99"": 0.010083482908505194}","{""count"": 33073, ""mean"": 0.0009648319704934127, ""median"": 2.0289748801527452e-05, ""p90"": 0.0017969265536283523, ""p99"": 0.019631512877842327}"
model_output_difference_vs_20dB,train,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_best,"{""count"": 34425, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 34342, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 34342, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 33073, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 33073, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}"
model_output_difference_vs_20dB,train,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,G_best,"{""count"": 34425, ""mean"": 0.004626688007885875, ""median"": 0.0007955286419019103, ""p90"": 0.020651707425713543, ""p99"": 0.0361543671786786}","{""count"": 34342, ""mean"": 9.305366833304089e-05, ""median"": 0.0, ""p90"": 0.0027932309798487896, ""p99"": 0.0229604585389252}","{""count"": 34342, ""mean"": 0.002386761847359655, ""median"": 0.00030260637427109716, ""p90"": 0.0067802806829028745, ""p99"": 0.026015327445372074}","{""count"": 33073, ""mean"": -1.1104768725471415e-05, ""median"": 0.0, ""p90"": 0.006333662511275116, ""p99"": 0.04203495329102043}","{""count"": 33073, ""mean"": 0.0050857404223975606, ""median"": 0.0008102560587183172, ""p90"": 0.014463312860195967, ""p99"": 0.053256936569913205}"
model_output_difference_vs_20dB,train,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,G_best,"{""count"": 34425, ""mean"": 0.0024256324510542205, ""median"": 0.0002477295056451112, ""p90"": 0.0049349997192621245, ""p99"": 0.03127436533570297}","{""count"": 34342, ""mean"": 2.4865715818559473e-05, ""median"": 0.0, ""p90"": 0.0011015422109799335, ""p99"": 0.01566295993027778}","{""count"": 34342, ""mean"": 0.0012771013248915187, ""median"": 8.786492715001648e-05, ""p90"": 0.0027498321529430218, ""p99"": 0.021777777059264473}","{""count"": 33073, ""mean"": -1.7598360745789936e-05, ""median"": 0.0, ""p90"": 0.002821431741083324, ""p99"": 0.02630794754262006}","{""count"": 33073, ""mean"": 0.0027687754356968625, ""median"": 0.00024591662949591253, ""p90"": 0.006680646309593571, ""p99"": 0.03824047735684715}"
