sample_index,episode_index,episode_id,origin_ms,source_block,source_keys,source_groups,track_keys,origin,active_tracks_last,mean_neighbor_degree_last,nearest_pair_distance_m,max_closing_speed_mps,mean_speed_last_mps,history_abs_acceleration_mean_mps2,history_max_deceleration_mps2,history_heading_change_mean_deg,history_acceleration_tracks,history_heading_tracks,not_detected_given_exists_fraction,unavailable_slot_fraction,posthoc_future_cv_ADE_m,ade_targets,fde_targets,source_component,bin_active_tracks_last,bin_mean_neighbor_degree_last,bin_nearest_pair_distance_m,bin_max_closing_speed_mps,bin_mean_speed_last_mps,bin_history_abs_acceleration_mean_mps2,bin_history_max_deceleration_mps2,bin_history_heading_change_mean_deg,bin_unavailable_slot_fraction,bin_posthoc_future_cv_ADE_m,Q_ADE,Q_ADE_snr_range,Q_FDE,Q_FDE_snr_range,G_ADE,G_ADE_snr_range,G_FDE,G_FDE_snr_range,delta_ADE,delta_FDE,case_rank_score
0,179,s1_t1118936940200_a1485,1118936943100,21,"[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[0, 1, 2, 3, 4, 5, 6, 7]",0,8,7.0,3.2071330531845392,0.16429985708673076,0.04014713848333873,0.10511698637415418,0.6754250084063679,,8,0,0.0,0.0,0.077321593822426,8,8,0,bin_2,bin_2,bin_0,bin_0,bin_0,bin_0,bin_1,unavailable,bin_0,bin_0,0.07690396159887314,1.0579824447631836e-06,0.4249955415725708,3.3974647521972656e-06,0.07738218083977699,4.872679710388184e-06,0.42701803892850876,4.231929779052734e-06,-0.00047821924090385437,-0.0020224973559379578,-0.0014894679188728333
1,179,s1_t1118936940200_a1485,1118936944100,21,"[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[0, 1, 2, 3, 4, 5, 6, 7]",1,8,7.0,3.2071303164296903,0.16435328398629778,0.09117128994651987,0.021480030356982854,0.010786893419069868,,8,0,0.0,0.0,0.7076167738584794,8,8,0,bin_2,bin_2,bin_0,bin_0,bin_0,bin_0,bin_0,unavailable,bin_0,bin_1,0.7058502286672592,0.003230273723602295,2.657425820827484,0.004760265350341797,0.7104514390230179,0.0037755370140075684,2.665710747241974,0.005481243133544922,-0.004601210355758667,-0.008284926414489746,-0.00874367356300354
2,179,s1_t1118936940200_a1485,1118936945100,21,"[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,7.0,3.277967380822654,1.6860942954061893,0.8685633615050274,0.2744191456785714,0.000786893270058255,,8,0,0.0,0.0,1.833261057226808,8,8,0,bin_2,bin_2,bin_0,bin_1,bin_0,bin_1,bin_0,unavailable,bin_0,bin_2,1.7513582408428192,0.0031365156173706055,3.512087404727936,0.0060977935791015625,1.5505906343460083,0.005452394485473633,2.965488851070404,0.017273902893066406,0.2007676064968109,0.5465985536575317,0.4740668833255768
3,179,s1_t1118936940200_a1485,1118936946100,21,"[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[0, 1, 2, 3, 4, 5, 6, 7]",3,8,7.0,4.326268559651598,6.833479354605388,3.740283168670557,1.5752952328103733,0.0,,8,0,0.0,0.0,2.979094434480707,8,8,0,bin_2,bin_2,bin_0,bin_2,bin_1,bin_2,bin_0,unavailable,bin_0,bin_2,1.6113828718662262,0.003117799758911133,3.4339648485183716,0.007933616638183594,1.5275395512580872,0.0019176006317138672,3.256302773952484,0.004086017608642578,0.08384332060813904,0.17766207456588745,0.17267435789108276
4,179,s1_t1118936940200_a1485,1118936947100,21,"[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[0, 1, 2, 3, 4, 5, 6, 7]",4,8,7.0,3.5152111285379193,1.94951020423199,4.848436615411371,1.9532079072784674,0.5875155504287086,11.271009111466507,8,3,0.0,0.0,2.26295281743021,8,8,0,bin_2,bin_2,bin_0,bin_1,bin_1,bin_2,bin_1,bin_1,bin_0,bin_2,1.2804746627807617,0.0008668899536132812,2.500325620174408,0.0020051002502441406,1.271802842617035,0.0014986991882324219,2.262993633747101,0.002805471420288086,0.008671820163726807,0.23733198642730713,0.12733781337738037
5,179,s1_t1118936940200_a1485,1118936948100,21,"[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[0, 1, 2, 3, 4, 5, 6, 7]",5,8,7.0,5.164465780819877,6.268366999347676,7.940656871489461,2.6234209869316354,1.977540695914744,6.025124529084718,8,5,0.0,0.0,2.5226085363891046,8,8,0,bin_2,bin_2,bin_1,bin_2,bin_2,bin_2,bin_2,bin_1,bin_0,bin_2,1.0760152637958527,0.0010955333709716797,2.1166886687278748,0.0022194385528564453,1.1446994245052338,0.0019475221633911133,2.2282403111457825,0.002803325653076172,-0.0686841607093811,-0.11155164241790771,-0.12445998191833496
6,179,s1_t1118936940200_a1485,1118936949100,21,"[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[0, 1, 2, 3, 4, 5, 6, 7]",6,8,7.0,4.730004061529378,0.6995410010868253,7.946440866323649,1.8238472518803706,0.0,6.755134439248262,8,8,0.0,0.0,1.2585328852991924,8,8,0,bin_2,bin_2,bin_0,bin_1,bin_2,bin_2,bin_0,bin_1,bin_0,bin_2,0.7152803093194962,0.0033056139945983887,1.3561570346355438,0.007164120674133301,0.988725334405899,0.004767894744873047,2.086708664894104,0.012948036193847656,-0.2734450250864029,-0.7305516302585602,-0.638720840215683
7,179,s1_t1118936940200_a1485,1118936950100,21,"[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[0, 1, 2, 3, 4, 5, 6, 7]",7,8,7.0,4.64116517697092,1.9294301833385832,8.898360029498857,0.9888764779116129,1.8199159701137273,6.90024015634044,8,8,0.0,0.0,1.4116972009576494,8,8,0,bin_2,bin_2,bin_0,bin_1,bin_2,bin_2,bin_2,bin_1,bin_0,bin_2,0.8292741775512695,0.0015124082565307617,1.7542583644390106,0.00293576717376709,1.042306900024414,0.0007839202880859375,2.1725956201553345,0.004231929779052734,-0.21303272247314453,-0.41833725571632385,-0.42220135033130646
8,179,s1_t1118936940200_a1485,1118936951100,21,"[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[0, 1, 2, 3, 4, 5, 6, 7]",8,8,6.5,3.9750031410961744,0.796372470114705,10.069307629503525,1.1290070250665336,0.44429716019927906,7.821705586907572,8,8,0.0,0.0,1.5182222035809463,8,8,0,bin_2,bin_2,bin_0,bin_1,bin_2,bin_2,bin_0,bin_1,bin_0,bin_2,1.3536282181739807,0.00319671630859375,2.562294840812683,0.003487110137939453,1.1083155572414398,0.003145933151245117,2.022212028503418,0.004053354263305664,0.2453126609325409,0.5400828123092651,0.5153540670871735
9,179,s1_t1118936940200_a1485,1118936952100,21,"[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[1485, 1494, 1498, 1492, 1495, 1501, 1503, 1518]","[0, 1, 2, 3, 4, 5, 6, 7]",9,8,5.5,3.5311625057253986,3.503097183153492,11.005073640585987,0.7482988616499684,0.07245569660610111,6.196024655926937,8,8,0.0,0.0,2.093062979926897,8,8,0,bin_2,bin_1,bin_0,bin_2,bin_2,bin_2,bin_0,bin_1,bin_0,bin_2,0.6660237461328506,0.0028942227363586426,1.571773499250412,0.005325794219970703,0.8207411170005798,0.001719653606414795,1.5750966668128967,0.0017740726470947266,-0.1547173708677292,-0.003323167562484741,-0.15637895464897156
