origin,slot,all_ADE_rank,moving_ADE_rank,passes_motion,true_displacement_2s_m,average_displacement_speed_mps,valid_future_frames,qgnn_ADE,qgnn_FDE,gnn_ADE,gnn_FDE
227,2,1,,False,0.0021552614690543872,0.0010776307345271936,20,0.0021594852209091187,0.005233846604824066,0.003743155300617218,0.008645372465252876
228,2,2,,False,0.0022189774942504466,0.0011094887471252233,20,0.0021639322862029076,0.005449943710118532,0.0037608779966831207,0.009723675437271595
228,3,3,,False,0.011473604824978894,0.005736802412489447,20,0.0023364387452602386,0.0019627518486231565,0.0035792432725429537,0.007887893356382847
17,6,4,,False,0.0,0.0,20,0.002531725727021694,0.006158818956464529,0.0034880787134170532,0.009142672643065453
19,6,5,,False,0.0,0.0,20,0.002531934157013893,0.006157983560115099,0.0034865602850914002,0.009143253788352013
21,6,6,,False,0.0,0.0,20,0.002532561868429184,0.006170362234115601,0.00348193496465683,0.00913203600794077
20,6,7,,False,0.0,0.0,20,0.0025353005155920984,0.006172996014356613,0.003486120328307152,0.009142963215708733
18,6,8,,False,0.0,0.0,20,0.0025357069447636605,0.00616021454334259,0.003487959876656532,0.009142382070422173
16,6,9,,False,0.0,0.0,20,0.00253575686365366,0.006161753088235855,0.003491021692752838,0.009156806394457817
229,2,10,,False,0.002513445189380946,0.001256722594690473,20,0.0026745306327939033,0.005902718752622604,0.004010859876871109,0.010849133133888245
226,2,11,,False,0.002155261469061547,0.0010776307345307734,20,0.0027741314843297005,0.005208257585763931,0.003923958167433739,0.007817529141902924
231,3,12,,False,0.020045090371462234,0.010022545185731117,20,0.0030938263982534407,0.007566219661384821,0.004679322987794876,0.012733761221170425
383,7,13,,False,0.0,0.0,20,0.0032835759222507475,0.0073081497102975845,0.004185494408011437,0.005493883974850178
358,0,14,,False,0.0,0.0,20,0.003378375247120857,0.005182111635804176,0.00818125382065773,0.012229192070662975
146,4,15,,False,0.49765813388327196,0.24882906694163598,20,0.00344453863799572,0.006231815554201603,0.006927552819252014,0.012285948731005192
230,2,16,,False,0.0022189774942495927,0.0011094887471247963,20,0.003578092157840729,0.006466695107519627,0.004666060209274292,0.011747883632779121
382,7,17,,False,0.0,0.0,20,0.0035809114575386046,0.007895420305430889,0.004038429260253907,0.005613494664430618
308,5,18,,False,0.0,0.0,20,0.00361371748149395,0.0038886796683073044,0.0063475146889686584,0.006181251723319292
225,2,19,,False,0.0022189774942565467,0.0011094887471282734,20,0.0036589384078979494,0.005791096948087215,0.004282569140195846,0.007094979751855135
209,2,20,,False,0.0,0.0,20,0.0037232629954814913,0.0007041869685053825,0.008071565628051757,0.011888105422258377
143,1,21,,False,0.0,0.0,20,0.0038288731127977373,0.0030411335173994303,0.004031295329332352,0.0073928795754909515
381,5,22,,False,0.01729051713278689,0.008645258566393445,20,0.003949912637472153,0.004206474870443344,0.008265555649995805,0.016856681555509567
309,5,23,,False,0.0,0.0,20,0.0040951456874608995,0.005857458803802729,0.005500892922282219,0.0077881948091089725
310,5,24,,False,0.0,0.0,20,0.004112361371517182,0.005912635941058397,0.006915942579507828,0.01057825144380331
311,5,25,,False,0.0,0.0,20,0.004112487658858299,0.005913157947361469,0.0069029882550239565,0.010562132112681866
314,5,26,,False,0.0,0.0,20,0.0041141841560602185,0.005921443924307823,0.006878653168678283,0.010520937852561474
312,5,27,,False,0.0,0.0,20,0.004114315658807754,0.005921094678342342,0.006870894879102707,0.010520556010305882
313,5,28,,False,0.0,0.0,20,0.0041150771081447605,0.005921007599681616,0.006865748763084411,0.01051961537450552
317,5,29,,False,0.0,0.0,20,0.0041156217455863954,0.005929643288254738,0.0068543307483196255,0.010479654185473919
315,5,30,,False,0.0,0.0,20,0.004115745425224304,0.00592946819961071,0.006844521313905716,0.010478808544576168
318,5,31,,False,0.0,0.0,20,0.004116929322481156,0.005937756039202213,0.0068354934453964235,0.010455676354467869
316,5,32,,False,0.0,0.0,20,0.004117200151085854,0.005929381120949984,0.00683940201997757,0.010470815934240818
319,5,33,,False,0.0,0.0,20,0.004118134826421737,0.005937756039202213,0.006813501566648483,0.010429379530251026
366,6,34,,False,0.06188340821122593,0.030941704105612967,20,0.004190650954842568,0.007710839621722698,0.0036299269646406173,0.007776221260428429
20,3,35,,False,0.06464347406507889,0.032321737032539447,20,0.0042180180549621586,0.0035021668300032616,0.006313351541757583,0.008428352884948254
166,5,36,,False,0.0347471999999982,0.0173735999999991,20,0.004314666613936424,0.003855458227917552,0.0042305152863264086,0.0038192044012248516
389,2,37,,False,0.0,0.0,20,0.004409411549568176,0.002274033147841692,0.007671938836574554,0.009794600307941437
164,2,38,,False,0.03870959999997581,0.019354799999987904,20,0.004412510618567467,0.004368376452475786,0.005748682841658592,0.009101489558815956
158,3,39,,False,0.0,0.0,20,0.004442871361970901,0.0047492217272520065,0.007792872935533523,0.01365732867270708
381,7,40,,False,0.0,0.0,20,0.0044495765119791034,0.009919175878167152,0.0038264870643615724,0.005936111323535442
387,2,41,,False,0.0,0.0,20,0.004457863047719002,0.003028975334018469,0.007865019887685776,0.010015427134931087
399,2,42,,False,0.0,0.0,20,0.004486921429634094,0.002084556967020035,0.004423872753977776,0.002825808012858033
142,1,43,,False,0.0,0.0,20,0.004518869519233704,0.004938287194818258,0.004086190834641457,0.007603176869452
307,5,44,,False,0.0,0.0,20,0.0045306958258152005,0.004491701256483793,0.009039133787155151,0.008340954780578613
395,2,45,,False,0.0,0.0,20,0.004548255726695061,0.002134104259312153,0.004602085053920746,0.0054007647559046745
397,2,46,,False,0.0,0.0,20,0.004548333585262299,0.0021332185715436935,0.004598554968833923,0.005388047080487013
396,2,47,,False,0.0,0.0,20,0.004548564553260803,0.0021337631624192,0.004600854590535164,0.005394631996750832
394,2,48,,False,0.0,0.0,20,0.004549476131796837,0.0021347198635339737,0.004605522379279137,0.005413722712546587
380,7,49,,False,0.0,0.0,20,0.004549679160118103,0.009630055166780949,0.0025916988030076026,0.0021172158885747194
393,2,50,,False,0.0,0.0,20,0.004550314322113991,0.0021353375632315874,0.0046088390052318575,0.005427032709121704
392,2,51,,False,0.0,0.0,20,0.004550816863775254,0.002135681454092264,0.004609164223074913,0.005433069542050362
231,2,52,,False,0.0021552614690543872,0.0010776307345271936,20,0.004560163989663124,0.007007627282291651,0.005643688514828682,0.012730523943901062
398,2,53,,False,0.0,0.0,20,0.004572879523038864,0.002513428218662739,0.0047949966043233875,0.006676057353615761
388,2,54,,False,0.0,0.0,20,0.004578331112861633,0.0008459151722490788,0.0070600248873233795,0.006345077883452177
224,2,55,,False,0.0025134451893740525,0.0012567225946870262,20,0.004591642320156098,0.0061111776158213615,0.004736482724547386,0.006382795516401529
391,2,56,,False,0.0,0.0,20,0.004613654688000679,0.0023985295556485653,0.004991932958364487,0.006102968938648701
163,2,57,,False,0.039014399999956595,0.019507199999978297,20,0.00466780923306942,0.008586439304053783,0.004993785172700882,0.003289357991889119
329,0,58,,False,0.0,0.0,20,0.00469716340303421,0.003183176275342703,0.004755366221070289,0.00830764789134264
390,2,59,,False,0.0,0.0,20,0.004733173921704292,0.0031780332792550325,0.006624289602041244,0.00938017200678587
328,0,60,,False,0.0,0.0,20,0.004763324186205864,0.003944749478250742,0.00938396155834198,0.02201981656253338
391,7,61,,False,0.0,0.0,20,0.004856396466493607,0.003354392945766449,0.005713997781276703,0.004811964929103851
390,7,62,,False,0.0,0.0,20,0.004863543435931206,0.005295773968100548,0.007734949141740799,0.009421291761100292
387,7,63,,False,0.0,0.0,20,0.004876187816262245,0.004952867981046438,0.014803440868854522,0.017842523753643036
361,7,64,,False,0.48500193201817754,0.24250096600908877,20,0.004897467419505119,0.008518903516232967,0.009129735827445983,0.019225649535655975
304,2,65,,False,0.0,0.0,20,0.004929611831903458,0.00311337155289948,0.008477821946144104,0.008126465603709221
399,7,66,,False,0.0,0.0,20,0.004938894510269165,0.002482476644217968,0.008492846041917801,0.009884716011583805
330,0,67,,False,0.0,0.0,20,0.004939288645982742,0.0025219586677849293,0.0035426467657089233,0.003797299927100539
331,0,68,,False,0.0,0.0,20,0.004939288645982742,0.0025219586677849293,0.0035426467657089233,0.003797299927100539
332,0,69,,False,0.0,0.0,20,0.004939288645982742,0.0025219586677849293,0.0035426467657089233,0.003797299927100539
333,0,70,,False,0.0,0.0,20,0.004939288645982742,0.0025219586677849293,0.0035426467657089233,0.003797299927100539
334,0,71,,False,0.0,0.0,20,0.004939288645982742,0.0025219586677849293,0.0035426467657089233,0.003797299927100539
335,0,72,,False,0.0,0.0,20,0.004939288645982742,0.0025219586677849293,0.0035426467657089233,0.003797299927100539
393,7,73,,False,0.0,0.0,20,0.004950927197933197,0.002497222274541855,0.005214270576834679,0.004406204912811518
392,7,74,,False,0.0,0.0,20,0.004950941354036331,0.002497222274541855,0.005214285850524902,0.004406204912811518
395,7,75,,False,0.0,0.0,20,0.004951293766498566,0.0024902166333049536,0.005217759311199189,0.004414839670062065
397,7,76,,False,0.0,0.0,20,0.004951439425349235,0.002490539336577058,0.00521908737719059,0.004420533776283264
396,7,77,,False,0.0,0.0,20,0.004951677471399307,0.0024903242010623217,0.005217952281236648,0.004418430849909782
