path,location,category,tracked,size,sha256_if_reasonable,current_role,recommended_action,reason
code/00_remote_shared_dependencies/MultiTargetTimeLLM.py,github,source,True,9776,281da4f54b79d5e8b23434ad5e9797b65b9570d111312f9d83801d82ad993498,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/MultiTargetTimeLLM.py,windows,source,False,9776,281da4f54b79d5e8b23434ad5e9797b65b9570d111312f9d83801d82ad993498,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/MultiTargetTimeLLM.py,server,source,False,9776,281da4f54b79d5e8b23434ad5e9797b65b9570d111312f9d83801d82ad993498,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/TimeLLM_V7.py,github,source,True,26319,200f280963031c769dcc9544c0bf59cd0fb12b705fc74e1f730f19386c7d1b87,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/TimeLLM_V7.py,windows,source,False,26319,200f280963031c769dcc9544c0bf59cd0fb12b705fc74e1f730f19386c7d1b87,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/TimeLLM_V7.py,server,source,False,26319,200f280963031c769dcc9544c0bf59cd0fb12b705fc74e1f730f19386c7d1b87,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/audit_second_point_pdf_fonts.py,github,source,True,836,8c8548edfa73b47186e656425af2eeb7e6914c7bc1a8b9ce1a1bb9c0b16a17c8,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/audit_second_point_pdf_fonts.py,windows,source,False,836,8c8548edfa73b47186e656425af2eeb7e6914c7bc1a8b9ce1a1bb9c0b16a17c8,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/audit_second_point_pdf_fonts.py,server,source,False,836,8c8548edfa73b47186e656425af2eeb7e6914c7bc1a8b9ce1a1bb9c0b16a17c8,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/calibrate_second_point_snr.py,github,source,True,2935,abb8478e83e60baf0eafdafb56e83e502c60ca457659c9f90cd9c9ccfeb4dc46,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/calibrate_second_point_snr.py,windows,source,False,2935,abb8478e83e60baf0eafdafb56e83e502c60ca457659c9f90cd9c9ccfeb4dc46,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/calibrate_second_point_snr.py,server,source,False,2935,abb8478e83e60baf0eafdafb56e83e502c60ca457659c9f90cd9c9ccfeb4dc46,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/dataset_feature_config.py,github,source,True,3903,f33e4d9148ddc4ff6f4a29fa2eaea6f656b09334e628c201a5126156ab9f08be,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/dataset_feature_config.py,windows,source,False,3903,f33e4d9148ddc4ff6f4a29fa2eaea6f656b09334e628c201a5126156ab9f08be,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/dataset_feature_config.py,server,source,False,3903,f33e4d9148ddc4ff6f4a29fa2eaea6f656b09334e628c201a5126156ab9f08be,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/diagnose_trajectory_figure.py,github,source,True,3995,d3b79f6b41551c9b07b9bf0a1df73a416490b94987163f0c3121f77a758335ec,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/diagnose_trajectory_figure.py,windows,source,False,3995,d3b79f6b41551c9b07b9bf0a1df73a416490b94987163f0c3121f77a758335ec,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/diagnose_trajectory_figure.py,server,source,False,3995,d3b79f6b41551c9b07b9bf0a1df73a416490b94987163f0c3121f77a758335ec,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/evaluate_association_downstream_forecasting.py,github,source,True,18337,a6a658f07d3126972e8b6e91f1202b14b8ecca9068d7753ba0aaae784941ea14,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/evaluate_association_downstream_forecasting.py,windows,source,False,18337,a6a658f07d3126972e8b6e91f1202b14b8ecca9068d7753ba0aaae784941ea14,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/evaluate_association_downstream_forecasting.py,server,source,False,18337,a6a658f07d3126972e8b6e91f1202b14b8ecca9068d7753ba0aaae784941ea14,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/evaluate_localization_baseline.py,github,source,True,13099,a6853e2fae3903c3fe7e33d39fb1148b2558f7b3fe95cee8764f441b309caac1,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/evaluate_localization_baseline.py,windows,source,False,13099,a6853e2fae3903c3fe7e33d39fb1148b2558f7b3fe95cee8764f441b309caac1,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/evaluate_localization_baseline.py,server,source,False,13099,a6853e2fae3903c3fe7e33d39fb1148b2558f7b3fe95cee8764f441b309caac1,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/evaluate_multitarget.py,github,source,True,3600,b36b8959cf6ee29a8db010ef4c096d2ba519130db4cf86c8d2d9caf29ee2db21,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/evaluate_multitarget.py,windows,source,False,3600,b36b8959cf6ee29a8db010ef4c096d2ba519130db4cf86c8d2d9caf29ee2db21,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/evaluate_multitarget.py,server,source,False,3600,b36b8959cf6ee29a8db010ef4c096d2ba519130db4cf86c8d2d9caf29ee2db21,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/evaluate_multitarget_ablation_snr.py,github,source,True,5204,2d4e27bbf1dd3932fcbd6f7c0bcfd839cc73f168a2172be835b5ab62b5a73ab5,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/evaluate_multitarget_ablation_snr.py,windows,source,False,5204,2d4e27bbf1dd3932fcbd6f7c0bcfd839cc73f168a2172be835b5ab62b5a73ab5,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/evaluate_multitarget_ablation_snr.py,server,source,False,5204,2d4e27bbf1dd3932fcbd6f7c0bcfd839cc73f168a2172be835b5ab62b5a73ab5,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/export_representative_scene_baselines.py,github,source,True,5664,b3fe093f789daae232e6f34f130ef1cd6ed3c8f9dd7ba4e468fa38d619a04a5b,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/export_representative_scene_baselines.py,windows,source,False,5664,b3fe093f789daae232e6f34f130ef1cd6ed3c8f9dd7ba4e468fa38d619a04a5b,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/export_representative_scene_baselines.py,server,source,False,5664,b3fe093f789daae232e6f34f130ef1cd6ed3c8f9dd7ba4e468fa38d619a04a5b,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/gen_lankershim_data_v2.py,github,source,True,32867,1625b9372ba2e506e8add15cef95185e2b8b076b7d695b1dfe774724b86de8c2,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/gen_lankershim_data_v2.py,windows,source,False,32867,1625b9372ba2e506e8add15cef95185e2b8b076b7d695b1dfe774724b86de8c2,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/gen_lankershim_data_v2.py,server,source,False,32867,1625b9372ba2e506e8add15cef95185e2b8b076b7d695b1dfe774724b86de8c2,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/measurement_track_association.py,github,source,True,5649,95e32d360ddeb1b437207f5ee08267d8428151fc3574ac54fbe0e2ea1124b14b,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/measurement_track_association.py,windows,source,False,5649,95e32d360ddeb1b437207f5ee08267d8428151fc3574ac54fbe0e2ea1124b14b,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/measurement_track_association.py,server,source,False,5649,95e32d360ddeb1b437207f5ee08267d8428151fc3574ac54fbe0e2ea1124b14b,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/measurement_track_dataset.py,github,source,True,13638,31577a84a1049810c9effd80d6751090aa5eaead0ee693f78e637cec9e070743,source at the github side,KEEP,tracked at the Stage-2 development baseline
code/00_remote_shared_dependencies/measurement_track_dataset.py,windows,source,False,13638,31577a84a1049810c9effd80d6751090aa5eaead0ee693f78e637cec9e070743,source at the windows side,KEEP,working copy matches the Stage-2 baseline
code/00_remote_shared_dependencies/measurement_track_dataset.py,server,source,False,13638,31577a84a1049810c9effd80d6751090aa5eaead0ee693f78e637cec9e070743,source at the server side,KEEP_SERVER_ONLY,server mirror of a tracked file
code/00_remote_shared_dependencies/motion_tokenizer_v7.py,github,source,True,8135,74971d78e5b77e86f73a377bedab756a1de76694f43d1692a7c1b5ff29c24cf8,source at the github side,KEEP,tracked at the Stage-2 development baseline
