split,episode_index,snr_db,outputs,expected_outputs,detected_true,exists_true,detected_equals_exists,detected_without_exists,exists_without_detected,zero_state_on_absent
train,0,5,396,396,396,396,True,0,0,True
train,0,10,396,396,396,396,True,0,0,True
train,0,15,396,396,396,396,True,0,0,True
train,0,20,396,396,396,396,True,0,0,True
train,1,5,396,396,396,396,True,0,0,True
train,1,10,396,396,396,396,True,0,0,True
train,1,15,396,396,396,396,True,0,0,True
train,1,20,396,396,396,396,True,0,0,True
train,2,5,989,989,989,989,True,0,0,True
train,2,10,989,989,989,989,True,0,0,True
train,2,15,989,989,989,989,True,0,0,True
train,2,20,989,989,989,989,True,0,0,True
train,3,5,416,416,416,416,True,0,0,True
train,3,10,416,416,416,416,True,0,0,True
train,3,15,416,416,416,416,True,0,0,True
train,3,20,416,416,416,416,True,0,0,True
train,4,5,796,796,796,796,True,0,0,True
train,4,10,796,796,796,796,True,0,0,True
train,4,15,796,796,796,796,True,0,0,True
train,4,20,796,796,796,796,True,0,0,True
train,5,5,1592,1592,1592,1592,True,0,0,True
train,5,10,1592,1592,1592,1592,True,0,0,True
train,5,15,1592,1592,1592,1592,True,0,0,True
train,5,20,1592,1592,1592,1592,True,0,0,True
train,6,5,465,465,465,465,True,0,0,True
train,6,10,465,465,465,465,True,0,0,True
train,6,15,465,465,465,465,True,0,0,True
train,6,20,465,465,465,465,True,0,0,True
train,7,5,1592,1592,1592,1592,True,0,0,True
train,7,10,1592,1592,1592,1592,True,0,0,True
train,7,15,1592,1592,1592,1592,True,0,0,True
train,7,20,1592,1592,1592,1592,True,0,0,True
train,8,5,1592,1592,1592,1592,True,0,0,True
train,8,10,1592,1592,1592,1592,True,0,0,True
train,8,15,1592,1592,1592,1592,True,0,0,True
train,8,20,1592,1592,1592,1592,True,0,0,True
train,9,5,1407,1407,1407,1407,True,0,0,True
train,9,10,1407,1407,1407,1407,True,0,0,True
train,9,15,1407,1407,1407,1407,True,0,0,True
train,9,20,1407,1407,1407,1407,True,0,0,True
train,10,5,1386,1386,1386,1386,True,0,0,True
train,10,10,1386,1386,1386,1386,True,0,0,True
train,10,15,1386,1386,1386,1386,True,0,0,True
train,10,20,1386,1386,1386,1386,True,0,0,True
train,11,5,1365,1365,1365,1365,True,0,0,True
train,11,10,1365,1365,1365,1365,True,0,0,True
train,11,15,1365,1365,1365,1365,True,0,0,True
train,11,20,1365,1365,1365,1365,True,0,0,True
train,12,5,1408,1408,1408,1408,True,0,0,True
train,12,10,1408,1408,1408,1408,True,0,0,True
train,12,15,1408,1408,1408,1408,True,0,0,True
train,12,20,1408,1408,1408,1408,True,0,0,True
train,13,5,1577,1577,1577,1577,True,0,0,True
train,13,10,1577,1577,1577,1577,True,0,0,True
train,13,15,1577,1577,1577,1577,True,0,0,True
train,13,20,1577,1577,1577,1577,True,0,0,True
train,14,5,737,737,737,737,True,0,0,True
train,14,10,737,737,737,737,True,0,0,True
train,14,15,737,737,737,737,True,0,0,True
train,14,20,737,737,737,737,True,0,0,True
train,15,5,906,906,906,906,True,0,0,True
train,15,10,906,906,906,906,True,0,0,True
train,15,15,906,906,906,906,True,0,0,True
train,15,20,906,906,906,906,True,0,0,True
