panel,group,metric,value_percent,ci_low,ci_high,n_scenes
overall,Classical dual GNN,ADE,2.939822813969509,,,1200
overall,Classical dual GNN,FDE,3.0513029886781706,,,1200
overall,Dual QGNN,ADE,2.5231824868068116,,,1200
overall,Dual QGNN,FDE,2.1918525277594854,,,1200
overall,Classical dual GNN + LLM,ADE,3.8529218403316334,,,1200
overall,Classical dual GNN + LLM,FDE,3.4567736716453,,,1200
overall,Dual QGNN + LLM,ADE,3.356877736118917,,,1200
overall,Dual QGNN + LLM,FDE,2.6937572535698777,,,1200
complexity,Low,ADE,-0.8890717681599019,-2.1654490046135875,0.3553587324508524,400
complexity,Low,FDE,-1.5459743082007102,-3.318369895595012,0.15080245712713866,400
complexity,Medium,ADE,-1.2427484649393468,-2.482934993625359,-0.025543469293896982,400
complexity,Medium,FDE,-2.196505763816446,-3.7719547151351063,-0.647959220368258,400
complexity,High,ADE,0.24411430067927456,-0.9451564924188891,1.4352647896728659,400
complexity,High,FDE,0.6253878939878746,-0.8288039277059396,2.06736617891971,400
