================================================================================
📡 SNR ROBUSTNESS | Target SNR: 10dB | Grid: 81 | Smooth: 3 | Temp: 0.15
[Localize] Building cache for SNR 10dB with Grid 81...
[train] Anchor MAE: 0.4851m | Grid: 81 | Smooth: 3 | Temp: 0.15
[val] Anchor MAE: 0.4744m | Grid: 81 | Smooth: 3 | Temp: 0.15
[Cache] saved to ./logs/localized_cache_dataset_lankershim_v3_localize_snr10_g81_s3_t0p15_e0_sl72_pl20.npz
[SoftToken] Global Uncertainty Calibration (train-only): low=1.0194, high=1.2273

[gpt2_soft_snr10] Params: 84,833,003 | Trainable: 2,920,427
[gpt2_soft_snr10] Ep   1/100 [432s] Loss=0.7379/2.7288 | Train_ADE=2.287m | Val_ADE=2.247m FDE=3.873m (best=2.247) | S1=0.810m S5=1.523m S10=1.954m S15=2.904m S20=3.873m | L_cls=0.691 L_reg=0.0047 | Acc=78.31%/38.83%
[gpt2_soft_snr10] Ep   2/100 [321s] Loss=0.3941/2.4811 | Train_ADE=1.816m | Val_ADE=1.837m FDE=3.013m (best=1.837) | S1=0.727m S5=1.281m S10=1.692m S15=2.318m S20=3.013m | L_cls=0.361 L_reg=0.0033 | Acc=86.41%/42.09%
[gpt2_soft_snr10] Ep   3/100 [307s] Loss=0.3591/2.4295 | Train_ADE=1.549m | Val_ADE=1.665m FDE=2.621m (best=1.665) | S1=0.706m S5=1.207m S10=1.551m S15=2.086m S20=2.621m | L_cls=0.332 L_reg=0.0027 | Acc=86.74%/41.36%
[gpt2_soft_snr10] Ep   4/100 [306s] Loss=0.3434/2.1530 | Train_ADE=1.401m | Val_ADE=1.533m FDE=2.298m (best=1.533) | S1=0.707m S5=1.190m S10=1.423m S15=1.876m S20=2.298m | L_cls=0.320 L_reg=0.0023 | Acc=86.85%/43.75%
[gpt2_soft_snr10] Ep   5/100 [307s] Loss=0.3344/2.3667 | Train_ADE=1.309m | Val_ADE=1.475m FDE=2.255m (best=1.475) | S1=0.700m S5=1.145m S10=1.359m S15=1.790m S20=2.255m | L_cls=0.314 L_reg=0.0021 | Acc=86.89%/40.84%
[gpt2_soft_snr10] Ep   6/100 [307s] Loss=0.3283/2.4457 | Train_ADE=1.258m | Val_ADE=1.473m FDE=2.200m (best=1.473) | S1=0.713m S5=1.158m S10=1.375m S15=1.780m S20=2.200m | L_cls=0.309 L_reg=0.0020 | Acc=86.93%/41.89%
[gpt2_soft_snr10] Ep   7/100 [308s] Loss=0.3244/2.2456 | Train_ADE=1.233m | Val_ADE=1.453m FDE=2.169m (best=1.453) | S1=0.701m S5=1.166m S10=1.349m S15=1.744m S20=2.169m | L_cls=0.305 L_reg=0.0019 | Acc=86.98%/44.09%
[gpt2_soft_snr10] Ep   8/100 [307s] Loss=0.3209/2.1291 | Train_ADE=1.206m | Val_ADE=1.414m FDE=2.078m (best=1.414) | S1=0.693m S5=1.134m S10=1.329m S15=1.687m S20=2.078m | L_cls=0.302 L_reg=0.0018 | Acc=87.00%/46.19%
[gpt2_soft_snr10] Ep   9/100 [305s] Loss=0.3185/2.4089 | Train_ADE=1.191m | Val_ADE=1.438m FDE=2.127m (best=1.414) | S1=0.697m S5=1.144m S10=1.337m S15=1.745m S20=2.127m | L_cls=0.300 L_reg=0.0018 | Acc=87.02%/41.30%
[gpt2_soft_snr10] Ep  10/100 [309s] Loss=0.3168/2.4076 | Train_ADE=1.181m | Val_ADE=1.369m FDE=1.987m (best=1.369) | S1=0.693m S5=1.126m S10=1.276m S15=1.626m S20=1.987m | L_cls=0.299 L_reg=0.0018 | Acc=87.05%/40.81%
[gpt2_soft_snr10] Ep  11/100 [302s] Loss=0.3151/2.3756 | Train_ADE=1.174m | Val_ADE=1.407m FDE=2.032m (best=1.369) | S1=0.691m S5=1.154m S10=1.318m S15=1.674m S20=2.032m | L_cls=0.297 L_reg=0.0018 | Acc=87.07%/42.76%
