================================================================================
📡 SNR ROBUSTNESS | Target SNR: 20dB | Grid: 121 | Smooth: 3 | Temp: 0.06
[Cache] loaded localized trajectories from ./logs/localized_cache_dataset_lankershim_v3_localize_snr20_g121_s3_t0p06_e1_sl72_pl20.npz
[SoftToken] Global Uncertainty Calibration (train-only): low=0.6424, high=0.7810

[gpt2_soft_snr20] Params: 84,833,003 | Trainable: 2,920,427
[gpt2_soft_snr20] Ep   1/100 [308s] Loss=0.6244/1.4638 | Train_ADE=1.231m | Val_ADE=0.968m FDE=1.632m (best=0.968) | S1=0.288m S5=0.726m S10=0.854m S15=1.229m S20=1.632m | L_cls=0.602 L_reg=0.0022 | Acc=80.98%/57.47%
[gpt2_soft_snr20] Ep   2/100 [308s] Loss=0.2905/1.3226 | Train_ADE=0.756m | Val_ADE=0.934m FDE=1.644m (best=0.934) | S1=0.269m S5=0.635m S10=0.800m S15=1.225m S20=1.644m | L_cls=0.277 L_reg=0.0013 | Acc=89.40%/63.22%
[gpt2_soft_snr20] Ep   3/100 [309s] Loss=0.2645/1.2502 | Train_ADE=0.712m | Val_ADE=0.907m FDE=1.524m (best=0.907) | S1=0.279m S5=0.636m S10=0.796m S15=1.183m S20=1.524m | L_cls=0.252 L_reg=0.0012 | Acc=89.69%/63.64%
[gpt2_soft_snr20] Ep   4/100 [305s] Loss=0.2542/1.2535 | Train_ADE=0.688m | Val_ADE=0.912m FDE=1.510m (best=0.907) | S1=0.282m S5=0.658m S10=0.807m S15=1.174m S20=1.510m | L_cls=0.242 L_reg=0.0012 | Acc=89.85%/63.73%
[gpt2_soft_snr20] Ep   5/100 [308s] Loss=0.2482/1.3896 | Train_ADE=0.673m | Val_ADE=0.907m FDE=1.508m (best=0.907) | S1=0.279m S5=0.649m S10=0.800m S15=1.170m S20=1.508m | L_cls=0.236 L_reg=0.0012 | Acc=89.97%/57.45%
[gpt2_soft_snr20] Ep   6/100 [308s] Loss=0.2444/1.1946 | Train_ADE=0.663m | Val_ADE=0.870m FDE=1.378m (best=0.870) | S1=0.304m S5=0.657m S10=0.775m S15=1.106m S20=1.378m | L_cls=0.233 L_reg=0.0012 | Acc=90.05%/64.06%
[gpt2_soft_snr20] Ep   7/100 [308s] Loss=0.2409/1.2323 | Train_ADE=0.657m | Val_ADE=0.869m FDE=1.392m (best=0.869) | S1=0.291m S5=0.648m S10=0.773m S15=1.114m S20=1.392m | L_cls=0.229 L_reg=0.0012 | Acc=90.13%/64.48%
[gpt2_soft_snr20] Ep   8/100 [308s] Loss=0.2387/1.2483 | Train_ADE=0.657m | Val_ADE=0.854m FDE=1.368m (best=0.854) | S1=0.281m S5=0.642m S10=0.767m S15=1.080m S20=1.368m | L_cls=0.227 L_reg=0.0012 | Acc=90.17%/64.17%
[gpt2_soft_snr20] Ep   9/100 [305s] Loss=0.2367/1.2539 | Train_ADE=0.649m | Val_ADE=0.869m FDE=1.396m (best=0.854) | S1=0.287m S5=0.650m S10=0.780m S15=1.105m S20=1.396m | L_cls=0.225 L_reg=0.0012 | Acc=90.22%/63.25%
[gpt2_soft_snr20] Ep  10/100 [304s] Loss=0.2354/1.2148 | Train_ADE=0.647m | Val_ADE=0.858m FDE=1.378m (best=0.854) | S1=0.279m S5=0.641m S10=0.767m S15=1.099m S20=1.378m | L_cls=0.224 L_reg=0.0012 | Acc=90.27%/64.02%
[gpt2_soft_snr20] Ep  11/100 [304s] Loss=0.2342/1.2301 | Train_ADE=0.643m | Val_ADE=0.861m FDE=1.386m (best=0.854) | S1=0.284m S5=0.636m S10=0.771m S15=1.097m S20=1.386m | L_cls=0.223 L_reg=0.0012 | Acc=90.29%/63.82%
