snr_db,method,association_precision,association_recall,identity_f1,id_switches,id_switches_per_1000_detections,track_fragmentations,missed_detected_targets,correct_miss_decisions,position_rmse_m,mean_association_entropy,evaluated_scenes,detected_target_instances
5,oracle_association,1.0,1.0,1.0,0,0.0,1758,0,2211,0.6115691991217084,0.0,160,20323
5,gated_hungarian_ekf,0.8857062359128475,0.9281110072331841,0.9064129363992407,2434,119.76578261083502,2249,66,1172,1.5190155221073045,0.0,160,20323
5,edge_mlp,0.9968323104335776,0.9909954239039512,0.9939052977027661,64,3.149141366924175,1845,157,2173,0.6703899304445222,0.01869130812560411,160,20323
5,association_gnn,0.9977824865717242,0.9963095999606357,0.9970454993106165,45,2.21424002361856,1818,59,2182,0.6134672812434763,0.008531023339743926,160,20323
10,oracle_association,1.0,1.0,1.0,0,0.0,1843,0,2289,0.5001898899759927,0.0,160,20245
10,gated_hungarian_ekf,0.8282228816353445,0.8685601383057545,0.847912045520301,3647,180.14324524573968,1963,150,1153,2.390915177135061,0.0,160,20245
10,edge_mlp,0.9988620058384048,0.9971844899975303,0.9980225430096895,23,1.1360829834527044,1875,52,2271,0.5104954807099014,0.005283606096464251,160,20245
10,association_gnn,0.9989132045645408,0.9988145221042233,0.9988638608970559,22,1.0866880711286737,1857,21,2270,0.5035844109405772,0.0019456657521239383,160,20245
15,oracle_association,1.0,1.0,1.0,0,0.0,1760,0,2232,0.4809760768982872,0.0,160,20302
15,gated_hungarian_ekf,0.8357934449422306,0.87296818047483,0.853976437709302,3482,171.51019603979904,1782,160,1169,2.4706358600941845,0.0,160,20302
15,edge_mlp,0.9995562130177514,0.9984730568416905,0.9990143413335962,9,0.4433060782188947,1773,30,2224,0.49077714892585267,0.004626149109255073,160,20302
15,association_gnn,0.9997536581760851,0.9995074376908679,0.9996305327717432,5,0.2462811545660526,1765,9,2228,0.4814587000051744,0.0016183626675899197,160,20302
20,oracle_association,1.0,1.0,1.0,0,0.0,1800,0,2267,0.3901208821717504,0.0,160,20267
20,gated_hungarian_ekf,0.7207724917569477,0.7550204766368974,0.7374990963202159,5928,292.4951892238615,1350,302,1002,4.049837705134097,0.0,160,20267
20,edge_mlp,0.9996052696501703,0.9996052696501703,0.9996052696501703,8,0.39473034982977256,1807,7,2260,0.39044596575050744,0.0019409901851002258,160,20267
20,association_gnn,0.999753257007501,0.9996052696501703,0.9996792578520145,5,0.24670646864360785,1806,7,2263,0.39003594314319967,0.0005913752554681115,160,20267
