snr_db,method,association_precision,association_recall,identity_f1,id_switches,id_switches_per_1000_detections,track_fragmentations,missed_detected_targets,correct_miss_decisions,position_rmse_m,mean_association_entropy,evaluated_scenes,detected_target_instances
5,oracle_association,1.0,1.0,1.0,0,0.0,44,0,59,0.6015643161888747,0.0,4,549
5,gated_hungarian_ekf,0.9027777777777778,0.9471766848816029,0.9244444444444444,56,102.00364298724955,60,2,30,1.070041069635151,0.0,4,549
5,edge_mlp,0.9010416666666666,0.9453551912568307,0.9226666666666667,57,103.82513661202186,52,5,27,1.3143504635600964,0.3663303722063766,4,549
5,association_gnn,0.9926062846580407,0.9781420765027322,0.9853211009174313,4,7.285974499089253,53,10,57,0.6080392862012725,0.3258781246473326,4,549
10,oracle_association,1.0,1.0,1.0,0,0.0,57,0,69,0.5009438066724501,0.0,4,539
10,gated_hungarian_ekf,0.8169014084507042,0.8608534322820037,0.8383017163504968,104,192.9499072356215,59,7,33,2.9919418969527998,0.0,4,539
10,edge_mlp,0.8133802816901409,0.8571428571428571,0.8346883468834688,106,196.6604823747681,56,8,32,3.026609002631182,0.3557538503082469,4,539
10,association_gnn,0.9961977186311787,0.9721706864564007,0.9840375586854461,2,3.7105751391465676,64,15,67,0.5176519396262078,0.2810088040454215,4,539
15,oracle_association,1.0,1.0,1.0,0,0.0,45,0,56,0.48791474798868567,0.0,4,552
15,gated_hungarian_ekf,0.882661996497373,0.9130434782608695,0.8975957257346394,67,121.3768115942029,47,4,33,1.6153819527895616,0.0,4,552
15,edge_mlp,0.87215411558669,0.9021739130434783,0.8869100623330366,73,132.2463768115942,41,5,32,2.109615895546844,0.3415213889062503,4,552
15,association_gnn,0.9889908256880734,0.9764492753623188,0.9826800364630812,6,10.869565217391305,52,11,52,0.5542483137505343,0.26604742942819076,4,552
20,oracle_association,1.0,1.0,1.0,0,0.0,54,0,66,0.4043861165949508,0.0,4,542
20,gated_hungarian_ekf,0.7330960854092526,0.7601476014760148,0.746376811594203,150,276.7527675276753,40,7,39,4.037268430490106,0.0,4,542
20,edge_mlp,0.7921847246891652,0.8228782287822878,0.8072398190045249,117,215.8671586715867,43,2,43,3.526244337139998,0.32659098699590877,4,542
20,association_gnn,0.99812734082397,0.9833948339483395,0.9907063197026023,1,1.845018450184502,61,9,65,0.4168343187747791,0.2522965540472222,4,542
