snr_db,method,association_precision,association_recall,identity_f1,id_switches,id_switches_per_1000_detections,track_fragmentations,missed_detected_targets,correct_miss_decisions,position_rmse_m,mean_association_entropy,evaluated_scenes,detected_target_instances
5,oracle_association,1.0,1.0,1.0,0,0.0,10,0,15,0.5938436961146357,0.0,1,137
5,gated_hungarian_ekf,0.8979591836734694,0.9635036496350365,0.9295774647887325,15,109.48905109489051,13,0,5,1.2466467835913333,0.0,1,137
5,edge_mlp,0.9047619047619048,0.9708029197080292,0.9366197183098592,14,102.18978102189782,11,1,4,1.2511258324047652,0.42211472713633585,1,137
5,association_gnn,0.9047619047619048,0.9708029197080292,0.9366197183098592,14,102.18978102189782,11,1,4,1.2511258324047652,0.41132039120910985,1,137
10,oracle_association,1.0,1.0,1.0,0,0.0,13,0,17,0.48823492225941323,0.0,1,135
10,gated_hungarian_ekf,0.8380281690140845,0.8814814814814815,0.8592057761732853,23,170.37037037037038,10,2,8,2.712463623152369,0.0,1,135
10,edge_mlp,0.8380281690140845,0.8814814814814815,0.8592057761732853,23,170.37037037037038,10,2,8,2.712463623152369,0.4023910567752625,1,135
10,association_gnn,0.8380281690140845,0.8814814814814815,0.8592057761732853,23,170.37037037037038,10,2,8,2.712463623152369,0.3748823385195513,1,135
15,oracle_association,1.0,1.0,1.0,0,0.0,9,0,16,0.5123286037491503,0.0,1,136
15,gated_hungarian_ekf,0.9436619718309859,0.9852941176470589,0.9640287769784172,8,58.8235294117647,11,0,10,0.934017612365329,0.0,1,136
15,edge_mlp,0.9436619718309859,0.9852941176470589,0.9640287769784172,8,58.8235294117647,11,0,10,0.934017612365329,0.4061912532993837,1,136
15,association_gnn,0.9436619718309859,0.9852941176470589,0.9640287769784172,8,58.8235294117647,11,0,10,0.934017612365329,0.368065205990876,1,136
20,oracle_association,1.0,1.0,1.0,0,0.0,18,0,22,0.3871289244835757,0.0,1,130
20,gated_hungarian_ekf,0.9552238805970149,0.9846153846153847,0.9696969696969696,6,46.15384615384615,18,1,17,1.6066178647991909,0.0,1,130
20,edge_mlp,0.9328358208955224,0.9615384615384616,0.946969696969697,9,69.23076923076923,20,4,14,1.7061721373852037,0.366650820611731,1,130
20,association_gnn,0.9477611940298507,0.9769230769230769,0.962121212121212,7,53.84615384615385,18,2,16,1.5979880301742597,0.3258374000556375,1,130
